Legend of the used statistics
*****************************

Statistic             Legend
--------------------------------------------------------------
alive.rpl           : Nb alive replicates
n.adlt.fst_p01-02   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 1 and 2
n.adlt.fst_p01-03   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 1 and 3
n.adlt.fst_p01-04   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 1 and 4
n.adlt.fst_p01-05   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 1 and 5
n.adlt.fst_p01-06   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 1 and 6
n.adlt.fst_p01-07   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 1 and 7
n.adlt.fst_p01-08   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 1 and 8
n.adlt.fst_p01-09   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 1 and 9
n.adlt.fst_p01-10   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 1 and 10
n.adlt.fst_p01-11   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 1 and 11
n.adlt.fst_p01-12   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 1 and 12
n.adlt.fst_p01-13   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 1 and 13
n.adlt.fst_p01-14   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 1 and 14
n.adlt.fst_p01-15   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 1 and 15
n.adlt.fst_p01-16   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 1 and 16
n.adlt.fst_p01-17   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 1 and 17
n.adlt.fst_p01-18   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 1 and 18
n.adlt.fst_p01-19   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 1 and 19
n.adlt.fst_p01-20   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 1 and 20
n.adlt.fst_p01-21   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 1 and 21
n.adlt.fst_p01-22   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 1 and 22
n.adlt.fst_p01-23   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 1 and 23
n.adlt.fst_p01-24   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 1 and 24
n.adlt.fst_p02-03   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 2 and 3
n.adlt.fst_p02-04   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 2 and 4
n.adlt.fst_p02-05   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 2 and 5
n.adlt.fst_p02-06   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 2 and 6
n.adlt.fst_p02-07   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 2 and 7
n.adlt.fst_p02-08   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 2 and 8
n.adlt.fst_p02-09   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 2 and 9
n.adlt.fst_p02-10   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 2 and 10
n.adlt.fst_p02-11   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 2 and 11
n.adlt.fst_p02-12   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 2 and 12
n.adlt.fst_p02-13   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 2 and 13
n.adlt.fst_p02-14   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 2 and 14
n.adlt.fst_p02-15   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 2 and 15
n.adlt.fst_p02-16   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 2 and 16
n.adlt.fst_p02-17   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 2 and 17
n.adlt.fst_p02-18   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 2 and 18
n.adlt.fst_p02-19   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 2 and 19
n.adlt.fst_p02-20   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 2 and 20
n.adlt.fst_p02-21   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 2 and 21
n.adlt.fst_p02-22   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 2 and 22
n.adlt.fst_p02-23   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 2 and 23
n.adlt.fst_p02-24   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 2 and 24
n.adlt.fst_p03-04   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 3 and 4
n.adlt.fst_p03-05   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 3 and 5
n.adlt.fst_p03-06   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 3 and 6
n.adlt.fst_p03-07   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 3 and 7
n.adlt.fst_p03-08   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 3 and 8
n.adlt.fst_p03-09   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 3 and 9
n.adlt.fst_p03-10   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 3 and 10
n.adlt.fst_p03-11   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 3 and 11
n.adlt.fst_p03-12   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 3 and 12
n.adlt.fst_p03-13   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 3 and 13
