generation  	alive.rpl   	adlt.nbInd  	emigrants   	fem.meanFec 	adlt.nbInd_p1	adlt.nbInd_p2	adlt.nbInd_p3	adlt.nbInd_p4	adlt.nbInd_p5	adlt.nbInd_p6
1           	1           	4           	NaN         	3           	4           	0           	0           	0           	0           	0           
2           	1           	6           	0           	4.5         	6           	0           	0           	0           	0           	0           
3           	1           	9           	0           	1.857       	9           	0           	0           	0           	0           	0           
4           	1           	13          	0           	2.714       	13          	0           	0           	0           	0           	0           
5           	1           	19          	0           	2.545       	19          	0           	0           	0           	0           	0           
6           	1           	28          	0           	2.278       	28          	0           	0           	0           	0           	0           
7           	1           	40          	1           	3.111       	39          	1           	0           	0           	0           	0           
8           	1           	56          	0           	3.2         	56          	0           	0           	0           	0           	0           
9           	1           	80          	0           	2.846       	80          	0           	0           	0           	0           	0           
10          	1           	111         	0.5         	3.104       	110         	1           	0           	0           	0           	0           
11          	1           	149         	0.5         	2.474       	148         	1           	0           	0           	0           	0           
12          	1           	192         	1           	2.719       	192         	0           	0           	0           	0           	0           
13          	1           	241         	1           	2.598       	241         	0           	0           	0           	0           	0           
14          	1           	289         	1.5         	2.248       	288         	1           	0           	0           	0           	0           
15          	1           	333         	2           	2.259       	333         	0           	0           	0           	0           	0           
16          	1           	375         	0           	2.164       	375         	0           	0           	0           	0           	0           
17          	1           	408         	1           	2.192       	407         	1           	0           	0           	0           	0           
18          	1           	434         	0           	1.974       	434         	0           	0           	0           	0           	0           
19          	1           	452         	2           	2.162       	452         	0           	0           	0           	0           	0           
20          	1           	467         	1           	2.017       	465         	2           	0           	0           	0           	0           
21          	1           	476         	0           	2.095       	476         	0           	0           	0           	0           	0           
22          	1           	482         	2           	2.025       	482         	0           	0           	0           	0           	0           
23          	1           	485         	3.5         	1.964       	481         	4           	0           	0           	0           	0           
24          	1           	491         	2           	2.028       	483         	8           	0           	0           	0           	0           
25          	1           	499         	2           	2.044       	485         	14          	0           	0           	0           	0           
26          	1           	509         	1.5         	2.059       	487         	22          	0           	0           	0           	0           
27          	1           	513         	2.5         	2.015       	478         	35          	0           	0           	0           	0           
28          	1           	522         	1.5         	2.234       	469         	53          	0           	0           	0           	0           
29          	1           	551         	1.667       	2.07        	474         	76          	1           	0           	0           	0           
30          	1           	579         	1           	2.193       	472         	106         	1           	0           	0           	0           
31          	1           	624         	1.5         	2.163       	480         	144         	0           	0           	0           	0           
32          	1           	673         	2           	2.12        	483         	189         	1           	0           	0           	0           
33          	1           	727         	0.3333      	2.235       	489         	237         	1           	0           	0           	0           
34          	1           	766         	1.667       	2.133       	483         	282         	1           	0           	0           	0           
35          	1           	812         	2.333       	2.045       	481         	330         	1           	0           	0           	0           
36          	1           	857         	2           	2.06        	483         	372         	2           	0           	0           	0           
37          	1           	894         	1.667       	2.029       	489         	404         	1           	0           	0           	0           
38          	1           	924         	1.667       	2.052       	493         	430         	1           	0           	0           	0           
39          	1           	935         	2           	1.996       	486         	447         	2           	0           	0           	0           
40          	1           	929         	1.667       	1.947       	467         	459         	3           	0           	0           	0           
41          	1           	954         	1.333       	2.036       	480         	468         	6           	0           	0           	0           
42          	1           	964         	2.333       	2.128       	476         	479         	9           	0           	0           	0           
43          	1           	982         	1.667       	2.049       	481         	486         	15          	0           	0           	0           
44          	1           	997         	0.6667      	2.01        	485         	490         	22          	0           	0           	0           
45          	1           	1011        	2.333       	2.01        	486         	490         	35          	0           	0           	0           
46          	1           	1019        	2           	2.023       	492         	475         	52          	0           	0           	0           
47          	1           	1039        	2.667       	2.128       	481         	482         	76          	0           	0           	0           
48          	1           	1078        	1           	2.131       	483         	488         	106         	1           	0           	0           
49          	1           	1111        	0.6667      	2.161       	485         	483         	143         	0           	0           	0           
50          	1           	1158        	2           	2.135       	485         	481         	192         	0           	0           	0           
51          	1           	1213        	2           	2.08        	485         	485         	243         	0           	0           	0           
52          	1           	1248        	2           	2.066       	481         	473         	294         	0           	0           	0           
53          	1           	1300        	3           	2.041       	483         	473         	344         	0           	0           	0           
54          	1           	1354        	0.5         	2.067       	488         	482         	383         	1           	0           	0           
55          	1           	1392        	2.75        	2.028       	488         	487         	416         	1           	0           	0           
56          	1           	1409        	2           	2.041       	487         	479         	442         	1           	0           	0           
57          	1           	1428        	2           	2.006       	488         	481         	458         	1           	0           	0           
58          	1           	1442        	2.75        	2.077       	491         	481         	469         	1           	0           	0           
59          	1           	1448        	2           	2.046       	485         	484         	477         	2           	0           	0           
60          	1           	1454        	1.5         	1.988       	489         	488         	476         	1           	0           	0           
61          	1           	1451        	2           	2.043       	488         	480         	483         	0           	0           	0           
62          	1           	1458        	1.75        	2.05        	486         	486         	485         	1           	0           	0           
63          	1           	1451        	2           	2.033       	490         	471         	490         	0           	0           	0           
64          	1           	1433        	1.667       	2.121       	483         	478         	472         	0           	0           	0           
65          	1           	1451        	1.25        	1.972       	485         	486         	479         	1           	0           	0           
66          	1           	1455        	3           	1.991       	482         	487         	481         	5           	0           	0           
67          	1           	1455        	1.25        	1.955       	487         	488         	472         	8           	0           	0           
68          	1           	1465        	2.5         	1.995       	490         	480         	482         	13          	0           	0           
69          	1           	1451        	0.25        	2.099       	478         	485         	469         	19          	0           	0           
70          	1           	1467        	2           	2.049       	471         	489         	478         	29          	0           	0           
71          	1           	1495        	2           	2.021       	477         	492         	484         	42          	0           	0           
72          	1           	1505        	0.5         	2.012       	474         	493         	478         	60          	0           	0           
