replicate   	generation  	adlt.nbInd  	emigrants   	fem.meanFec 	adlt.nbInd_p1	adlt.nbInd_p2	adlt.nbInd_p3	adlt.nbInd_p4	adlt.nbInd_p5	adlt.nbInd_p6
1           	1           	4           	NaN         	3           	4           	0           	0           	0           	0           	0           
1           	2           	6           	0           	2.25        	6           	0           	0           	0           	0           	0           
1           	3           	9           	0           	4.333       	9           	0           	0           	0           	0           	0           
1           	4           	13          	0           	2.714       	13          	0           	0           	0           	0           	0           
1           	5           	19          	0           	7           	19          	0           	0           	0           	0           	0           
1           	6           	28          	0           	3.727       	28          	0           	0           	0           	0           	0           
1           	7           	41          	0           	2.95        	41          	0           	0           	0           	0           	0           
1           	8           	59          	0.5         	2.645       	58          	1           	0           	0           	0           	0           
1           	9           	82          	0           	2.327       	82          	0           	0           	0           	0           	0           
1           	10          	114         	0           	3.08        	114         	0           	0           	0           	0           	0           
1           	11          	154         	0           	2.564       	154         	0           	0           	0           	0           	0           
1           	12          	199         	1           	2.767       	199         	0           	0           	0           	0           	0           
1           	13          	248         	1           	2.31        	248         	0           	0           	0           	0           	0           
1           	14          	298         	0.5         	2.199       	297         	1           	0           	0           	0           	0           
1           	15          	343         	1           	2.313       	341         	2           	0           	0           	0           	0           
1           	16          	384         	0           	2.123       	381         	3           	0           	0           	0           	0           
1           	17          	413         	2           	2.085       	410         	3           	0           	0           	0           	0           
1           	18          	440         	0.5         	2.179       	435         	5           	0           	0           	0           	0           
1           	19          	460         	1.5         	2.101       	452         	8           	0           	0           	0           	0           
1           	20          	478         	1           	1.988       	465         	13          	0           	0           	0           	0           
1           	21          	494         	1           	2.12        	474         	20          	0           	0           	0           	0           
1           	22          	509         	1           	2.095       	480         	29          	0           	0           	0           	0           
1           	23          	526         	2           	2.056       	482         	44          	0           	0           	0           	0           
1           	24          	549         	1           	2.14        	486         	63          	0           	0           	0           	0           
1           	25          	577         	1           	2.125       	487         	89          	1           	0           	0           	0           
1           	26          	612         	1.5         	2.212       	488         	124         	0           	0           	0           	0           
1           	27          	655         	3           	2.241       	486         	169         	0           	0           	0           	0           
1           	28          	700         	1.333       	2.16        	485         	214         	1           	0           	0           	0           
1           	29          	744         	2           	2.108       	482         	262         	0           	0           	0           	0           
1           	30          	794         	3           	2.241       	484         	305         	5           	0           	0           	0           
1           	31          	826         	1           	2.184       	468         	351         	7           	0           	0           	0           
1           	32          	878         	1           	2.056       	477         	391         	10          	0           	0           	0           
1           	33          	920         	2           	2.067       	483         	421         	16          	0           	0           	0           
1           	34          	955         	1.5         	2.039       	485         	445         	24          	1           	0           	0           
1           	35          	982         	1.333       	2.106       	486         	459         	37          	0           	0           	0           
1           	36          	1016        	1.667       	2.047       	489         	472         	55          	0           	0           	0           
1           	37          	1043        	1.667       	2.073       	487         	479         	77          	0           	0           	0           
1           	38          	1078        	2           	2.145       	483         	487         	108         	0           	0           	0           
1           	39          	1108        	3           	2.08        	471         	490         	147         	0           	0           	0           
1           	40          	1160        	1.667       	2.077       	478         	489         	193         	0           	0           	0           
1           	41          	1216        	1.5         	2.114       	481         	489         	245         	1           	0           	0           
1           	42          	1272        	2.667       	2.073       	486         	490         	296         	0           	0           	0           
1           	43          	1305        	1           	2.088       	470         	491         	343         	1           	0           	0           
1           	44          	1355        	1.5         	2.017       	477         	494         	381         	3           	0           	0           
1           	45          	1392        	2.5         	2.1         	481         	495         	415         	1           	0           	0           
1           	46          	1419        	2           	2.007       	482         	496         	440         	1           	0           	0           
1           	47          	1421        	1.25        	1.992       	470         	492         	458         	1           	0           	0           
1           	48          	1441        	2.667       	2.074       	475         	494         	472         	0           	0           	0           
1           	49          	1446        	2.25        	2.024       	479         	489         	477         	1           	0           	0           
1           	50          	1459        	2.25        	1.988       	487         	491         	479         	2           	0           	0           
1           	51          	1463        	2.333       	1.988       	487         	492         	484         	0           	0           	0           
1           	52          	1458        	1.5         	2.01        	475         	496         	486         	1           	0           	0           
1           	53          	1455        	2.5         	1.996       	476         	490         	485         	4           	0           	0           
1           	54          	1460        	3           	1.976       	478         	487         	489         	6           	0           	0           
1           	55          	1467        	2.75        	2.043       	482         	491         	485         	9           	0           	0           
1           	56          	1480        	2           	2.011       	489         	490         	487         	14          	0           	0           
1           	57          	1451        	1           	2.113       	490         	454         	486         	21          	0           	0           
1           	58          	1476        	2.5         	2.067       	484         	468         	491         	33          	0           	0           
1           	59          	1499        	2.5         	2.111       	480         	475         	496         	48          	0           	0           
1           	60          	1527        	1.5         	2.009       	482         	487         	489         	69          	0           	0           
1           	61          	1529        	2.75        	1.989       	468         	488         	474         	99          	0           	0           
1           	62          	1573        	1           	2.084       	477         	480         	479         	136         	1           	0           
