generation  	alive.rpl   	adlt.nbPops 	adlt.nbInd  	emigrants   	adlt.nbInd_p1	adlt.nbInd_p2	adlt.nbInd_p3	adlt.nbInd_p4	adlt.nbInd_p5	adlt.nbInd_p6
1           	20          	1           	4           	NaN         	4           	0           	0           	0           	0           	0           
2           	20          	1           	6           	0           	6           	0           	0           	0           	0           	0           
3           	19          	1           	9           	0           	9           	0           	0           	0           	0           	0           
4           	19          	1.053       	13          	0.02632     	12.95       	0.05263     	0           	0           	0           	0           
5           	19          	1           	18.95       	0           	18.95       	0           	0           	0           	0           	0           
6           	19          	1.053       	27.89       	0.07895     	27.84       	0.05263     	0           	0           	0           	0           
7           	19          	1.105       	40.68       	0.05263     	40.58       	0.1053      	0           	0           	0           	0           
8           	19          	1.421       	58.42       	0.2368      	57.95       	0.4737      	0           	0           	0           	0           
9           	19          	1.316       	82.47       	0.2632      	81.79       	0.6842      	0           	0           	0           	0           
10          	19          	1.684       	114.1       	0.3947      	112.6       	1.474       	0           	0           	0           	0           
11          	19          	1.632       	153.2       	0.2368      	151.4       	1.789       	0           	0           	0           	0           
12          	19          	1.632       	198.8       	0.6053      	196.1       	2.684       	0           	0           	0           	0           
13          	19          	1.947       	248.9       	0.636       	244.4       	4.368       	0.05263     	0           	0.05263     	0.05263     
14          	19          	2.053       	299.9       	0.807       	292.7       	7.105       	0.05263     	0           	0           	0.05263     
15          	19          	2.053       	348.7       	0.6491      	338.4       	10.21       	0.05263     	0           	0           	0.05263     
16          	19          	2.263       	392.6       	0.8421      	377.4       	14.84       	0.2632      	0.05263     	0           	0.05263     
17          	19          	2.316       	410         	1.114       	386.8       	22.79       	0.1579      	0.05263     	0.1579      	0.05263     
18          	19          	2.105       	442.9       	1.158       	409.6       	33.05       	0.1053      	0           	0           	0.1053      
19          	19          	2.211       	473.9       	0.9474      	426.7       	46.95       	0.2105      	0.1053      	0           	0           
20          	19          	2.474       	503.8       	1.114       	438.3       	64.79       	0.4737      	0.2105      	0.05263     	0           
21          	19          	2.316       	534.5       	1.013       	447.1       	86.95       	0.2632      	0.05263     	0.05263     	0.05263     
22          	19          	2.632       	563.8       	1.183       	449.4       	113.6       	0.4737      	0.1053      	0.1053      	0.1053      
23          	19          	2.737       	598.8       	1.197       	453.4       	144.3       	0.9474      	0.1053      	0.1579      	0           
24          	19          	2.737       	635.3       	0.9737      	455.3       	178.6       	1.211       	0           	0.1053      	0.1053      
25          	19          	2.632       	624.5       	1.167       	405.7       	216.3       	2.316       	0           	0.1053      	0.05263     
26          	19          	2.947       	664.2       	1.224       	405.2       	254.2       	4.421       	0.1579      	0.05263     	0.1053      
27          	19          	2.842       	704.9       	1.351       	406.1       	291.1       	7.579       	0.05263     	0.05263     	0.1053      
28          	19          	3.053       	744.7       	1.344       	406.7       	326.1       	11.58       	0.05263     	0.1579      	0.1579      
29          	19          	3.105       	764.4       	1.265       	405.3       	341.1       	17.37       	0.1579      	0.2632      	0.2105      
30          	19          	3.053       	773.1       	1.325       	379.7       	366.1       	26.74       	0.3684      	0.1053      	0           
31          	19          	3           	805.2       	1.294       	378.9       	387.6       	38.26       	0.05263     	0.2105      	0.05263     
32          	19          	3.158       	841.2       	1.441       	380.2       	405.7       	54.95       	0.2632      	0.05263     	0.05263     
33          	19          	3.263       	842.7       	1.245       	379.2       	395.6       	66.95       	0.6842      	0.1053      	0.1579      
34          	19          	3.368       	876.5       	1.389       	381.7       	407.6       	85.79       	1.105       	0.1579      	0.1053      
35          	19          	3.368       	906.5       	1.342       	379.8       	414.4       	110.1       	2           	0.1053      	0.1579      
36          	19          	3.316       	920.5       	1.553       	355.9       	423.3       	137.8       	3.105       	0.2105      	0.1053      
37          	19          	3.421       	954.1       	1.467       	353.9       	428.6       	165.9       	5.105       	0.3684      	0.1579      
38          	19          	3.526       	987.9       	1.283       	353.5       	429.7       	196.4       	7.737       	0.5263      	0.05263     
39          	19          	3.316       	973.4       	1.709       	355.3       	407.4       	198.1       	12.05       	0.5263      	0.05263     
40          	19          	3.579       	1006        	1.526       	356.1       	405.7       	225.4       	17.63       	1           	0.1053      
41          	19          	4           	1042        	1.532       	355.1       	408.1       	251.7       	26.05       	1.368       	0.05263     
42          	19          	4           	1080        	1.328       	354.7       	409.9       	276.7       	36.84       	1.895       	0.1053      
43          	19          	4           	1123        	1.447       	355.4       	412.9       	301.1       	50.37       	2.632       	0.1053      
44          	19          	4.316       	1168        	1.313       	356.4       	417.3       	323.6       	66.79       	4.105       	0.2105      
45          	19          	4.263       	1215        	1.598       	357.6       	420.9       	344.9       	85.58       	5.684       	0.1579      
46          	19          	4.263       	1259        	1.406       	356.5       	427.2       	361.8       	105.8       	8           	0.1579      
47          	19          	4.316       	1305        	1.608       	358.4       	428.6       	378.5       	127.6       	11.37       	0.1579      
48          	19          	4.158       	1324        	1.518       	357.4       	434         	366.9       	150.7       	15.21       	0           
49          	19          	4.684       	1371        	1.725       	358.1       	436.9       	381.2       	173.7       	20.68       	0.3158      
50          	19          	4.526       	1372        	1.496       	359.9       	417.1       	368.9       	198.1       	27.26       	0.5263      
51          	19          	4.842       	1393        	1.549       	360.8       	420.6       	375.9       	199         	35.53       	0.8421      
52          	19          	4.632       	1415        	1.462       	362.2       	398.7       	384.4       	225.4       	43.32       	0.9474      
53          	19          	4.789       	1466        	1.466       	366.7       	402.3       	391.7       	250.2       	54          	1.579       
54          	19          	4.895       	1516        	1.65        	367.1       	407.7       	395.7       	276.1       	66.74       	2.368       
55          	19          	4.789       	1551        	1.768       	370.2       	408.6       	403.2       	300.6       	64.95       	3.684       
56          	19          	5.263       	1604        	1.526       	372.3       	412.9       	410.4       	323.4       	78.89       	5.947       
57          	19          	4.947       	1607        	1.589       	374         	416.6       	416.3       	296.2       	96          	8.158       
58          	19          	4.842       	1597        	1.726       	349.5       	421.9       	393.3       	314.2       	106.9       	11.47       
59          	19          	4.947       	1644        	1.489       	351.6       	424.5       	398.6       	328.9       	124.5       	16.11       
60          	19          	5.053       	1685        	1.544       	352.6       	427         	402.7       	341.7       	139         	21.89       
61          	19          	5.211       	1728        	1.67        	353.5       	430.8       	407.7       	353.9       	153.1       	29.16       
62          	19          	5.263       	1775        	1.725       	353.5       	439.8       	410         	364         	170.4       	37.79       
63          	19          	5.263       	1805        	1.796       	353         	423.3       	416.2       	375.8       	188.4       	48.37       
64          	19          	5.158       	1860        	2.065       	354.7       	432.2       	422.4       	382.3       	207.4       	61.21       
65          	19          	5.368       	1914        	1.739       	355.7       	435.2       	426.8       	392.3       	228.3       	75.84       
66          	19          	5.316       	1923        	1.811       	303.1       	444.3       	433.6       	400.7       	249.2       	92.21       
67          	19          	5.316       	1958        	2.085       	304.2       	448.8       	440.8       	383.4       	271.5       	109.4       
68          	19          	5.368       	1963        	1.609       	303.6       	427.5       	449.8       	365.3       	289.9       	126.5       
69          	19          	5.526       	2019        	1.837       	304         	429.9       	455.4       	374.4       	311.2       	143.9       
70          	19          	5.474       	2072        	1.953       	304.9       	431.6       	460.1       	381.5       	332.2       	161.4       
71          	19          	5.474       	2082        	2.143       	305.4       	434.2       	467.7       	365.5       	352.4       	156.3       
72          	19          	5.316       	2069        	1.993       	305.5       	410.3       	474.4       	373.6       	359.6       	145.9       
73          	19          	5.474       	2064        	1.692       	303.3       	414.1       	452.6       	357.4       	375         	161.6       
74          	19          	5.421       	2053        	1.618       	304         	415.5       	430.9       	366.6       	360.2       	175.4       
75          	19          	5.474       	2072        	2.048       	305.1       	419.7       	431.1       	354.4       	368.4       	192.9       
76          	19          	5.579       	2087        	1.747       	281.1       	426         	432.7       	363.4       	376.3       	207.7       
77          	19          	5.474       	2128        	2.18        	280.9       	431.1       	432.8       	372.9       	384.9       	225.7       
78          	19          	5.579       	2173        	2.053       	279.6       	437.6       	434.6       	384.1       	391.6       	245.4       
79          	19          	5.526       	2192        	1.857       	279.9       	445.1       	409.7       	393.3       	399.3       	264.9       
80          	19          	5.579       	2239        	1.874       	276.7       	450.8       	413.2       	405.4       	407.7       	285.2       
81          	19          	5.526       	2286        	1.739       	277.4       	456.4       	413.9       	417.4       	413.4       	307.3       
82          	19          	5.579       	2313        	1.882       	253.5       	461.7       	418.4       	426.9       	423.1       	329.1       
83          	19          	5.474       	2353        	2.06        	253.1       	465         	422.4       	436         	429.6       	346.9       
84          	19          	5.632       	2371        	2.047       	252.4       	468.8       	425.9       	419.4       	439.5       	365.6       
85          	19          	5.316       	2341        	2.215       	253.2       	472.5       	407.6       	429.2       	449         	329.6       
86          	19          	5.474       	2377        	1.935       	255.1       	474.6       	410.6       	435.9       	457.5       	343.6       
87          	19          	5.526       	2357        	2.135       	251.7       	478.9       	395.2       	441.9       	438.9       	350.2       
