generation  	alive.rpl   	adlt.nbPops 	adlt.nbInd  	emigrants   	adlt.nbInd_p1	adlt.nbInd_p2	adlt.nbInd_p3	adlt.nbInd_p4	adlt.nbInd_p5	adlt.nbInd_p6
1           	20          	0           	0           	NaN         	0           	0           	0           	0           	0           	0           
2           	20          	0           	0           	0           	0           	0           	0           	0           	0           	0           
3           	20          	0.0475      	0           	0.01187     	0.0475      	0.0475      	0           	0           	0           	0           
4           	20          	0           	0.0475      	0           	0.0475      	0           	0           	0           	0           	0           
5           	20          	0.1875      	0.0475      	0.0775      	0.3275      	0.31        	0           	0           	0           	0           
6           	18          	0.3117      	0.5556      	0.05187     	0.6821      	0.1728      	0           	0.05247     	0           	0           
7           	18          	0.1389      	1.608       	0.03472     	2.062       	0.1389      	0           	0           	0           	0           
8           	18          	0.09877     	3.667       	0.02469     	3.728       	0.09877     	0           	0           	0           	0           
9           	18          	0.2222      	8.111       	0.1705      	8.694       	0.5802      	0           	0           	0.05247     	0           
10          	18          	0.3333      	12.33       	0.1818      	15.92       	1.543       	0           	0           	0.05247     	0           
11          	18          	0.25        	17.98       	0.1023      	22.22       	2.534       	0.05247     	0           	0           	0.05247     
12          	18          	0.2006      	20.84       	0.3557      	26.25       	7.062       	0           	0           	0           	0           
13          	18          	0.4321      	19.2        	0.3434      	30.44       	15.1        	0.09877     	0.05247     	0           	0           
14          	18          	0.2747      	26.51       	0.4582      	36.17       	41.36       	0.09877     	0.05247     	0           	0           
15          	18          	0.1389      	57.58       	0.3488      	27.14       	85.98       	0.05247     	0.05247     	0.05247     	0.05247     
16          	18          	0.2006      	146.3       	0.2998      	18.43       	191.7       	0.09877     	0           	0.09877     	0.09877     
17          	18          	0.284       	251.7       	0.3978      	14.33       	301.2       	0.1728      	0           	0           	0.05247     
18          	18          	0.1389      	565.4       	0.308       	14.13       	600.4       	0.09877     	0           	0           	0.05247     
19          	18          	0.2469      	1119        	0.5617      	10.16       	1128        	0.2006      	0.05247     	0.09877     	0           
20          	18          	0.358       	2035        	0.1345      	7.654       	2010        	0.3488      	0.05247     	0.05247     	0           
21          	18          	0.3488      	3372        	0.7477      	5.556       	3325        	0.4722      	0.09877     	0           	0.09877     
22          	18          	0.358       	4970        	0.3244      	16.47       	4914        	1.719       	0           	0.05247     	0           
23          	18          	0.6543      	6981        	0.1629      	25.91       	6656        	3.778       	0.09877     	0.05247     	0.1389      
24          	18          	0.5556      	2.517e+04   	0.6481      	1.204e+04   	8266        	11.02       	0.1389      	0           	0.2099      
25          	18          	0.5062      	2.704e+04   	0.3341      	1.219e+04   	1.118e+04   	28.8        	0.09877     	0.09877     	0.5062      
26          	18          	0.4599      	2.824e+04   	0.5704      	1.224e+04   	1.219e+04   	71.27       	0.05247     	0           	0.8395      
27          	18          	0.9877      	3.384e+04   	0.3862      	1.228e+04   	2.076e+04   	154.4       	0.09877     	0.1389      	1.904       
28          	18          	0.6821      	3.842e+04   	0.2599      	1.231e+04   	2.627e+04   	340.6       	0.1728      	0.05247     	4.222       
29          	18          	0.608       	4.19e+04    	0.4448      	2.315e+04   	2.884e+04   	712.7       	0.25        	0           	8.84        
