generation  	alive.rpl   	adlt.nbInd  
1           	1           	4           
2           	1           	6           
3           	1           	9           
4           	1           	14          
5           	1           	21          
6           	1           	32          
7           	1           	48          
8           	1           	72          
9           	1           	108         
10          	1           	162         
11          	1           	243         
12          	1           	365         
13          	1           	548         
14          	1           	822         
15          	1           	1000        
16          	1           	1000        
17          	1           	1000        
18          	1           	1000        
19          	1           	1000        
20          	1           	1000        
