generation  	alive.rpl   	adlt.nbInd  	fem.meanFec 
1           	1           	4           	5           
2           	1           	10          	5           
3           	1           	25          	4.8         
4           	1           	60          	4.6         
5           	1           	138         	4.145       
6           	1           	286         	3.497       
7           	1           	500         	2.856       
8           	1           	714         	2.415       
9           	1           	862         	2.181       
10          	1           	940         	2.074       
11          	1           	975         	2.031       
12          	1           	990         	2.012       
13          	1           	996         	2.004       
14          	1           	998         	2.002       
15          	1           	999         	2.002       
16          	1           	1000        	2           
17          	1           	1000        	2           
18          	1           	1000        	2           
19          	1           	1000        	2           
20          	1           	1000        	2           
