generation  	alive.rpl   	adlt.nbInd  	q.adlt.a.freq_l1_a1	q.adlt.a.freq_l1_a2	q.adlt.a.freq_l2_a1	q.adlt.a.freq_l2_a2
1           	100         	2           	0.5         	0.5         	0.5         	0.5         
2           	100         	9.82        	0.4935      	0.5065      	0.5037      	0.4963      
3           	100         	49.58       	0.597       	0.403       	0.4532      	0.5468      
4           	100         	252.2       	0.659       	0.341       	0.4394      	0.5606      
5           	100         	897.5       	0.7037      	0.2963      	0.4262      	0.5738      
6           	100         	994.3       	0.738       	0.262       	0.4175      	0.5825      
7           	100         	1000        	0.7636      	0.2364      	0.4118      	0.5882      
8           	100         	1000        	0.7822      	0.2178      	0.4058      	0.5942      
9           	100         	1000        	0.7996      	0.2004      	0.4007      	0.5993      
10          	100         	1000        	0.8132      	0.1868      	0.3975      	0.6025      
11          	100         	1000        	0.8267      	0.1733      	0.3949      	0.6051      
12          	100         	1000        	0.8361      	0.1639      	0.3917      	0.6083      
13          	100         	1000        	0.8462      	0.1538      	0.3883      	0.6117      
14          	100         	1000        	0.8535      	0.1465      	0.385       	0.615       
15          	100         	1000        	0.8593      	0.1407      	0.3824      	0.6176      
16          	100         	1000        	0.865       	0.135       	0.3811      	0.6189      
17          	100         	1000        	0.8706      	0.1294      	0.3785      	0.6215      
18          	100         	1000        	0.8765      	0.1235      	0.3787      	0.6213      
19          	100         	1000        	0.8818      	0.1183      	0.3782      	0.6219      
20          	100         	1000        	0.8854      	0.1146      	0.3759      	0.6241      
21          	100         	1000        	0.8882      	0.1118      	0.3752      	0.6248      
22          	100         	1000        	0.8923      	0.1077      	0.3753      	0.6247      
23          	100         	1000        	0.8955      	0.1045      	0.3737      	0.6263      
24          	100         	1000        	0.8984      	0.1016      	0.3726      	0.6274      
25          	100         	1000        	0.9021      	0.09785     	0.3723      	0.6277      
26          	100         	1000        	0.9052      	0.09484     	0.3707      	0.6293      
27          	100         	1000        	0.9076      	0.09241     	0.3699      	0.6301      
28          	100         	1000        	0.9098      	0.09024     	0.3687      	0.6313      
29          	100         	1000        	0.9125      	0.08748     	0.3673      	0.6327      
30          	100         	1000        	0.9152      	0.08477     	0.366       	0.634       
31          	100         	1000        	0.9173      	0.08275     	0.366       	0.634       
32          	100         	1000        	0.9189      	0.08108     	0.3651      	0.6349      
33          	100         	1000        	0.9209      	0.0791      	0.365       	0.635       
34          	100         	1000        	0.9217      	0.07827     	0.3634      	0.6366      
35          	100         	1000        	0.9221      	0.0779      	0.3644      	0.6356      
36          	100         	1000        	0.9237      	0.07626     	0.3635      	0.6365      
37          	100         	1000        	0.9244      	0.07559     	0.362       	0.638       
38          	100         	1000        	0.9262      	0.07379     	0.3621      	0.6379      
39          	100         	1000        	0.9269      	0.07313     	0.3628      	0.6372      
40          	100         	1000        	0.9279      	0.07205     	0.3622      	0.6378      
41          	100         	1000        	0.929       	0.071       	0.3603      	0.6397      
42          	100         	1000        	0.9301      	0.06992     	0.3578      	0.6422      
43          	100         	1000        	0.9309      	0.06911     	0.3573      	0.6427      
44          	100         	1000        	0.9313      	0.06873     	0.3569      	0.6431      
45          	100         	1000        	0.932       	0.06801     	0.3571      	0.6429      
46          	100         	1000        	0.9331      	0.06691     	0.3575      	0.6425      
47          	100         	1000        	0.9342      	0.06581     	0.3572      	0.6428      
48          	100         	1000        	0.9353      	0.06467     	0.3576      	0.6424      
49          	100         	1000        	0.936       	0.064       	0.3574      	0.6426      
50          	100         	1000        	0.9376      	0.06237     	0.3572      	0.6428      
51          	100         	1000        	0.9391      	0.06089     	0.3577      	0.6423      
52          	100         	1000        	0.9389      	0.06112     	0.358       	0.642       
53          	100         	1000        	0.9415      	0.05854     	0.3592      	0.6408      
54          	100         	1000        	0.9418      	0.05822     	0.3596      	0.6404      
55          	100         	1000        	0.9433      	0.05669     	0.3571      	0.6429      
56          	100         	1000        	0.9433      	0.05672     	0.3579      	0.6421      
57          	100         	1000        	0.9437      	0.05631     	0.357       	0.643       
58          	100         	1000        	0.944       	0.05603     	0.3572      	0.6428      
59          	100         	1000        	0.9441      	0.05595     	0.3565      	0.6435      
60          	100         	1000        	0.9444      	0.05557     	0.3572      	0.6428      
61          	100         	1000        	0.9441      	0.0559      	0.3563      	0.6437      
62          	100         	1000        	0.9443      	0.05574     	0.3558      	0.6442      
63          	100         	1000        	0.9452      	0.05475     	0.3552      	0.6448      
64          	100         	1000        	0.9458      	0.05423     	0.3544      	0.6456      
65          	100         	1000        	0.9461      	0.05387     	0.3555      	0.6445      
66          	100         	1000        	0.9468      	0.05324     	0.3556      	0.6444      
67          	100         	1000        	0.9466      	0.05336     	0.3566      	0.6434      
68          	100         	1000        	0.9469      	0.05307     	0.357       	0.643       
69          	100         	1000        	0.9465      	0.05354     	0.3576      	0.6424      
70          	100         	1000        	0.9475      	0.05251     	0.3582      	0.6418      
71          	100         	1000        	0.9484      	0.05158     	0.3568      	0.6432      
72          	100         	1000        	0.9491      	0.05087     	0.3552      	0.6448      
