replicate   	generation  	adlt.nbInd  	q.adlt.a.freq_l1_a1	q.adlt.a.freq_l1_a2	q.adlt.a.freq_l2_a1	q.adlt.a.freq_l2_a2
1           	1           	2           	0.5         	0.5         	0.5         	0.5         
1           	2           	14          	0.4286      	0.5714      	0.5714      	0.4286      
1           	3           	57          	0.5702      	0.4298      	0.4912      	0.5088      
1           	4           	232         	0.7198      	0.2802      	0.4871      	0.5129      
1           	5           	1000        	0.767       	0.233       	0.48        	0.52        
1           	6           	1000        	0.814       	0.186       	0.468       	0.532       
1           	7           	1000        	0.833       	0.167       	0.463       	0.537       
1           	8           	1000        	0.852       	0.148       	0.459       	0.541       
1           	9           	1000        	0.8525      	0.1475      	0.449       	0.551       
1           	10          	1000        	0.8615      	0.1385      	0.4615      	0.5385      
1           	11          	1000        	0.87        	0.13        	0.454       	0.546       
1           	12          	1000        	0.8815      	0.1185      	0.4545      	0.5455      
1           	13          	1000        	0.9005      	0.0995      	0.4295      	0.5705      
1           	14          	1000        	0.896       	0.104       	0.431       	0.569       
1           	15          	1000        	0.899       	0.101       	0.436       	0.564       
1           	16          	1000        	0.892       	0.108       	0.4365      	0.5635      
1           	17          	1000        	0.9         	0.1         	0.4365      	0.5635      
1           	18          	1000        	0.901       	0.099       	0.43        	0.57        
1           	19          	1000        	0.9215      	0.0785      	0.429       	0.571       
1           	20          	1000        	0.9275      	0.0725      	0.435       	0.565       
1           	21          	1000        	0.931       	0.069       	0.436       	0.564       
1           	22          	1000        	0.933       	0.067       	0.4445      	0.5555      
1           	23          	1000        	0.939       	0.061       	0.447       	0.553       
1           	24          	1000        	0.9465      	0.0535      	0.461       	0.539       
1           	25          	1000        	0.949       	0.051       	0.4545      	0.5455      
1           	26          	1000        	0.955       	0.045       	0.449       	0.551       
1           	27          	1000        	0.968       	0.032       	0.455       	0.545       
1           	28          	1000        	0.969       	0.031       	0.454       	0.546       
1           	29          	1000        	0.9705      	0.0295      	0.448       	0.552       
1           	30          	1000        	0.9705      	0.0295      	0.443       	0.557       
1           	31          	1000        	0.9675      	0.0325      	0.445       	0.555       
1           	32          	1000        	0.9595      	0.0405      	0.456       	0.544       
1           	33          	1000        	0.9615      	0.0385      	0.478       	0.522       
1           	34          	1000        	0.964       	0.036       	0.4665      	0.5335      
1           	35          	1000        	0.966       	0.034       	0.4595      	0.5405      
1           	36          	1000        	0.964       	0.036       	0.4655      	0.5345      
1           	37          	1000        	0.967       	0.033       	0.465       	0.535       
1           	38          	1000        	0.968       	0.032       	0.463       	0.537       
1           	39          	1000        	0.967       	0.033       	0.44        	0.56        
1           	40          	1000        	0.968       	0.032       	0.4355      	0.5645      
1           	41          	1000        	0.971       	0.029       	0.4155      	0.5845      
1           	42          	1000        	0.9685      	0.0315      	0.4055      	0.5945      
1           	43          	1000        	0.9695      	0.0305      	0.414       	0.586       
1           	44          	1000        	0.9725      	0.0275      	0.417       	0.583       
1           	45          	1000        	0.972       	0.028       	0.4165      	0.5835      
1           	46          	1000        	0.969       	0.031       	0.395       	0.605       
1           	47          	1000        	0.9735      	0.0265      	0.3995      	0.6005      
1           	48          	1000        	0.9735      	0.0265      	0.4095      	0.5905      
1           	49          	1000        	0.9725      	0.0275      	0.42        	0.58        
1           	50          	1000        	0.9775      	0.0225      	0.43        	0.57        
1           	51          	1000        	0.9815      	0.0185      	0.42        	0.58        
1           	52          	1000        	0.9835      	0.0165      	0.416       	0.584       
1           	53          	1000        	0.984       	0.016       	0.418       	0.582       
1           	54          	1000        	0.9875      	0.0125      	0.4045      	0.5955      
1           	55          	1000        	0.982       	0.018       	0.423       	0.577       
1           	56          	1000        	0.9835      	0.0165      	0.418       	0.582       
1           	57          	1000        	0.987       	0.013       	0.424       	0.576       
1           	58          	1000        	0.988       	0.012       	0.4345      	0.5655      
1           	59          	1000        	0.9925      	0.0075      	0.439       	0.561       
1           	60          	1000        	0.995       	0.005       	0.4075      	0.5925      
1           	61          	1000        	0.993       	0.007       	0.419       	0.581       
