generation  	alive.rpl   	adlt.nbInd  	q.adlt.a.freq_l1_a1	q.adlt.a.freq_l1_a2	q.adlt.a.freq_l2_a1	q.adlt.a.freq_l2_a2
1           	50          	0           	0           	0           	0           	0           
2           	50          	9.45        	0.01844     	0.01844     	0.008864    	0.008864    
3           	49          	515.2       	0.02084     	0.02084     	0.0181      	0.0181      
4           	49          	1.513e+04   	0.01585     	0.01585     	0.01878     	0.01878     
5           	49          	5.177e+04   	0.01152     	0.01152     	0.01886     	0.01886     
6           	49          	6313        	0.008672    	0.008672    	0.01939     	0.01939     
7           	49          	0           	0.007423    	0.007423    	0.02048     	0.02048     
8           	49          	0           	0.007064    	0.007064    	0.02097     	0.02097     
9           	49          	0           	0.006131    	0.006131    	0.0213      	0.0213      
10          	49          	0           	0.00547     	0.00547     	0.02229     	0.02229     
11          	49          	0           	0.005459    	0.005459    	0.02275     	0.02275     
12          	49          	0           	0.005173    	0.005173    	0.02312     	0.02312     
13          	49          	0           	0.005071    	0.005071    	0.02351     	0.02351     
14          	49          	0           	0.00494     	0.00494     	0.02404     	0.02404     
15          	49          	0           	0.004929    	0.004929    	0.02546     	0.02546     
16          	49          	0           	0.004705    	0.004705    	0.02594     	0.02594     
17          	49          	0           	0.004726    	0.004726    	0.02682     	0.02682     
18          	49          	0           	0.004749    	0.004749    	0.02804     	0.02804     
19          	49          	0           	0.004758    	0.004758    	0.02841     	0.02841     
20          	49          	0           	0.004592    	0.004592    	0.02875     	0.02875     
21          	49          	0           	0.004313    	0.004313    	0.02867     	0.02867     
22          	49          	0           	0.003995    	0.003995    	0.02848     	0.02848     
23          	49          	0           	0.003969    	0.003969    	0.02891     	0.02891     
24          	49          	0           	0.004077    	0.004077    	0.02907     	0.02907     
25          	49          	0           	0.003808    	0.003808    	0.02984     	0.02984     
26          	49          	0           	0.003685    	0.003685    	0.02961     	0.02961     
27          	49          	0           	0.003623    	0.003623    	0.02954     	0.02954     
28          	49          	0           	0.003372    	0.003372    	0.02896     	0.02896     
29          	49          	0           	0.003196    	0.003196    	0.02943     	0.02943     
