replicate   	generation  	adlt.nbInd  	n.adlt.nbFixLoc
1           	1           	1e+04       	0           
1           	2           	1e+04       	0           
1           	3           	1e+04       	0           
1           	4           	1e+04       	0           
1           	5           	1e+04       	0           
1           	6           	1e+04       	0           
1           	7           	1e+04       	0           
1           	8           	1e+04       	0           
1           	9           	1e+04       	0           
1           	10          	1e+04       	0           
1           	11          	1e+04       	0           
1           	12          	1e+04       	0           
1           	13          	1e+04       	0           
1           	14          	1e+04       	0           
1           	15          	1e+04       	0           
1           	16          	1e+04       	0           
1           	17          	1e+04       	0           
1           	18          	1e+04       	0           
1           	19          	1e+04       	0           
1           	20          	1e+04       	0           
1           	21          	1e+04       	0           
1           	22          	1e+04       	0           
1           	23          	1e+04       	0           
1           	24          	1e+04       	0           
1           	25          	1e+04       	0           
1           	26          	1e+04       	0           
1           	27          	1e+04       	0           
1           	28          	1e+04       	0           
1           	29          	1e+04       	0           
1           	30          	1e+04       	0           
1           	31          	1e+04       	0           
1           	32          	1e+04       	0           
1           	33          	1e+04       	0           
1           	34          	1e+04       	0           
1           	35          	1e+04       	0           
1           	36          	1e+04       	0           
1           	37          	1e+04       	0           
1           	38          	1e+04       	0           
1           	39          	1e+04       	0           
1           	40          	1e+04       	0           
1           	41          	1e+04       	0           
1           	42          	1e+04       	0           
1           	43          	1e+04       	0           
1           	44          	1e+04       	0           
1           	45          	1e+04       	0           
1           	46          	1e+04       	0           
1           	47          	1e+04       	0           
1           	48          	1e+04       	0           
1           	49          	1e+04       	0           
1           	50          	1e+04       	0           
1           	51          	1e+04       	0           
1           	52          	1e+04       	0           
1           	53          	1e+04       	0           
1           	54          	1e+04       	0           
1           	55          	1e+04       	0           
1           	56          	1e+04       	0           
1           	57          	1e+04       	0           
1           	58          	1e+04       	0           
1           	59          	1e+04       	0           
1           	60          	1e+04       	0           
1           	61          	1e+04       	0           
1           	62          	1e+04       	0           
1           	63          	1e+04       	0           
1           	64          	1e+04       	0           
1           	65          	1e+04       	0           
1           	66          	1e+04       	0           
1           	67          	1e+04       	0           
1           	68          	1e+04       	0           
1           	69          	1e+04       	0           
1           	70          	1e+04       	0           
1           	71          	1e+04       	0           
1           	72          	1e+04       	0           
1           	73          	1e+04       	0           
1           	74          	1e+04       	0           
1           	75          	1e+04       	0           
1           	76          	1e+04       	0           
1           	77          	1e+04       	0           
1           	78          	1e+04       	0           
1           	79          	1e+04       	0           
1           	80          	1e+04       	0           
1           	81          	1e+04       	0           
1           	82          	1e+04       	0           
1           	83          	1e+04       	0           
1           	84          	1e+04       	0           
1           	85          	1e+04       	0           
1           	86          	1e+04       	0           
1           	87          	1e+04       	0           
1           	88          	1e+04       	0           
1           	89          	1e+04       	0           
1           	90          	1e+04       	0           
1           	91          	1e+04       	0           
1           	92          	1e+04       	0           
1           	93          	1e+04       	0           
1           	94          	1e+04       	0           
1           	95          	1e+04       	0           
1           	96          	1e+04       	0           
1           	97          	1e+04       	0           
1           	98          	1e+04       	0           
1           	99          	1e+04       	0           
1           	100         	1e+04       	0           
1           	101         	10          	0           
1           	102         	1e+04       	0           
