generation  	alive.rpl   	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	1           	5.5         	0.5053      	1           	-8.437e-05  
2           	1           	6.15        	0.504       	0.9971      	0.0004503   
3           	1           	6.45        	0.5034      	0.9955      	0.001043    
4           	1           	7.1         	0.5014      	0.9915      	0.001395    
5           	1           	7.25        	0.4996      	0.9881      	0.001796    
6           	1           	7.05        	0.4987      	0.9857      	0.002527    
7           	1           	7.1         	0.498       	0.9833      	0.002812    
8           	1           	7.2         	0.4972      	0.9818      	0.002961    
9           	1           	7.5         	0.4958      	0.9781      	0.00328     
10          	1           	7.6         	0.4938      	0.9741      	0.003561    
11          	1           	7.5         	0.4927      	0.9715      	0.004148    
12          	1           	7.75        	0.4904      	0.9672      	0.003912    
13          	1           	7.85        	0.4895      	0.9653      	0.004493    
14          	1           	7.95        	0.488       	0.9616      	0.004767    
15          	1           	7.9         	0.4876      	0.9598      	0.005619    
16          	1           	8.05        	0.4872      	0.9583      	0.006684    
17          	1           	8.1         	0.4874      	0.9591      	0.006572    
18          	1           	8.1         	0.4869      	0.9579      	0.006656    
19          	1           	8.2         	0.4849      	0.9539      	0.007139    
20          	1           	8.25        	0.4837      	0.9507      	0.0076      
21          	1           	8.35        	0.4803      	0.9439      	0.007724    
22          	1           	8.35        	0.4802      	0.9418      	0.009025    
23          	1           	8.65        	0.4772      	0.9354      	0.009725    
24          	1           	8.85        	0.476       	0.9319      	0.0104      
25          	1           	8.65        	0.4751      	0.9303      	0.0105      
26          	1           	8.6         	0.4745      	0.9291      	0.01093     
27          	1           	8.5         	0.4753      	0.93        	0.01199     
28          	1           	8.55        	0.4743      	0.9268      	0.01303     
29          	1           	8.5         	0.4761      	0.9302      	0.01307     
30          	1           	8.55        	0.4765      	0.9306      	0.0138      
31          	1           	8.55        	0.4758      	0.9283      	0.01418     
32          	1           	8.35        	0.4766      	0.9287      	0.01546     
33          	1           	8.25        	0.4772      	0.9292      	0.01638     
34          	1           	8.25        	0.4782      	0.9308      	0.0172      
35          	1           	8.25        	0.4776      	0.9286      	0.01827     
36          	1           	8.25        	0.4769      	0.9264      	0.01939     
37          	1           	8.3         	0.4752      	0.9223      	0.02054     
38          	1           	8.25        	0.4729      	0.9173      	0.0211      
39          	1           	8.4         	0.4732      	0.9171      	0.02193     
40          	1           	8.55        	0.4737      	0.9176      	0.02215     
41          	1           	8.55        	0.4741      	0.9167      	0.02375     
42          	1           	8.6         	0.4727      	0.9142      	0.02389     
43          	1           	8.6         	0.4702      	0.909       	0.02395     
44          	1           	8.6         	0.4731      	0.9144      	0.02408     
45          	1           	8.5         	0.4702      	0.908       	0.02459     
46          	1           	8.55        	0.4674      	0.902       	0.02504     
47          	1           	8.55        	0.4666      	0.8999      	0.02519     
48          	1           	8.65        	0.4658      	0.8965      	0.02661     
49          	1           	8.8         	0.4642      	0.8931      	0.02715     
50          	1           	8.8         	0.461       	0.8863      	0.02752     
51          	1           	8.7         	0.461       	0.8872      	0.02649     
52          	1           	8.75        	0.4623      	0.8898      	0.02659     
53          	1           	8.65        	0.4625      	0.8901      	0.02714     
54          	1           	8.65        	0.463       	0.8904      	0.02814     
55          	1           	8.8         	0.4619      	0.8878      	0.0289      
56          	1           	8.7         	0.4577      	0.8795      	0.02925     
57          	1           	8.65        	0.4576      	0.88        	0.02837     
58          	1           	8.85        	0.4573      	0.8807      	0.02745     
59          	1           	8.85        	0.4582      	0.8811      	0.02896     
60          	1           	8.85        	0.4566      	0.88        	0.02733     
61          	1           	9           	0.4527      	0.8713      	0.02813     
62          	1           	9.15        	0.4485      	0.8627      	0.02851     
63          	1           	8.9         	0.4474      	0.8619      	0.02716     
64          	1           	8.65        	0.4476      	0.862       	0.02725     
65          	1           	8.45        	0.4459      	0.8599      	0.02602     
66          	1           	8.3         	0.4437      	0.8553      	0.02616     
67          	1           	8.2         	0.4425      	0.8535      	0.02559     
68          	1           	8.35        	0.4394      	0.8461      	0.0268      
69          	1           	8.35        	0.4413      	0.849       	0.02794     
70          	1           	8.45        	0.4416      	0.8478      	0.02999     
71          	1           	8.4         	0.4408      	0.8466      	0.02972     
72          	1           	8.55        	0.4414      	0.8482      	0.02938     
73          	1           	8.6         	0.4441      	0.8534      	0.02949     
74          	1           	8.6         	0.4409      	0.8468      	0.02977     
75          	1           	8.7         	0.4411      	0.8482      	0.02866     
76          	1           	8.65        	0.4409      	0.848       	0.02868     
77          	1           	8.65        	0.4382      	0.8431      	0.02814     
78          	1           	8.75        	0.4352      	0.8369      	0.02862     
79          	1           	8.75        	0.4368      	0.8387      	0.02973     
80          	1           	8.55        	0.4342      	0.8345      	0.02905     
81          	1           	8.7         	0.433       	0.8309      	0.02979     
82          	1           	8.7         	0.4326      	0.8293      	0.03036     
83          	1           	8.7         	0.4313      	0.8265      	0.0309      
84          	1           	8.85        	0.4291      	0.8231      	0.03006     
85          	1           	8.7         	0.4278      	0.8199      	0.03098     
86          	1           	8.8         	0.4262      	0.8169      	0.03082     
87          	1           	8.75        	0.4263      	0.8172      	0.03066     
88          	1           	8.8         	0.4253      	0.8141      	0.0315      
89          	1           	8.75        	0.4252      	0.8142      	0.03119     
90          	1           	8.85        	0.424       	0.8093      	0.03363     
91          	1           	8.85        	0.4202      	0.8004      	0.03527     
92          	1           	9.05        	0.417       	0.7938      	0.03553     
93          	1           	9           	0.4158      	0.7914      	0.03571     
94          	1           	8.8         	0.4167      	0.7928      	0.03578     
95          	1           	8.75        	0.4173      	0.7929      	0.03675     
96          	1           	8.75        	0.4183      	0.7939      	0.0373      
97          	1           	8.55        	0.4183      	0.7947      	0.03642     
98          	1           	8.9         	0.4195      	0.7949      	0.03841     
99          	1           	8.75        	0.4183      	0.7931      	0.038       
100         	1           	8.7         	0.4194      	0.7949      	0.03833     
101         	1           	8.75        	0.4177      	0.7917      	0.03805     
102         	1           	8.55        	0.4157      	0.7867      	0.03918     
103         	1           	8.6         	0.4131      	0.7811      	0.03945     
104         	1           	8.6         	0.4133      	0.7808      	0.04021     
105         	1           	8.55        	0.4131      	0.7781      	0.04236     
106         	1           	8.65        	0.4173      	0.7844      	0.04412     
107         	1           	8.7         	0.4154      	0.7825      	0.04244     
108         	1           	8.6         	0.4121      	0.7759      	0.04255     
109         	1           	8.5         	0.4116      	0.7743      	0.04331     
110         	1           	8.55        	0.4106      	0.7732      	0.04232     
111         	1           	8.6         	0.4111      	0.7742      	0.04207     
112         	1           	8.75        	0.4081      	0.767       	0.04339     
113         	1           	8.65        	0.4082      	0.7661      	0.04428     
114         	1           	8.8         	0.409       	0.7679      	0.04354     
115         	1           	8.95        	0.4102      	0.7697      	0.04437     
116         	1           	8.85        	0.4112      	0.7708      	0.04511     
117         	1           	8.85        	0.408       	0.7648      	0.04481     
118         	1           	8.75        	0.4055      	0.7593      	0.04525     
119         	1           	8.8         	0.4045      	0.7569      	0.04558     
120         	1           	8.95        	0.4031      	0.7534      	0.04635     
121         	1           	8.9         	0.4035      	0.7525      	0.04807     
122         	1           	8.9         	0.4058      	0.7552      	0.04998     
123         	1           	8.8         	0.4096      	0.7618      	0.05074     
124         	1           	8.85        	0.4073      	0.7582      	0.04978     
125         	1           	8.75        	0.4094      	0.7595      	0.05215     
126         	1           	8.95        	0.4085      	0.7568      	0.05314     
127         	1           	8.85        	0.408       	0.7565      	0.05272     
128         	1           	8.85        	0.4061      	0.7531      	0.05232     
129         	1           	8.85        	0.404       	0.7486      	0.05276     
130         	1           	8.95        	0.4052      	0.7513      	0.05223     
131         	1           	8.9         	0.4034      	0.7483      	0.05127     
132         	1           	8.85        	0.4011      	0.742       	0.05309     
133         	1           	8.9         	0.4022      	0.7444      	0.05309     
134         	1           	9           	0.4008      	0.7434      	0.05152     
135         	1           	8.95        	0.4007      	0.7411      	0.05364     
136         	1           	8.8         	0.3996      	0.7395      	0.0528      
137         	1           	8.75        	0.4008      	0.7415      	0.0533      
138         	1           	8.85        	0.4057      	0.7507      	0.05413     
139         	1           	8.65        	0.4075      	0.7521      	0.0562      
140         	1           	8.65        	0.4068      	0.7477      	0.05934     
141         	1           	8.7         	0.4088      	0.7521      	0.05902     
142         	1           	8.7         	0.4099      	0.7543      	0.05857     
143         	1           	8.7         	0.4122      	0.7582      	0.05971     
144         	1           	8.65        	0.4123      	0.7578      	0.06044     
145         	1           	8.7         	0.4094      	0.7523      	0.05964     
146         	1           	8.75        	0.4075      	0.7467      	0.06192     
147         	1           	8.9         	0.4038      	0.7391      	0.06213     
148         	1           	8.75        	0.4059      	0.7426      	0.06236     
149         	1           	8.85        	0.4086      	0.7463      	0.06384     
150         	1           	8.7         	0.4109      	0.7489      	0.06597     
151         	1           	8.75        	0.4124      	0.7526      	0.06516     
152         	1           	8.8         	0.4141      	0.7541      	0.06712     
153         	1           	8.95        	0.4132      	0.7522      	0.06708     
154         	1           	9           	0.4146      	0.7521      	0.06997     
155         	1           	8.95        	0.4109      	0.7436      	0.07113     
156         	1           	8.75        	0.4087      	0.7412      	0.06876     
157         	1           	8.75        	0.4056      	0.7338      	0.07        
158         	1           	8.55        	0.4046      	0.7309      	0.07069     
159         	1           	8.6         	0.4041      	0.7311      	0.06958     
160         	1           	8.75        	0.4022      	0.7285      	0.0687      
161         	1           	8.85        	0.4026      	0.7308      	0.06754     
162         	1           	8.85        	0.4053      	0.7335      	0.06982     
163         	1           	9           	0.4039      	0.7334      	0.06758     
164         	1           	8.95        	0.3975      	0.72        	0.06858     
165         	1           	8.85        	0.3975      	0.7197      	0.0689      
166         	1           	8.85        	0.3978      	0.7217      	0.06765     
167         	1           	8.8         	0.4         	0.7268      	0.06696     
168         	1           	8.9         	0.4005      	0.7252      	0.06954     
169         	1           	9           	0.4019      	0.7249      	0.0727      
