replicate   	generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	1           	5.5         	0.5055      	1           	-9.19e-05   
1           	2           	5.9         	0.5047      	0.998       	0.0003015   
1           	3           	6.3         	0.5035      	0.9951      	0.000678    
1           	4           	6.65        	0.5033      	0.9938      	0.001386    
1           	5           	6.85        	0.5021      	0.9911      	0.0019      
1           	6           	7.05        	0.5009      	0.9884      	0.002644    
1           	7           	7.15        	0.5007      	0.9871      	0.00327     
1           	8           	6.95        	0.5006      	0.9877      	0.003404    
1           	9           	7.3         	0.499       	0.9845      	0.003722    
1           	10          	7.35        	0.4987      	0.9831      	0.004309    
1           	11          	7.25        	0.4978      	0.9806      	0.004588    
1           	12          	7.35        	0.4978      	0.9799      	0.004903    
1           	13          	7.7         	0.4946      	0.974       	0.004607    
1           	14          	7.65        	0.494       	0.9724      	0.005239    
1           	15          	7.6         	0.4957      	0.9751      	0.005761    
1           	16          	7.45        	0.496       	0.9751      	0.005858    
1           	17          	7.6         	0.4953      	0.9741      	0.005721    
1           	18          	7.65        	0.4951      	0.9729      	0.005851    
1           	19          	7.75        	0.4953      	0.9725      	0.00646     
1           	20          	7.9         	0.4947      	0.9707      	0.007599    
1           	21          	7.85        	0.4951      	0.9699      	0.008503    
1           	22          	7.95        	0.4932      	0.9655      	0.008925    
1           	23          	7.85        	0.4933      	0.9643      	0.01073     
1           	24          	7.8         	0.4938      	0.9643      	0.01116     
1           	25          	7.8         	0.4936      	0.9629      	0.01182     
1           	26          	7.75        	0.4953      	0.9645      	0.01289     
1           	27          	7.85        	0.4946      	0.9623      	0.01345     
1           	28          	7.9         	0.4942      	0.9597      	0.01436     
1           	29          	8.2         	0.4931      	0.9569      	0.01545     
1           	30          	8.2         	0.4936      	0.957       	0.0161      
1           	31          	8.3         	0.4925      	0.9547      	0.01636     
1           	32          	8.1         	0.4912      	0.953       	0.01581     
1           	33          	8.45        	0.4901      	0.9495      	0.01751     
1           	34          	8.6         	0.4899      	0.9479      	0.01864     
1           	35          	8.7         	0.4856      	0.9399      	0.01846     
1           	36          	8.7         	0.4863      	0.9405      	0.01919     
1           	37          	8.55        	0.4878      	0.9426      	0.02006     
1           	38          	8.55        	0.4859      	0.9381      	0.0215      
1           	39          	8.5         	0.4848      	0.9365      	0.02105     
1           	40          	8.55        	0.4832      	0.9344      	0.02028     
1           	41          	8.45        	0.4837      	0.9346      	0.02157     
1           	42          	8.65        	0.4837      	0.9341      	0.02221     
1           	43          	8.6         	0.4805      	0.9281      	0.02158     
