generation  	alive.rpl   	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	1           	5.5         	0.5058      	1           	-2.464e-08  
2           	1           	8.25        	0.4963      	0.9808      	0.0003735   
3           	1           	9.35        	0.4859      	0.9602      	0.0009268   
4           	1           	9.75        	0.4743      	0.9374      	0.001276    
5           	1           	9.8         	0.4636      	0.9157      	0.001383    
6           	1           	9.9         	0.4537      	0.8956      	0.001978    
7           	1           	9.95        	0.4431      	0.8741      	0.002521    
8           	1           	9.95        	0.4324      	0.8522      	0.002823    
9           	1           	9.95        	0.4171      	0.8219      	0.0033      
10          	1           	9.95        	0.4104      	0.8082      	0.00365     
11          	1           	10          	0.4016      	0.7908      	0.004043    
12          	1           	10          	0.3912      	0.7698      	0.004199    
13          	1           	10          	0.3809      	0.7484      	0.005227    
14          	1           	10          	0.3724      	0.7308      	0.005759    
15          	1           	10          	0.362       	0.7105      	0.006112    
16          	1           	10          	0.3564      	0.6985      	0.006849    
17          	1           	10          	0.3499      	0.6843      	0.008192    
18          	1           	10          	0.3388      	0.6621      	0.008271    
19          	1           	10          	0.3325      	0.6501      	0.007948    
20          	1           	10          	0.3302      	0.6458      	0.007896    
21          	1           	10          	0.324       	0.633       	0.008343    
22          	1           	10          	0.3217      	0.6281      	0.008037    
23          	1           	10          	0.3177      	0.6197      	0.008345    
24          	1           	10          	0.3108      	0.6064      	0.008078    
25          	1           	10          	0.3006      	0.5871      	0.007749    
26          	1           	10          	0.2938      	0.5734      	0.007684    
27          	1           	10          	0.2869      	0.5601      	0.00759     
28          	1           	10          	0.2824      	0.5504      	0.0086      
29          	1           	10          	0.2802      	0.5463      	0.008246    
30          	1           	10          	0.2798      	0.5445      	0.009061    
31          	1           	10          	0.2732      	0.532       	0.00866     
32          	1           	10          	0.2683      	0.5219      	0.009018    
33          	1           	10          	0.2645      	0.514       	0.009505    
34          	1           	10          	0.2594      	0.5032      	0.01043     
35          	1           	10          	0.2556      	0.4951      	0.01083     
36          	1           	10          	0.2487      	0.4811      	0.01074     
37          	1           	10          	0.2431      	0.4702      	0.01069     
38          	1           	10          	0.2395      	0.4637      	0.01022     
39          	1           	10          	0.2328      	0.4504      	0.01008     
40          	1           	10          	0.2267      	0.4373      	0.01117     
41          	1           	10          	0.2206      	0.4249      	0.01136     
42          	1           	10          	0.2118      	0.4066      	0.01245     
43          	1           	10          	0.2088      	0.3995      	0.01371     
44          	1           	10          	0.2018      	0.3865      	0.01295     
45          	1           	10          	0.1983      	0.3792      	0.01305     
46          	1           	9.95        	0.195       	0.3727      	0.01316     
47          	1           	9.95        	0.1893      	0.3611      	0.01337     
48          	1           	9.95        	0.1883      	0.359       	0.0135      
49          	1           	10          	0.1814      	0.3466      	0.01238     
50          	1           	10          	0.1799      	0.3441      	0.01201     
51          	1           	10          	0.1756      	0.3353      	0.01214     
52          	1           	10          	0.1716      	0.3274      	0.01213     
53          	1           	10          	0.1689      	0.3203      	0.01388     
54          	1           	10          	0.1629      	0.3088      	0.01367     
55          	1           	9.95        	0.1604      	0.3057      	0.01203     
56          	1           	9.95        	0.155       	0.2949      	0.01234     
57          	1           	10          	0.1498      	0.2845      	0.01252     
58          	1           	10          	0.1463      	0.277       	0.01311     
59          	1           	10          	0.1447      	0.2733      	0.01384     
60          	1           	10          	0.1432      	0.2701      	0.01392     
61          	1           	10          	0.1383      	0.2604      	0.01376     
62          	1           	10          	0.1363      	0.2562      	0.01416     
63          	1           	10          	0.1323      	0.248       	0.01436     
64          	1           	10          	0.131       	0.246       	0.01382     
65          	1           	10          	0.1266      	0.2372      	0.01392     
66          	1           	10          	0.124       	0.2324      	0.01361     
67          	1           	10          	0.1223      	0.2296      	0.01303     
68          	1           	10          	0.1173      	0.2195      	0.01312     
69          	1           	10          	0.1129      	0.2114      	0.01252     
