generation  	alive.rpl   	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	1           	5.5         	0.5059      	1           	8.828e-05   
2           	1           	7.9         	0.4989      	0.9856      	0.0005624   
3           	1           	8.6         	0.4943      	0.9763      	0.0007107   
4           	1           	9.25        	0.4884      	0.9644      	0.001197    
5           	1           	9.7         	0.4834      	0.9542      	0.001591    
6           	1           	9.5         	0.4762      	0.9396      	0.001939    
7           	1           	9.85        	0.4712      	0.9293      	0.002163    
8           	1           	9.75        	0.4688      	0.9241      	0.002633    
9           	1           	9.9         	0.4644      	0.9146      	0.003066    
10          	1           	9.65        	0.4589      	0.9036      	0.003297    
11          	1           	9.6         	0.4566      	0.8986      	0.004009    
12          	1           	9.7         	0.4504      	0.8861      	0.004398    
13          	1           	9.95        	0.4445      	0.8732      	0.005304    
14          	1           	9.9         	0.4414      	0.867       	0.005578    
15          	1           	9.8         	0.4381      	0.86        	0.006078    
16          	1           	9.95        	0.4336      	0.8506      	0.006564    
17          	1           	9.95        	0.4294      	0.8418      	0.006856    
18          	1           	9.95        	0.4283      	0.8391      	0.007262    
19          	1           	9.95        	0.4231      	0.828       	0.008192    
20          	1           	10          	0.4181      	0.8176      	0.008592    
21          	1           	9.95        	0.4142      	0.8095      	0.008882    
22          	1           	9.95        	0.408       	0.7967      	0.009133    
23          	1           	9.95        	0.4032      	0.7873      	0.00896     
24          	1           	9.9         	0.3987      	0.7787      	0.009434    
25          	1           	9.9         	0.3978      	0.7769      	0.009232    
26          	1           	9.9         	0.3926      	0.7662      	0.009702    
27          	1           	9.95        	0.3868      	0.7544      	0.01049     
28          	1           	10          	0.383       	0.7451      	0.01177     
29          	1           	10          	0.3811      	0.7412      	0.01123     
30          	1           	9.95        	0.3774      	0.734       	0.01106     
31          	1           	9.95        	0.3739      	0.7273      	0.01057     
32          	1           	10          	0.3706      	0.7195      	0.01157     
33          	1           	10          	0.3658      	0.7108      	0.01083     
34          	1           	10          	0.3652      	0.7096      	0.01107     
35          	1           	10          	0.3614      	0.702       	0.01093     
36          	1           	10          	0.3586      	0.6966      	0.01078     
