replicate   	generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	1           	5.5         	0.5057      	1           	6.406e-06   
1           	2           	10          	0.398       	0.7867      	0.0005352   
1           	3           	10          	0.3219      	0.6356      	0.001241    
1           	4           	10          	0.2494      	0.4922      	0.001333    
1           	5           	10          	0.1991      	0.393       	0.001196    
1           	6           	10          	0.1589      	0.3133      	0.001517    
1           	7           	10          	0.1249      	0.2461      	0.001432    
1           	8           	10          	0.09951     	0.196       	0.001224    
1           	9           	10          	0.07766     	0.1527      	0.001208    
1           	10          	10          	0.06275     	0.123       	0.001371    
1           	11          	10          	0.05015     	0.09786     	0.001551    
1           	12          	10          	0.04078     	0.07903     	0.001805    
1           	13          	10          	0.03348     	0.06456     	0.001806    
1           	14          	10          	0.02703     	0.05161     	0.00199     
1           	15          	10          	0.02133     	0.04021     	0.002075    
1           	16          	10          	0.01764     	0.03295     	0.002026    
1           	17          	10          	0.01648     	0.03059     	0.002096    
1           	18          	10          	0.01356     	0.02508     	0.001803    
1           	19          	10          	0.01246     	0.02238     	0.002346    
1           	20          	10          	0.01047     	0.01795     	0.002843    
1           	21          	10          	0.008167    	0.01414     	0.002073    
1           	22          	10          	0.007263    	0.01243     	0.001984    
1           	23          	10          	0.006748    	0.01134     	0.002061    
1           	24          	10          	0.006041    	0.01008     	0.001909    
1           	25          	10          	0.005148    	0.008464    	0.00176     
1           	26          	10          	0.004446    	0.007005    	0.00183     
1           	27          	10          	0.004247    	0.006591    	0.001849    
1           	28          	10          	0.003361    	0.004915    	0.001772    
1           	29          	10          	0.00275     	0.003941    	0.00153     
1           	30          	10          	0.002512    	0.003471    	0.00153     
1           	31          	10          	0.002385    	0.00345     	0.001296    
1           	32          	10          	0.001865    	0.0026      	0.001112    
1           	33          	10          	0.001817    	0.002321    	0.001301    
1           	34          	10          	0.001756    	0.002319    	0.001179    
1           	35          	10          	0.001763    	0.002293    	0.001221    
1           	36          	10          	0.00162     	0.00214     	0.001087    
1           	37          	10          	0.001577    	0.002073    	0.001069    
1           	38          	10          	0.00171     	0.002389    	0.001017    
1           	39          	10          	0.002001    	0.002713    	0.001272    
1           	40          	10          	0.00165     	0.001977    	0.001316    
1           	41          	10          	0.001372    	0.001551    	0.001189    
1           	42          	10          	0.001311    	0.00149     	0.001128    
1           	43          	10          	0.001191    	0.001405    	0.0009719   
1           	44          	10          	0.001151    	0.001372    	0.0009243   
