generation  	alive.rpl   	n.adlt.nbAll	n.adlt.ho   	n.adlt.hs   
1           	1           	1           	0           	0           
2           	1           	9           	0.0013      	0.0013      
3           	1           	11          	0.0033      	0.003297    
4           	1           	11          	0.0054      	0.005392    
5           	1           	11          	0.0065      	0.006488    
6           	1           	11          	0.0075      	0.007484    
7           	1           	11          	0.0094      	0.009375    
8           	1           	11          	0.0097      	0.009673    
9           	1           	11          	0.0106      	0.01067     
10          	1           	11          	0.0104      	0.01037     
11          	1           	11          	0.0124      	0.01236     
12          	1           	11          	0.0144      	0.01434     
13          	1           	11          	0.0176      	0.01761     
14          	1           	11          	0.0199      	0.02028     
15          	1           	11          	0.0215      	0.02157     
16          	1           	11          	0.0232      	0.02305     
17          	1           	11          	0.0279      	0.02778     
18          	1           	11          	0.0316      	0.03171     
19          	1           	11          	0.0281      	0.02847     
20          	1           	11          	0.029       	0.02886     
21          	1           	11          	0.0325      	0.0323      
22          	1           	11          	0.0364      	0.03642     
23          	1           	11          	0.0384      	0.03896     
24          	1           	11          	0.0409      	0.04102     
25          	1           	11          	0.0441      	0.04394     
26          	1           	11          	0.0423      	0.04189     
27          	1           	11          	0.0453      	0.04521     
28          	1           	11          	0.0483      	0.04823     
29          	1           	11          	0.0501      	0.05095     
30          	1           	11          	0.0519      	0.05192     
31          	1           	11          	0.0485      	0.04862     
32          	1           	11          	0.0494      	0.04949     
33          	1           	11          	0.0554      	0.0558      
34          	1           	11          	0.059       	0.0588      
35          	1           	11          	0.0663      	0.06613     
36          	1           	11          	0.0694      	0.06883     
37          	1           	11          	0.0717      	0.07132     
38          	1           	11          	0.0726      	0.07304     
39          	1           	11          	0.0773      	0.07677     
40          	1           	11          	0.0765      	0.07677     
41          	1           	11          	0.0816      	0.08144     
42          	1           	11          	0.0819      	0.08135     
43          	1           	11          	0.0802      	0.08048     
44          	1           	11          	0.0842      	0.08467     
45          	1           	11          	0.0927      	0.09197     
46          	1           	11          	0.0926      	0.09284     
47          	1           	11          	0.0978      	0.09745     
48          	1           	11          	0.0988      	0.09839     
49          	1           	11          	0.098       	0.09717     
50          	1           	11          	0.101       	0.1005      
51          	1           	11          	0.0957      	0.09689     
52          	1           	11          	0.0998      	0.1001      
53          	1           	11          	0.1008      	0.1004      
54          	1           	11          	0.1077      	0.1073      
55          	1           	11          	0.1106      	0.1111      
56          	1           	11          	0.1106      	0.1099      
57          	1           	11          	0.1172      	0.116       
58          	1           	11          	0.11        	0.1092      
59          	1           	11          	0.1113      	0.1111      
60          	1           	11          	0.1177      	0.117       
61          	1           	11          	0.1166      	0.1173      
