replicate   	generation  	n.adlt.nbAll	n.adlt.ho   	n.adlt.hs   
1           	1           	1           	0           	0           
1           	2           	9           	0.0016      	0.001599    
1           	3           	10          	0.0033      	0.003297    
1           	4           	10          	0.0041      	0.004095    
1           	5           	11          	0.0057      	0.005691    
1           	6           	11          	0.0077      	0.007684    
1           	7           	11          	0.0094      	0.009376    
1           	8           	11          	0.0101      	0.01007     
1           	9           	11          	0.0113      	0.01126     
1           	10          	11          	0.0137      	0.01365     
1           	11          	11          	0.0155      	0.01573     
1           	12          	11          	0.021       	0.02107     
1           	13          	11          	0.0248      	0.02483     
1           	14          	11          	0.0269      	0.0267      
1           	15          	11          	0.0278      	0.02798     
1           	16          	11          	0.0297      	0.02955     
1           	17          	11          	0.0316      	0.03162     
1           	18          	11          	0.0374      	0.03701     
1           	19          	11          	0.0396      	0.03955     
1           	20          	11          	0.0412      	0.04102     
1           	21          	11          	0.0417      	0.04171     
1           	22          	11          	0.0407      	0.04063     
1           	23          	11          	0.0429      	0.04287     
1           	24          	11          	0.0417      	0.0416      
1           	25          	11          	0.0454      	0.04512     
1           	26          	11          	0.042       	0.0417      
1           	27          	11          	0.0449      	0.04492     
1           	28          	11          	0.0489      	0.04891     
1           	29          	11          	0.0543      	0.05406     
1           	30          	11          	0.0598      	0.05938     
1           	31          	11          	0.0569      	0.05658     
1           	32          	11          	0.0613      	0.06171     
1           	33          	11          	0.0617      	0.06142     
1           	34          	11          	0.0661      	0.06633     
1           	35          	11          	0.0659      	0.06585     
1           	36          	11          	0.0652      	0.06527     
1           	37          	11          	0.0669      	0.06671     
1           	38          	11          	0.0705      	0.07103     
1           	39          	11          	0.0701      	0.06939     
1           	40          	11          	0.0672      	0.06738     
1           	41          	11          	0.0679      	0.06815     
1           	42          	11          	0.067       	0.06689     
1           	43          	11          	0.0722      	0.07245     
1           	44          	11          	0.0735      	0.074       
1           	45          	11          	0.0763      	0.07618     
1           	46          	11          	0.0799      	0.07952     
1           	47          	11          	0.0805      	0.08142     
1           	48          	11          	0.0844      	0.08362     
1           	49          	11          	0.0834      	0.08456     
1           	50          	11          	0.09        	0.09007     
1           	51          	11          	0.0904      	0.09141     
1           	52          	11          	0.0963      	0.09661     
1           	53          	11          	0.0993      	0.09944     
1           	54          	11          	0.097       	0.09745     
1           	55          	11          	0.0955      	0.09424     
1           	56          	11          	0.102       	0.1013      
1           	57          	11          	0.1073      	0.1072      
1           	58          	11          	0.1116      	0.1114      
1           	59          	11          	0.1106      	0.1106      
1           	60          	11          	0.1075      	0.1077      
1           	61          	11          	0.103       	0.1043      
1           	62          	11          	0.1066      	0.107       
1           	63          	11          	0.1023      	0.103       
1           	64          	11          	0.107       	0.1065      
1           	65          	11          	0.1069      	0.107       
1           	66          	11          	0.1105      	0.1098      
1           	67          	11          	0.1155      	0.1164      
1           	68          	11          	0.1249      	0.1248      
1           	69          	11          	0.1255      	0.1252      
1           	70          	11          	0.1314      	0.1314      
1           	71          	11          	0.1317      	0.1325      
1           	72          	11          	0.1376      	0.1367      
1           	73          	11          	0.1342      	0.1353      
1           	74          	11          	0.1369      	0.1359      
1           	75          	11          	0.1364      	0.1374      
1           	76          	11          	0.1422      	0.1419      
1           	77          	11          	0.1453      	0.1458      
1           	78          	11          	0.1512      	0.1514      
1           	79          	11          	0.1529      	0.152       
1           	80          	11          	0.1569      	0.1576      
1           	81          	11          	0.1576      	0.1559      
1           	82          	11          	0.1646      	0.1637      
1           	83          	11          	0.1685      	0.1675      
1           	84          	11          	0.1654      	0.1643      
1           	85          	11          	0.167       	0.1659      
1           	86          	11          	0.1626      	0.1628      
1           	87          	11          	0.1629      	0.1642      
1           	88          	11          	0.1607      	0.1614      
1           	89          	11          	0.1632      	0.1643      
1           	90          	11          	0.1698      	0.1681      
1           	91          	11          	0.1726      	0.1733      
1           	92          	11          	0.1712      	0.1699      
1           	93          	11          	0.1746      	0.1747      
1           	94          	11          	0.1834      	0.1854      
1           	95          	11          	0.19        	0.1892      
1           	96          	11          	0.1949      	0.1957      
1           	97          	11          	0.1991      	0.1983      
1           	98          	11          	0.1996      	0.1982      
1           	99          	11          	0.1933      	0.1948      
1           	100         	11          	0.1957      	0.1938      
1           	101         	11          	0.1879      	0.1884      
1           	102         	11          	0.1856      	0.186       
1           	103         	11          	0.1803      	0.1811      
1           	104         	11          	0.1778      	0.1784      
1           	105         	11          	0.1786      	0.1791      
1           	106         	11          	0.1796      	0.1799      
1           	107         	11          	0.1825      	0.1818      
1           	108         	11          	0.1786      	0.179       
1           	109         	11          	0.1765      	0.176       
1           	110         	11          	0.1747      	0.1776      
1           	111         	11          	0.183       	0.1819      
1           	112         	11          	0.1824      	0.1815      
1           	113         	11          	0.1763      	0.1774      
1           	114         	11          	0.1703      	0.1729      
1           	115         	11          	0.1729      	0.1722      
1           	116         	11          	0.1786      	0.1776      
1           	117         	11          	0.181       	0.1814      
1           	118         	11          	0.1863      	0.1861      
1           	119         	11          	0.1984      	0.1989      
1           	120         	11          	0.2039      	0.2056      
1           	121         	11          	0.2106      	0.2132      
1           	122         	11          	0.2116      	0.2104      
1           	123         	11          	0.2105      	0.2107      
1           	124         	11          	0.214       	0.2146      
1           	125         	11          	0.21        	0.21        
1           	126         	11          	0.2117      	0.2106      
1           	127         	11          	0.2083      	0.209       
1           	128         	11          	0.2114      	0.2108      
1           	129         	11          	0.2098      	0.2106      
1           	130         	11          	0.2146      	0.2146      
1           	131         	11          	0.2208      	0.2213      
1           	132         	11          	0.2231      	0.2244      
1           	133         	11          	0.2276      	0.2264      
1           	134         	11          	0.2249      	0.2257      
1           	135         	11          	0.2253      	0.2255      
1           	136         	11          	0.2207      	0.2224      
1           	137         	11          	0.2223      	0.2238      
1           	138         	11          	0.222       	0.2233      
1           	139         	11          	0.2207      	0.2214      
1           	140         	11          	0.2239      	0.2245      
1           	141         	11          	0.228       	0.2299      
1           	142         	11          	0.226       	0.2274      
1           	143         	11          	0.2274      	0.228       
1           	144         	11          	0.2336      	0.2334      
1           	145         	11          	0.2288      	0.2297      
1           	146         	11          	0.2354      	0.2345      
1           	147         	11          	0.233       	0.2309      
1           	148         	11          	0.233       	0.2324      
1           	149         	11          	0.2337      	0.2342      
1           	150         	11          	0.239       	0.2395      
1           	151         	11          	0.2387      	0.2406      
1           	152         	11          	0.2458      	0.2464      
1           	153         	11          	0.2496      	0.2521      
1           	154         	11          	0.2538      	0.2531      
1           	155         	11          	0.2497      	0.2502      
1           	156         	11          	0.2511      	0.2512      
1           	157         	11          	0.2563      	0.2568      
1           	158         	11          	0.2556      	0.256       
1           	159         	11          	0.261       	0.2616      
1           	160         	11          	0.2683      	0.2692      
1           	161         	11          	0.2668      	0.2685      
1           	162         	11          	0.2714      	0.2712      
1           	163         	11          	0.266       	0.2679      
1           	164         	11          	0.275       	0.275       
1           	165         	11          	0.2779      	0.2777      
1           	166         	11          	0.2772      	0.2758      
1           	167         	11          	0.2793      	0.2805      
1           	168         	11          	0.2838      	0.2816      
1           	169         	11          	0.2833      	0.285       
1           	170         	11          	0.2775      	0.2773      
1           	171         	11          	0.2751      	0.2758      
1           	172         	11          	0.2791      	0.2767      
1           	173         	11          	0.2725      	0.2728      
1           	174         	11          	0.2799      	0.2819      
1           	175         	11          	0.2862      	0.286       
1           	176         	11          	0.2953      	0.2962      
1           	177         	11          	0.2937      	0.294       
1           	178         	11          	0.293       	0.2933      
1           	179         	11          	0.2945      	0.2938      
1           	180         	11          	0.3         	0.2997      
1           	181         	11          	0.3028      	0.3039      
1           	182         	11          	0.3045      	0.3033      
1           	183         	11          	0.3063      	0.3066      
1           	184         	11          	0.3042      	0.305       
1           	185         	11          	0.3058      	0.3064      
1           	186         	11          	0.3069      	0.3073      
1           	187         	11          	0.3091      	0.3107      
1           	188         	11          	0.3123      	0.311       
1           	189         	11          	0.3065      	0.3066      
1           	190         	11          	0.3068      	0.308       
1           	191         	11          	0.3141      	0.3135      
1           	192         	11          	0.3203      	0.317       
1           	193         	11          	0.3217      	0.3212      
1           	194         	11          	0.314       	0.3166      
1           	195         	11          	0.3123      	0.3129      
1           	196         	11          	0.3142      	0.3109      
1           	197         	11          	0.3048      	0.3052      
1           	198         	11          	0.3052      	0.305       
1           	199         	11          	0.3059      	0.3058      
1           	200         	11          	0.3094      	0.3037      
1           	201         	11          	0.3044      	0.3041      
1           	202         	11          	0.313       	0.314       
1           	203         	11          	0.3146      	0.3154      
1           	204         	11          	0.3172      	0.319       
1           	205         	11          	0.3185      	0.3184      
1           	206         	11          	0.323       	0.3224      
1           	207         	11          	0.3292      	0.3304      
1           	208         	11          	0.3313      	0.3315      
1           	209         	11          	0.3379      	0.3394      
1           	210         	11          	0.3444      	0.342       
1           	211         	11          	0.3452      	0.3457      
1           	212         	11          	0.35        	0.3479      
1           	213         	11          	0.3406      	0.3422      
1           	214         	11          	0.3423      	0.3458      
