generation  	alive.rpl   	n.adlt.nbAll	n.adlt.ho   	n.adlt.hs   
1           	1           	1           	0           	0           
2           	1           	3           	0.0021      	0.002098    
3           	1           	3           	0.0025      	0.002498    
4           	1           	3           	0.0051      	0.00509     
5           	1           	3           	0.006       	0.005987    
6           	1           	3           	0.0087      	0.008671    
7           	1           	3           	0.0111      	0.01115     
8           	1           	3           	0.0129      	0.01284     
9           	1           	4           	0.0147      	0.01462     
10          	1           	3           	0.0161      	0.0162      
11          	1           	3           	0.0179      	0.01808     
12          	1           	3           	0.0205      	0.02054     
13          	1           	3           	0.0219      	0.02211     
14          	1           	3           	0.0253      	0.02515     
15          	1           	3           	0.0257      	0.02564     
16          	1           	3           	0.0268      	0.02682     
17          	1           	3           	0.0303      	0.03004     
18          	1           	3           	0.0344      	0.03434     
19          	1           	3           	0.0363      	0.03599     
20          	1           	3           	0.0374      	0.03793     
21          	1           	3           	0.0371      	0.03676     
22          	1           	3           	0.0373      	0.03735     
23          	1           	3           	0.0397      	0.04006     
24          	1           	3           	0.0415      	0.042       
25          	1           	3           	0.0433      	0.04346     
26          	1           	4           	0.0476      	0.04761     
27          	1           	4           	0.0543      	0.05385     
28          	1           	4           	0.0548      	0.05462     
29          	1           	4           	0.0571      	0.05759     
30          	1           	4           	0.0604      	0.05968     
31          	1           	4           	0.0617      	0.06149     
32          	1           	4           	0.0646      	0.06484     
33          	1           	4           	0.0663      	0.06541     
34          	1           	4           	0.0661      	0.06559     
35          	1           	4           	0.072       	0.07213     
36          	1           	4           	0.0779      	0.07854     
37          	1           	4           	0.0809      	0.08116     
38          	1           	4           	0.0793      	0.07882     
39          	1           	4           	0.0827      	0.08322     
40          	1           	4           	0.0871      	0.08677     
41          	1           	4           	0.094       	0.09347     
42          	1           	4           	0.0931      	0.09357     
43          	1           	5           	0.0936      	0.09429     
44          	1           	4           	0.0959      	0.09565     
45          	1           	4           	0.099       	0.1         
46          	1           	4           	0.0967      	0.0965      
47          	1           	4           	0.0971      	0.09697     
48          	1           	4           	0.0967      	0.09621     
49          	1           	4           	0.0961      	0.09587     
50          	1           	4           	0.0985      	0.09843     
51          	1           	5           	0.0985      	0.09899     
52          	1           	4           	0.1014      	0.1014      
53          	1           	4           	0.1058      	0.1052      
54          	1           	4           	0.1104      	0.1105      
55          	1           	4           	0.1118      	0.1113      
56          	1           	4           	0.1188      	0.1199      
57          	1           	4           	0.1194      	0.1194      
58          	1           	4           	0.1217      	0.1203      
59          	1           	5           	0.1153      	0.1158      
60          	1           	5           	0.1147      	0.1141      
61          	1           	5           	0.1161      	0.1162      
62          	1           	5           	0.1178      	0.1178      
63          	1           	5           	0.1208      	0.121       
64          	1           	5           	0.119       	0.1204      
65          	1           	5           	0.1262      	0.1263      
66          	1           	5           	0.1295      	0.1303      
67          	1           	5           	0.1282      	0.1286      
68          	1           	5           	0.1318      	0.1317      
69          	1           	5           	0.1346      	0.1345      
70          	1           	4           	0.1318      	0.1325      
71          	1           	4           	0.133       	0.1335      
72          	1           	4           	0.1316      	0.133       
73          	1           	5           	0.1374      	0.1366      
74          	1           	5           	0.133       	0.1346      
75          	1           	5           	0.1385      	0.1382      
76          	1           	5           	0.1414      	0.1407      
77          	1           	5           	0.1429      	0.1426      
78          	1           	5           	0.1435      	0.1436      
79          	1           	4           	0.1458      	0.1454      
80          	1           	5           	0.1444      	0.1428      
81          	1           	5           	0.1471      	0.1486      
82          	1           	5           	0.1564      	0.1571      
83          	1           	5           	0.1611      	0.162       
84          	1           	5           	0.17        	0.1683      
85          	1           	5           	0.1776      	0.1749      
86          	1           	5           	0.1784      	0.1753      
87          	1           	5           	0.176       	0.1759      
88          	1           	5           	0.1837      	0.1848      
89          	1           	5           	0.1881      	0.1887      
90          	1           	5           	0.1917      	0.1915      
91          	1           	5           	0.1977      	0.1939      
92          	1           	5           	0.1989      	0.2017      
93          	1           	5           	0.1996      	0.2011      
94          	1           	5           	0.2001      	0.2004      
95          	1           	5           	0.2019      	0.2019      
96          	1           	5           	0.2026      	0.203       
97          	1           	5           	0.2036      	0.2031      
98          	1           	5           	0.2048      	0.2027      
99          	1           	5           	0.2008      	0.2021      
100         	1           	5           	0.203       	0.203       
101         	1           	5           	0.2066      	0.2088      
102         	1           	5           	0.2105      	0.2089      
103         	1           	5           	0.2043      	0.2062      
104         	1           	6           	0.2123      	0.2135      
105         	1           	6           	0.2168      	0.216       
106         	1           	5           	0.2156      	0.2139      
107         	1           	5           	0.2233      	0.2237      
108         	1           	5           	0.2195      	0.2195      
109         	1           	5           	0.2194      	0.2205      
110         	1           	5           	0.2164      	0.2195      
111         	1           	5           	0.2195      	0.2213      
112         	1           	5           	0.2321      	0.2323      
113         	1           	5           	0.2375      	0.2349      
114         	1           	5           	0.2319      	0.2364      
115         	1           	5           	0.2406      	0.2394      
116         	1           	6           	0.2378      	0.2373      
117         	1           	6           	0.2428      	0.2428      
118         	1           	6           	0.2389      	0.2401      
119         	1           	6           	0.2397      	0.2397      
120         	1           	6           	0.2367      	0.2399      
121         	1           	6           	0.2491      	0.2458      
122         	1           	6           	0.2508      	0.2506      
123         	1           	6           	0.2518      	0.2549      
124         	1           	6           	0.2533      	0.2519      
125         	1           	6           	0.2519      	0.2552      
126         	1           	6           	0.2558      	0.2565      
127         	1           	6           	0.2531      	0.255       
128         	1           	6           	0.2605      	0.2588      
129         	1           	6           	0.2699      	0.2687      
130         	1           	5           	0.2798      	0.2773      
131         	1           	5           	0.2707      	0.2734      
132         	1           	5           	0.2729      	0.2713      
133         	1           	5           	0.2683      	0.2699      
134         	1           	5           	0.2694      	0.27        
135         	1           	5           	0.2705      	0.2714      
136         	1           	5           	0.2681      	0.269       
137         	1           	6           	0.2722      	0.2701      
138         	1           	7           	0.2854      	0.2819      
139         	1           	6           	0.2834      	0.2824      
140         	1           	6           	0.277       	0.2761      
141         	1           	7           	0.2762      	0.2795      
142         	1           	7           	0.2794      	0.2797      
143         	1           	7           	0.2882      	0.2844      
