replicate   	generation  	n.adlt.nbAll	n.adlt.ho   	n.adlt.hs   
1           	1           	1           	0           	0           
1           	2           	3           	0.0018      	0.001799    
1           	3           	3           	0.0044      	0.004393    
1           	4           	3           	0.0066      	0.006584    
1           	5           	3           	0.0088      	0.008771    
1           	6           	3           	0.0098      	0.009764    
1           	7           	3           	0.0113      	0.01145     
1           	8           	3           	0.0142      	0.01432     
1           	9           	3           	0.0151      	0.01511     
1           	10          	3           	0.0174      	0.01729     
1           	11          	3           	0.0179      	0.01827     
1           	12          	3           	0.021       	0.02142     
1           	13          	3           	0.0229      	0.0227      
1           	14          	3           	0.0236      	0.02339     
1           	15          	3           	0.0249      	0.02496     
1           	16          	4           	0.0261      	0.02585     
1           	17          	4           	0.0299      	0.02986     
1           	18          	4           	0.0322      	0.03201     
1           	19          	4           	0.0343      	0.03455     
1           	20          	4           	0.0353      	0.03503     
1           	21          	4           	0.0356      	0.03601     
1           	22          	4           	0.037       	0.03669     
1           	23          	5           	0.0394      	0.03912     
1           	24          	5           	0.0426      	0.04251     
1           	25          	5           	0.0437      	0.04329     
1           	26          	5           	0.0401      	0.04077     
1           	27          	5           	0.0433      	0.0431      
1           	28          	4           	0.046       	0.04609     
1           	29          	4           	0.0475      	0.04734     
1           	30          	4           	0.0477      	0.04734     
1           	31          	4           	0.0495      	0.04898     
1           	32          	4           	0.0485      	0.04878     
1           	33          	4           	0.0493      	0.05003     
1           	34          	4           	0.0517      	0.05185     
1           	35          	3           	0.053       	0.0528      
1           	36          	4           	0.0556      	0.05558     
1           	37          	4           	0.0575      	0.0572      
1           	38          	4           	0.0582      	0.05777     
1           	39          	3           	0.0586      	0.05872     
1           	40          	3           	0.061       	0.06063     
1           	41          	4           	0.0677      	0.0671      
1           	42          	4           	0.0724      	0.07258     
1           	43          	4           	0.0798      	0.08001     
1           	44          	4           	0.0815      	0.08122     
1           	45          	5           	0.0858      	0.08639     
1           	46          	5           	0.0927      	0.09215     
1           	47          	5           	0.0869      	0.08644     
1           	48          	5           	0.0835      	0.08392     
1           	49          	5           	0.0853      	0.08597     
1           	50          	4           	0.0851      	0.08456     
1           	51          	5           	0.082       	0.08308     
1           	52          	5           	0.0853      	0.08523     
1           	53          	5           	0.0883      	0.08926     
1           	54          	5           	0.0907      	0.09028     
1           	55          	5           	0.0881      	0.08833     
1           	56          	5           	0.0906      	0.09087     
1           	57          	5           	0.0926      	0.09281     
1           	58          	5           	0.1004      	0.09976     
1           	59          	5           	0.0992      	0.09866     
1           	60          	5           	0.0999      	0.09979     
1           	61          	5           	0.0986      	0.09694     
1           	62          	5           	0.0952      	0.09574     
1           	63          	5           	0.0962      	0.09583     
1           	64          	5           	0.0943      	0.09481     
1           	65          	5           	0.0919      	0.09239     
1           	66          	5           	0.0922      	0.09211     
1           	67          	5           	0.0907      	0.09035     
1           	68          	5           	0.0884      	0.08823     
1           	69          	5           	0.0948      	0.09353     
1           	70          	5           	0.0977      	0.0978      
1           	71          	5           	0.1027      	0.1022      
1           	72          	5           	0.1021      	0.1017      
1           	73          	5           	0.1052      	0.1066      
1           	74          	5           	0.1107      	0.1111      
1           	75          	5           	0.1104      	0.1101      
1           	76          	5           	0.1136      	0.1133      
1           	77          	5           	0.1133      	0.1134      
1           	78          	5           	0.1216      	0.1228      
1           	79          	5           	0.1215      	0.1205      
1           	80          	5           	0.1235      	0.1226      
1           	81          	5           	0.126       	0.1257      
1           	82          	5           	0.1283      	0.1286      
1           	83          	5           	0.1251      	0.1249      
1           	84          	5           	0.1196      	0.1206      
1           	85          	5           	0.1199      	0.1215      
1           	86          	5           	0.1158      	0.1164      
1           	87          	5           	0.1182      	0.1176      
1           	88          	5           	0.1174      	0.1162      
1           	89          	6           	0.1184      	0.1176      
1           	90          	5           	0.1197      	0.1176      
1           	91          	5           	0.1222      	0.1216      
1           	92          	5           	0.1196      	0.1201      
1           	93          	5           	0.1269      	0.1263      
1           	94          	5           	0.1291      	0.1298      
1           	95          	5           	0.1298      	0.1312      
1           	96          	4           	0.1296      	0.13        
1           	97          	4           	0.1317      	0.1335      
1           	98          	4           	0.1342      	0.1336      
1           	99          	4           	0.1367      	0.1367      
1           	100         	4           	0.1406      	0.1396      
1           	101         	4           	0.1403      	0.1419      
1           	102         	4           	0.1427      	0.1427      
1           	103         	5           	0.1476      	0.1473      
1           	104         	6           	0.1453      	0.1453      
1           	105         	5           	0.1463      	0.1453      
1           	106         	5           	0.1521      	0.1521      
1           	107         	5           	0.1498      	0.1489      
1           	108         	5           	0.1505      	0.1487      
1           	109         	5           	0.1484      	0.1476      
1           	110         	5           	0.1528      	0.1514      
1           	111         	5           	0.1497      	0.1504      
1           	112         	5           	0.1487      	0.1476      
1           	113         	5           	0.1437      	0.1432      
1           	114         	5           	0.145       	0.1441      
1           	115         	5           	0.1509      	0.1502      
1           	116         	5           	0.1526      	0.1516      
1           	117         	5           	0.1521      	0.1521      
1           	118         	5           	0.1493      	0.1486      
1           	119         	5           	0.144       	0.1454      
1           	120         	5           	0.1477      	0.1472      
1           	121         	5           	0.15        	0.1483      
1           	122         	5           	0.1498      	0.1486      
1           	123         	5           	0.1454      	0.1445      
1           	124         	5           	0.1451      	0.147       
1           	125         	5           	0.1474      	0.1472      
1           	126         	5           	0.1507      	0.1497      
1           	127         	5           	0.1445      	0.1449      
1           	128         	5           	0.146       	0.1445      
1           	129         	5           	0.1395      	0.1391      
1           	130         	5           	0.1414      	0.1407      
1           	131         	5           	0.1467      	0.1455      
1           	132         	5           	0.1456      	0.1472      
1           	133         	5           	0.1399      	0.1406      
1           	134         	5           	0.1489      	0.1473      
1           	135         	4           	0.1514      	0.1516      
1           	136         	4           	0.15        	0.1502      
1           	137         	4           	0.1489      	0.1509      
1           	138         	4           	0.1514      	0.1519      
1           	139         	4           	0.1501      	0.1496      
1           	140         	4           	0.1573      	0.1578      
1           	141         	5           	0.1579      	0.1581      
1           	142         	5           	0.1577      	0.1589      
1           	143         	5           	0.163       	0.1609      
1           	144         	4           	0.1583      	0.1603      
1           	145         	5           	0.1648      	0.1651      
1           	146         	5           	0.1686      	0.1684      
1           	147         	5           	0.1692      	0.1691      
1           	148         	5           	0.1695      	0.1698      
1           	149         	5           	0.1749      	0.1749      
1           	150         	5           	0.1705      	0.1737      
1           	151         	5           	0.1774      	0.1769      
1           	152         	5           	0.1788      	0.1789      
1           	153         	5           	0.1776      	0.179       
1           	154         	5           	0.1796      	0.1775      
1           	155         	5           	0.1809      	0.1815      
1           	156         	5           	0.1811      	0.1807      
1           	157         	5           	0.1781      	0.176       
1           	158         	5           	0.1715      	0.1722      
1           	159         	5           	0.1708      	0.1707      
1           	160         	5           	0.1693      	0.1691      
1           	161         	4           	0.1695      	0.1705      
1           	162         	5           	0.1682      	0.1698      
1           	163         	5           	0.1741      	0.1729      
1           	164         	5           	0.1789      	0.1791      
1           	165         	5           	0.1744      	0.1781      
