generation  	adlt.nbInd  	alive.rpl   
1           	4           	1           
2           	6           	1           
3           	9           	1           
4           	14          	1           
5           	21          	1           
6           	32          	1           
7           	48          	1           
8           	72          	1           
9           	108         	1           
10          	162         	1           
11          	243         	1           
12          	365         	1           
13          	548         	1           
14          	822         	1           
15          	1000        	1           
16          	1000        	1           
17          	1000        	1           
18          	1000        	1           
19          	1000        	1           
20          	1000        	1           
