generation  	adlt.nbInd  	fem.meanFec 	alive.rpl   
1           	4           	5           	1           
2           	10          	5           	1           
3           	25          	4.8         	1           
4           	60          	4.6         	1           
5           	138         	4.145       	1           
6           	286         	3.497       	1           
7           	500         	2.856       	1           
8           	714         	2.415       	1           
9           	862         	2.181       	1           
10          	940         	2.074       	1           
11          	975         	2.031       	1           
12          	990         	2.012       	1           
13          	996         	2.004       	1           
14          	998         	2.002       	1           
15          	999         	2.002       	1           
16          	1000        	2           	1           
17          	1000        	2           	1           
18          	1000        	2           	1           
19          	1000        	2           	1           
20          	1000        	2           	1           
