Legend of the used statistics
*****************************

Statistic             Legend
--------------------------------------------------------------
adlt.nbInd          : Total number of adult
emigrants           : Mean number of emigrants/patch
fem.meanFec         : Mean fecundity of females
adlt.nbInd_p1       : Number of indviduals adult of population 1
adlt.nbInd_p2       : Number of indviduals adult of population 2
adlt.nbInd_p3       : Number of indviduals adult of population 3
adlt.nbInd_p4       : Number of indviduals adult of population 4
adlt.nbInd_p5       : Number of indviduals adult of population 5
adlt.nbInd_p6       : Number of indviduals adult of population 6
alive.rpl           : Nb alive replicates
