generation  	adlt.nbInd  	emigrants   	fem.meanFec 	adlt.nbInd_p1	adlt.nbInd_p2	adlt.nbInd_p3	adlt.nbInd_p4	adlt.nbInd_p5	adlt.nbInd_p6	alive.rpl   
1           	4           	NaN         	3           	4           	0           	0           	0           	0           	0           	1           
2           	6           	0           	1.8         	6           	0           	0           	0           	0           	0           	1           
3           	9           	0           	1.857       	9           	0           	0           	0           	0           	0           	1           
4           	13          	0           	3.167       	13          	0           	0           	0           	0           	0           	1           
5           	19          	0           	2.545       	19          	0           	0           	0           	0           	0           	1           
6           	28          	0           	3.727       	28          	0           	0           	0           	0           	0           	1           
7           	41          	0           	2.458       	41          	0           	0           	0           	0           	0           	1           
8           	59          	0           	2.8         	59          	0           	0           	0           	0           	0           	1           
9           	84          	0.5         	3.485       	83          	1           	0           	0           	0           	0           	1           
10          	114         	1           	2.655       	114         	0           	0           	0           	0           	0           	1           
11          	154         	0           	2.439       	154         	0           	0           	0           	0           	0           	1           
12          	199         	1           	2.611       	198         	1           	0           	0           	0           	0           	1           
13          	248         	0           	2.525       	248         	0           	0           	0           	0           	0           	1           
14          	297         	1           	2.468       	297         	0           	0           	0           	0           	0           	1           
15          	342         	1           	2.254       	341         	1           	0           	0           	0           	0           	1           
16          	381         	0           	2.07        	381         	0           	0           	0           	0           	0           	1           
17          	413         	1.5         	2.047       	411         	2           	0           	0           	0           	0           	1           
18          	438         	1           	2.068       	435         	3           	0           	0           	0           	0           	1           
19          	458         	1           	2.021       	453         	5           	0           	0           	0           	0           	1           
20          	474         	1           	2.154       	466         	8           	0           	0           	0           	0           	1           
21          	489         	0.5         	1.996       	476         	13          	0           	0           	0           	0           	1           
22          	500         	3           	2.052       	478         	22          	0           	0           	0           	0           	1           
23          	517         	0.5         	2.05        	484         	33          	0           	0           	0           	0           	1           
24          	537         	0.5         	2.059       	488         	49          	0           	0           	0           	0           	1           
25          	549         	1           	2.255       	479         	70          	0           	0           	0           	0           	1           
26          	582         	1           	2.229       	482         	100         	0           	0           	0           	0           	1           
27          	623         	1           	2.12        	486         	137         	0           	0           	0           	0           	1           
28          	661         	3.5         	2.196       	480         	181         	0           	0           	0           	0           	1           
29          	711         	0.6667      	2.227       	481         	229         	1           	0           	0           	0           	1           
30          	764         	1.333       	2.229       	484         	278         	2           	0           	0           	0           	1           
31          	815         	0.6667      	2.118       	485         	327         	3           	0           	0           	0           	1           
32          	859         	2           	2.057       	486         	373         	0           	0           	0           	0           	1           
33          	896         	2.333       	2.119       	487         	408         	1           	0           	0           	0           	1           
34          	924         	2.5         	2.086       	490         	434         	0           	0           	0           	0           	1           
35          	929         	2           	2.12        	476         	453         	0           	0           	0           	0           	1           
36          	951         	1.667       	2.091       	484         	466         	1           	0           	0           	0           	1           
37          	960         	1.333       	2.031       	483         	476         	1           	0           	0           	0           	1           
38          	970         	1.333       	2.014       	487         	482         	1           	0           	0           	0           	1           
39          	959         	1           	2.104       	491         	467         	1           	0           	0           	0           	1           
40          	960         	2.333       	1.944       	484         	475         	1           	0           	0           	0           	1           
41          	954         	1           	1.936       	479         	474         	1           	0           	0           	0           	1           
42          	945         	2.333       	2.067       	480         	463         	2           	0           	0           	0           	1           
43          	959         	3.333       	1.992       	485         	473         	1           	0           	0           	0           	1           
44          	972         	1.667       	1.996       	493         	477         	2           	0           	0           	0           	1           
45          	975         	1           	2.054       	488         	481         	6           	0           	0           	0           	1           
46          	983         	1           	2.058       	488         	486         	9           	0           	0           	0           	1           
47          	975         	0.6667      	2.126       	488         	473         	14          	0           	0           	0           	1           
48          	992         	1.667       	2.01        	487         	482         	23          	0           	0           	0           	1           
49          	997         	2.333       	2.122       	490         	471         	36          	0           	0           	0           	1           
50          	1024        	2.667       	2.14        	492         	477         	55          	0           	0           	0           	1           
51          	1054        	0.6667      	2.028       	492         	484         	78          	0           	0           	0           	1           
52          	1089        	1.25        	2.034       	493         	486         	109         	1           	0           	0           	1           
53          	1129        	1.75        	2.054       	491         	488         	149         	1           	0           	0           	1           
54          	1180        	2.333       	2.113       	491         	492         	197         	0           	0           	0           	1           
55          	1222        	1.75        	2.126       	492         	483         	246         	1           	0           	0           	1           
56          	1276        	1.25        	2.06        	492         	486         	297         	1           	0           	0           	1           
57          	1305        	2.25        	2.097       	493         	466         	344         	2           	0           	0           	1           
58          	1351        	1           	2.053       	486         	478         	384         	3           	0           	0           	1           
59          	1374        	2.5         	2.082       	472         	481         	416         	5           	0           	0           	1           
60          	1406        	2           	2.021       	479         	481         	439         	7           	0           	0           	1           
61          	1425        	1.5         	2.07        	478         	480         	456         	11          	0           	0           	1           
62          	1457        	1.5         	2.071       	482         	491         	467         	17          	0           	0           	1           
63          	1475        	2.5         	1.988       	478         	493         	478         	26          	0           	0           	1           
