generation  	adlt.nbPops 	adlt.nbInd  	emigrants   	adlt.nbInd_p1	adlt.nbInd_p2	adlt.nbInd_p3	adlt.nbInd_p4	adlt.nbInd_p5	adlt.nbInd_p6	alive.rpl   
1           	1           	4           	NaN         	4           	0           	0           	0           	0           	0           	20          
2           	1           	6           	0           	6           	0           	0           	0           	0           	0           	20          
3           	1.05        	9           	0.025       	8.95        	0           	0.05        	0           	0           	0           	20          
4           	1           	13          	0           	13          	0           	0           	0           	0           	0           	19          
5           	1.053       	19          	0.02632     	18.95       	0.05263     	0           	0           	0           	0           	19          
6           	1.316       	27.95       	0.1579      	27.63       	0.2632      	0           	0.05263     	0           	0           	19          
7           	1.263       	38.21       	0.1579      	37.84       	0.3684      	0           	0           	0           	0           	19          
8           	1.375       	57.69       	0.1667      	57.12       	0.5         	0           	0.0625      	0           	0           	16          
9           	1.5         	81.75       	0.2188      	80.88       	0.8125      	0.0625      	0           	0           	0           	16          
10          	1.5         	112.9       	0.1979      	111.8       	1.125       	0           	0.0625      	0           	0           	16          
11          	1.75        	152         	0.4688      	149.9       	2           	0           	0.0625      	0           	0           	16          
12          	1.562       	197.8       	0.4688      	194.6       	3.125       	0           	0           	0           	0           	16          
13          	2           	248.7       	0.5         	243.4       	5.188       	0.0625      	0           	0.0625      	0           	16          
14          	1.875       	300.3       	0.6354      	292.1       	8.125       	0.0625      	0.0625      	0           	0           	16          
15          	2.125       	349.8       	0.9792      	336.9       	12.69       	0.125       	0           	0.0625      	0           	16          
16          	2.25        	371.9       	0.9688      	351.9       	19.69       	0.1875      	0           	0.0625      	0.0625      	16          
17          	2.312       	411.2       	0.9531      	381.7       	29.12       	0.1875      	0.125       	0.125       	0           	16          
18          	2.312       	446.8       	1.208       	404.2       	42.06       	0.3125      	0           	0.0625      	0.0625      	16          
19          	2.25        	481.2       	1.427       	420.8       	59.94       	0.375       	0           	0           	0.0625      	16          
20          	2.5         	516.2       	1.052       	433.4       	81.88       	0.75        	0.0625      	0.125       	0           	16          
21          	2.125       	522.6       	1.094       	412.7       	109.1       	0.75        	0           	0           	0.0625      	16          
22          	2.625       	558.4       	1.24        	416.8       	139.5       	2           	0           	0.125       	0           	16          
23          	2.875       	597.8       	1.385       	418.8       	175.7       	2.938       	0.1875      	0.0625      	0.125       	16          
24          	2.75        	639.9       	1.172       	420.6       	213.9       	5.125       	0.125       	0           	0.1875      	16          
25          	2.812       	685.2       	1.432       	421.5       	254.9       	8.438       	0.0625      	0           	0.3125      	16          
26          	2.938       	706         	1.161       	421.2       	273         	11.12       	0.125       	0.0625      	0.4375      	16          
27          	2.938       	749.9       	1.094       	422.2       	310.8       	16.12       	0.1875      	0           	0.625       	16          
28          	3.125       	792.7       	1.208       	423         	344.9       	23.69       	0.25        	0           	0.8125      	16          
29          	3.375       	832.6       	1.234       	421.9       	374.8       	34.25       	0.1875      	0.1875      	1.25        	16          
30          	3.438       	841.1       	1.446       	391.1       	399.1       	48.5        	0.5         	0.0625      	1.812       	16          
31          	3.438       	880.3       	1.672       	391.3       	418.4       	67          	0.6875      	0           	2.875       	16          
32          	3.25        	917.9       	1.422       	391.6       	431.6       	89.81       	0.75        	0           	4.125       	16          
33          	3.625       	959.2       	1.21        	392.3       	444         	115.2       	1.75        	0.0625      	5.812       	16          
34          	3.625       	971.4       	1.778       	392.7       	421.9       	146         	2.688       	0.125       	8           	16          
35          	3.375       	982.9       	1.332       	362.3       	426.9       	178.6       	4.188       	0           	10.81       	16          
36          	3.688       	971.7       	1.247       	333.2       	432         	185         	7.062       	0.25        	14.19       	16          
37          	3.625       	1018        	1.549       	331.3       	435.9       	221.8       	11.06       	0.1875      	17.75       	16          
38          	3.812       	1068        	1.466       	330         	441.2       	257.9       	17.25       	0.125       	21.81       	16          
39          	3.875       	1104        	1.496       	329.6       	440.6       	282.4       	25.25       	0.25        	25.81       	16          
40          	3.933       	1231        	1.436       	352.8       	473.4       	335.2       	38          	0.4         	31.67       	15          
41          	3.867       	1270        	1.749       	352.7       	478.3       	364.5       	38.33       	0.4667      	36.07       	15          
42          	4.133       	1293        	1.644       	352         	480.1       	365.9       	53.8        	1           	40.33       	15          
43          	4.333       	1341        	1.51        	353.2       	484.5       	384.1       	72.67       	1.6         	44.73       	15          
44          	4.267       	1378        	1.834       	352.5       	483         	396.2       	95.33       	2.533       	48.6        	15          
45          	4.333       	1418        	1.69        	351.8       	484.7       	408.3       	116.3       	4.2         	52.67       	15          
46          	4.533       	1456        	1.59        	352.3       	483.7       	417.9       	139.6       	6.467       	55.53       	15          
47          	4.533       	1497        	1.501       	353.1       	484.1       	426.7       	164.1       	10.2        	58.8        	15          
48          	4.667       	1536        	1.717       	353         	486.1       	431.6       	188.3       	15.67       	61.27       	15          
49          	4.6         	1576        	1.93        	353.7       	487.1       	435.1       	212.7       	23.73       	63.4        	15          
50          	4.667       	1615        	1.943       	352.6       	483.9       	441.9       	237.3       	34.27       	64.93       	15          
51          	4.867       	1630        	1.746       	353.9       	485.9       	415.1       	261.4       	47          	66.47       	15          
52          	5           	1648        	1.712       	353.1       	484.6       	394.3       	284.7       	63.27       	68          	15          
53          	5.067       	1694        	1.746       	353.6       	484.8       	397.9       	305.7       	81.87       	69.73       	15          
54          	5.2         	1739        	1.403       	354.6       	484         	402.4       	323.4       	101.6       	72.6        	15          
55          	5.267       	1780        	1.636       	353.4       	484.1       	403.2       	339.1       	123.7       	75.93       	15          
56          	5.133       	1794        	1.959       	319.5       	482.7       	409.7       	357.1       	145.3       	80.07       	15          
57          	5.333       	1839        	1.794       	319.4       	484.3       	411         	370         	167.9       	86.07       	15          
58          	5.333       	1883        	1.782       	320.3       	483.5       	413.5       	383.6       	189.8       	92.8        	15          
59          	5.2         	1935        	1.911       	322.1       	484         	421.1       	396.3       	209.9       	101.5       	15          
60          	5.4         	1978        	1.571       	322.9       	484.9       	426         	404.9       	228.5       	110.5       	15          
61          	5.133       	1957        	2.026       	322.8       	451.9       	432.1       	386.3       	246.7       	117.3       	15          
62          	5.333       	1964        	1.742       	290.5       	451.7       	436.6       	392.7       	263.2       	129.7       	15          
63          	5.333       	2009        	1.75        	290.1       	451.9       	443.6       	399.6       	281.1       	142.9       	15          
64          	5.333       	2027        	1.726       	291.7       	420.9       	450.2       	408.6       	299.3       	156.5       	15          
65          	5.267       	2012        	2.063       	294.9       	417.1       	425.2       	383.9       	317.3       	173.4       	15          
66          	5.4         	2063        	1.964       	296.6       	417.9       	431.9       	393.1       	332.5       	190.6       	15          
67          	5.467       	2076        	1.917       	299.5       	385.6       	437.3       	400.8       	348.8       	204.4       	15          
68          	5.467       	2120        	1.974       	300.3       	389         	440.6       	403.9       	364.3       	222.1       	15          
69          	5.6         	2166        	1.863       	302.9       	390.5       	444.8       	410.9       	376.9       	239.6       	15          
70          	5.2         	2080        	2.178       	275.8       	394.9       	448.7       	381.9       	358.1       	220.1       	15          
71          	5.467       	2118        	1.82        	279.6       	396.1       	452.2       	385.1       	371.5       	233.5       	15          
72          	5.467       	2159        	1.92        	281.8       	397.9       	456.1       	391.3       	382.7       	248.7       	15          
73          	5.467       	2196        	1.886       	283.6       	402.9       	456.4       	395.6       	393         	264.5       	15          
74          	5.4         	2230        	1.869       	283.9       	405.9       	460.1       	401.7       	400         	278.7       	15          
75          	5.667       	2264        	1.898       	284.7       	411.5       	462.2       	406.4       	407         	291.9       	15          
76          	5.6         	2266        	1.98        	286.7       	413.6       	466.1       	414.1       	379.7       	306.1       	15          
77          	5.467       	2238        	1.871       	287.2       	417.1       	467.7       	421.6       	324.5       	320.2       	15          
78          	5.733       	2241        	1.607       	256.6       	422.9       	471.1       	430.9       	326.7       	332.9       	15          
79          	5.533       	2277        	1.95        	258.2       	429.4       	476.9       	436.5       	328.9       	347.5       	15          
80          	5.533       	2309        	1.702       	258.8       	432.5       	477.5       	442         	335         	362.8       	15          
81          	5.6         	2311        	2.078       	260         	437.1       	478.1       	416.9       	338.6       	380.1       	15          
82          	5.733       	2348        	2.051       	259.4       	441.1       	480.5       	427.3       	345.2       	394.9       	15          
83          	5.6         	2383        	2.039       	261         	445.4       	485.1       	431.5       	349.7       	410.4       	15          
84          	5.533       	2376        	1.884       	262.3       	446.7       	483.9       	404.1       	358.1       	421.4       	15          
85          	5.467       	2375        	2.101       	264         	449.8       	482.1       	379.9       	367.3       	432         	15          
86          	5.733       	2395        	1.904       	264.7       	450.7       	483.9       	380.9       	378.1       	436.9       	15          
87          	5.467       	2357        	1.838       	267.5       	451.9       	450.5       	355.1       	388.5       	443.7       	15          
88          	5.6         	2380        	2.044       	269.8       	451.3       	452.7       	358.4       	399.9       	447.7       	15          
89          	5.667       	2363        	1.902       	270.8       	453.7       	418.3       	358.1       	411.6       	450.9       	15          
90          	5.667       	2379        	1.966       	272.9       	450.5       	419.5       	362.1       	420.5       	453         	15          
91          	5.467       	2305        	2.131       	245.5       	418.6       	419.7       	363.9       	432.8       	424.3       	15          
92          	5.533       	2291        	1.893       	249.8       	416.9       	420.9       	369.6       	408.9       	425.2       	15          
93          	5.6         	2319        	1.979       	252.7       	417.6       	422.9       	377.5       	418.7       	429.3       	15          
94          	5.467       	2308        	1.968       	254.9       	417.8       	393.7       	385.7       	427.2       	428.8       	15          
95          	5.667       	2332        	1.867       	255.1       	418.3       	396.1       	395.5       	434.8       	431.8       	15          
