generation  	adlt.nbPops 	adlt.nbInd  	emigrants   	adlt.nbInd_p1	adlt.nbInd_p2	adlt.nbInd_p3	adlt.nbInd_p4	adlt.nbInd_p5	adlt.nbInd_p6	alive.rpl   
1           	0           	0           	NaN         	0           	0           	0           	0           	0           	0           	20          
2           	0           	0           	0           	0           	0           	0           	0           	0           	0           	20          
3           	0.0475      	0           	0.01187     	0.0475      	0           	0.0475      	0           	0           	0           	20          
4           	0           	0           	0           	0           	0           	0           	0           	0           	0           	19          
5           	0.04986     	0           	0.01247     	0.04986     	0.04986     	0           	0           	0           	0           	19          
6           	0.2161      	0.04986     	0.05402     	0.338       	0.1939      	0           	0.04986     	0           	0           	19          
7           	0.1939      	77.96       	0.08033     	81.29       	0.338       	0           	0           	0           	0           	19          
8           	0.3594      	2.715       	0.09375     	3.609       	0.75        	0           	0.05859     	0           	0           	16          
9           	0.25        	5.938       	0.06152     	7.734       	1.652       	0.05859     	0           	0           	0           	16          
10          	0.375       	10.81       	0.09798     	11.69       	3.734       	0           	0.05859     	0           	0           	16          
11          	0.1875      	18.25       	0.1709      	18.18       	8.75        	0           	0.05859     	0           	0           	16          
12          	0.2461      	27.19       	0.3271      	21.73       	27.86       	0           	0           	0           	0           	16          
13          	0.25        	53.46       	0.1285      	23.98       	60.9        	0.05859     	0           	0.05859     	0           	16          
14          	0.2344      	122         	0.3896      	32.81       	151.1       	0.05859     	0.05859     	0           	0           	16          
15          	0.2344      	273.4       	0.3815      	23.18       	332.6       	0.1094      	0           	0.05859     	0           	16          
16          	0.4375      	9522        	0.466       	8276        	695.8       	0.1523      	0           	0.05859     	0.05859     	16          
17          	0.4648      	1.203e+04   	0.3281      	9721        	1341        	0.1523      	0.1094      	0.2344      	0           	16          
18          	0.3398      	1.489e+04   	0.4219      	1.09e+04    	2422        	0.3398      	0           	0.05859     	0.05859     	16          
19          	0.3125      	1.809e+04   	0.5589      	1.181e+04   	3990        	0.6094      	0           	0           	0.05859     	16          
20          	0.375       	2.178e+04   	0.256       	1.253e+04   	6051        	1.312       	0.05859     	0.1094      	0           	16          
21          	0.2344      	3.306e+04   	0.802       	2.433e+04   	8387        	3.562       	0           	0           	0.05859     	16          
22          	0.2344      	3.632e+04   	0.7603      	2.483e+04   	1.053e+04   	10.62       	0           	0.1094      	0           	16          
23          	0.9844      	3.905e+04   	0.736       	2.508e+04   	1.218e+04   	22.06       	0.1523      	0.05859     	0.2344      	16          
24          	0.5625      	3.992e+04   	0.7053      	2.528e+04   	1.29e+04    	56.98       	0.1094      	0           	0.5273      	16          
25          	0.4023      	4.064e+04   	0.3917      	2.539e+04   	1.244e+04   	145.5       	0.05859     	0           	0.9648      	16          
26          	0.4336      	4.061e+04   	0.3745      	2.538e+04   	1.542e+04   	333.6       	0.1094      	0.05859     	2.121       	16          
