replicate   	generation  	n.adlt.nbAll	n.adlt.ho   	n.adlt.hs   
1           	1           	1           	0           	0           
1           	2           	3           	0.0018      	0.001799    
1           	3           	3           	0.0039      	0.003894    
1           	4           	3           	0.0045      	0.004493    
1           	5           	3           	0.0077      	0.007678    
1           	6           	3           	0.0102      	0.01016     
1           	7           	3           	0.0123      	0.01224     
1           	8           	3           	0.0147      	0.01462     
1           	9           	3           	0.017       	0.01689     
1           	10          	4           	0.0175      	0.01739     
1           	11          	3           	0.0197      	0.01975     
1           	12          	3           	0.0205      	0.02044     
1           	13          	3           	0.022       	0.02192     
1           	14          	3           	0.0257      	0.02575     
1           	15          	3           	0.0273      	0.02732     
1           	16          	3           	0.0303      	0.03015     
1           	17          	3           	0.0296      	0.02966     
1           	18          	3           	0.033       	0.03298     
1           	19          	3           	0.0356      	0.0361      
1           	20          	3           	0.0342      	0.03415     
1           	21          	3           	0.0334      	0.03357     
1           	22          	3           	0.0319      	0.03181     
1           	23          	3           	0.0322      	0.0322      
1           	24          	3           	0.0319      	0.0321      
1           	25          	3           	0.038       	0.03755     
1           	26          	3           	0.0376      	0.03734     
1           	27          	3           	0.0433      	0.04325     
1           	28          	3           	0.0463      	0.04605     
1           	29          	3           	0.0442      	0.045       
1           	30          	3           	0.0463      	0.04616     
1           	31          	3           	0.0468      	0.04732     
1           	32          	4           	0.0505      	0.05002     
1           	33          	3           	0.0496      	0.04983     
1           	34          	3           	0.0515      	0.05204     
1           	35          	3           	0.0563      	0.05597     
1           	36          	3           	0.0566      	0.05645     
1           	37          	4           	0.0566      	0.05625     
1           	38          	4           	0.0599      	0.05998     
1           	39          	4           	0.0667      	0.06586     
1           	40          	4           	0.0694      	0.07031     
1           	41          	4           	0.0733      	0.0735      
1           	42          	4           	0.0751      	0.07474     
1           	43          	4           	0.0793      	0.07961     
1           	44          	4           	0.0871      	0.08646     
1           	45          	4           	0.0889      	0.08915     
1           	46          	5           	0.0904      	0.09128     
1           	47          	5           	0.0893      	0.09081     
1           	48          	5           	0.0946      	0.09497     
1           	49          	4           	0.095       	0.09525     
1           	50          	4           	0.0944      	0.09448     
1           	51          	5           	0.0973      	0.09792     
1           	52          	5           	0.1038      	0.103       
1           	53          	5           	0.102       	0.09982     
1           	54          	5           	0.1005      	0.09964     
1           	55          	4           	0.1037      	0.104       
1           	56          	4           	0.1066      	0.1063      
1           	57          	4           	0.1054      	0.104       
1           	58          	5           	0.1077      	0.1073      
1           	59          	5           	0.1055      	0.1053      
1           	60          	5           	0.0978      	0.09864     
1           	61          	4           	0.1027      	0.1026      
1           	62          	4           	0.1051      	0.1066      
1           	63          	4           	0.1115      	0.1117      
1           	64          	4           	0.112       	0.1127      
1           	65          	4           	0.1131      	0.1125      
1           	66          	4           	0.1145      	0.1148      
1           	67          	4           	0.117       	0.1186      
1           	68          	4           	0.1145      	0.1153      
1           	69          	5           	0.1119      	0.1128      
1           	70          	4           	0.1135      	0.114       
1           	71          	4           	0.1147      	0.1133      
1           	72          	5           	0.1173      	0.1176      
1           	73          	5           	0.1264      	0.1261      
1           	74          	5           	0.1306      	0.13        
1           	75          	5           	0.1287      	0.1291      
1           	76          	4           	0.1335      	0.1346      
1           	77          	4           	0.1422      	0.1408      
1           	78          	4           	0.1425      	0.1407      
1           	79          	5           	0.1417      	0.1421      
1           	80          	5           	0.1415      	0.1422      
1           	81          	5           	0.1446      	0.1454      
1           	82          	5           	0.1425      	0.1433      
1           	83          	5           	0.1425      	0.1433      
1           	84          	5           	0.1411      	0.1423      
1           	85          	5           	0.1448      	0.1448      
1           	86          	4           	0.1492      	0.1493      
1           	87          	4           	0.1502      	0.1505      
1           	88          	5           	0.1504      	0.15        
1           	89          	5           	0.1491      	0.1492      
1           	90          	5           	0.1538      	0.1523      
1           	91          	5           	0.1516      	0.1515      
1           	92          	5           	0.1525      	0.1539      
1           	93          	5           	0.1539      	0.153       
1           	94          	4           	0.1585      	0.1574      
1           	95          	4           	0.1612      	0.1597      
1           	96          	5           	0.1649      	0.1625      
1           	97          	4           	0.1666      	0.1671      
1           	98          	4           	0.1691      	0.1706      
1           	99          	4           	0.1693      	0.1702      
1           	100         	5           	0.168       	0.1685      
1           	101         	5           	0.1758      	0.1759      
1           	102         	5           	0.1703      	0.1691      
1           	103         	5           	0.1707      	0.1724      
1           	104         	5           	0.1763      	0.1738      
1           	105         	5           	0.1745      	0.1749      
1           	106         	5           	0.1799      	0.1803      
1           	107         	5           	0.1854      	0.1837      
1           	108         	5           	0.1839      	0.1834      
1           	109         	5           	0.1827      	0.1806      
1           	110         	5           	0.1871      	0.1855      
1           	111         	5           	0.1818      	0.1814      
1           	112         	5           	0.1874      	0.1862      
1           	113         	5           	0.1907      	0.1888      
1           	114         	5           	0.1892      	0.19        
1           	115         	5           	0.1958      	0.192       
1           	116         	5           	0.1849      	0.186       
1           	117         	5           	0.192       	0.1907      
1           	118         	5           	0.1932      	0.1916      
1           	119         	5           	0.1928      	0.192       
1           	120         	5           	0.1976      	0.1979      
1           	121         	5           	0.2034      	0.203       
1           	122         	5           	0.2064      	0.2046      
1           	123         	5           	0.2119      	0.2077      
1           	124         	5           	0.2005      	0.2034      
1           	125         	5           	0.2082      	0.2102      
1           	126         	5           	0.2088      	0.2104      
1           	127         	5           	0.2147      	0.2153      
1           	128         	5           	0.2137      	0.2138      
1           	129         	5           	0.2129      	0.2134      
1           	130         	5           	0.2164      	0.2151      
1           	131         	5           	0.2117      	0.214       
1           	132         	5           	0.2104      	0.209       
1           	133         	5           	0.2104      	0.2106      
1           	134         	5           	0.2104      	0.2112      
1           	135         	5           	0.2041      	0.2079      
1           	136         	5           	0.2082      	0.2091      
1           	137         	5           	0.2072      	0.2044      
1           	138         	6           	0.2068      	0.2072      
1           	139         	5           	0.2038      	0.2029      
1           	140         	5           	0.2038      	0.2011      
1           	141         	5           	0.2071      	0.2084      
1           	142         	5           	0.2098      	0.2092      
1           	143         	5           	0.2097      	0.2095      
1           	144         	5           	0.2112      	0.2149      
1           	145         	5           	0.2184      	0.2174      
1           	146         	5           	0.2215      	0.2232      
1           	147         	5           	0.2235      	0.2229      
1           	148         	5           	0.2276      	0.2294      
1           	149         	5           	0.2259      	0.2274      
1           	150         	5           	0.2304      	0.2315      
1           	151         	5           	0.2336      	0.2348      
1           	152         	5           	0.2331      	0.2337      
1           	153         	5           	0.2335      	0.2334      
1           	154         	5           	0.2397      	0.2391      
1           	155         	5           	0.2415      	0.2402      
1           	156         	5           	0.2434      	0.246       
1           	157         	5           	0.2517      	0.2503      
1           	158         	5           	0.2545      	0.2506      
1           	159         	5           	0.2573      	0.2566      
1           	160         	5           	0.2582      	0.2585      
1           	161         	5           	0.2602      	0.2597      
1           	162         	5           	0.2562      	0.2573      
1           	163         	5           	0.2581      	0.2606      
1           	164         	5           	0.2626      	0.263       
1           	165         	5           	0.2713      	0.2667      
