generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2	alive.rpl   
1           	5.5         	0.5055      	1           	1.984e-05   	1           
2           	9.95        	0.4506      	0.8913      	0.0003718   	1           
3           	10          	0.4015      	0.7938      	0.0006239   	1           
4           	10          	0.3568      	0.7053      	0.0007755   	1           
5           	10          	0.3232      	0.6382      	0.001247    	1           
6           	10          	0.2932      	0.5789      	0.001203    	1           
7           	10          	0.2613      	0.5155      	0.001606    	1           
8           	10          	0.2366      	0.4658      	0.002008    	1           
9           	10          	0.2096      	0.4118      	0.002509    	1           
10          	10          	0.1855      	0.3641      	0.002536    	1           
11          	10          	0.166       	0.3252      	0.003085    	1           
12          	10          	0.1451      	0.2838      	0.003341    	1           
13          	10          	0.1306      	0.2548      	0.00379     	1           
14          	10          	0.1203      	0.2341      	0.003934    	1           
15          	10          	0.1085      	0.2105      	0.004185    	1           
16          	10          	0.09513     	0.1842      	0.004123    	1           
17          	10          	0.08597     	0.1658      	0.004423    	1           
18          	10          	0.0759      	0.1461      	0.004174    	1           
19          	10          	0.06892     	0.132       	0.004456    	1           
20          	10          	0.06196     	0.1178      	0.004813    	1           
21          	10          	0.05527     	0.1046      	0.00478     	1           
22          	10          	0.05214     	0.09855     	0.004683    	1           
23          	10          	0.04847     	0.0911      	0.004858    	1           
24          	10          	0.04566     	0.08501     	0.005376    	1           
25          	10          	0.04262     	0.07979     	0.004561    	1           
26          	10          	0.03913     	0.07295     	0.004506    	1           
27          	10          	0.03474     	0.06418     	0.004586    	1           
28          	10          	0.03049     	0.05598     	0.004353    	1           
29          	10          	0.02846     	0.05196     	0.004382    	1           
30          	10          	0.02647     	0.04812     	0.004284    	1           
31          	10          	0.0242      	0.04342     	0.004481    	1           
32          	10          	0.02206     	0.03946     	0.004225    	1           
33          	10          	0.0206      	0.03666     	0.004146    	1           
34          	10          	0.01877     	0.03271     	0.004481    	1           
35          	10          	0.01782     	0.0308      	0.004509    	1           
36          	10          	0.01583     	0.02695     	0.004418    	1           
37          	10          	0.01454     	0.02439     	0.004425    	1           
38          	10          	0.01307     	0.02195     	0.003949    	1           
39          	10          	0.01204     	0.02017     	0.003692    	1           
40          	10          	0.01118     	0.01857     	0.003593    	1           
41          	10          	0.01015     	0.01638     	0.003775    	1           
42          	10          	0.0086      	0.01374     	0.003336    	1           
43          	10          	0.007725    	0.01198     	0.003373    	1           
44          	10          	0.007724    	0.01136     	0.004002    	1           
45          	10          	0.007166    	0.01062     	0.003622    	1           
46          	10          	0.006454    	0.009767    	0.003062    	1           
47          	10          	0.006039    	0.009171    	0.002834    	1           
48          	10          	0.005425    	0.007808    	0.002985    	1           
49          	10          	0.00554     	0.007689    	0.003338    	1           
50          	10          	0.005368    	0.007509    	0.00317     	1           
51          	10          	0.004921    	0.006765    	0.003025    	1           
52          	10          	0.004524    	0.00599     	0.003017    	1           
53          	10          	0.004165    	0.004817    	0.003493    	1           
54          	10          	0.004287    	0.005197    	0.003349    	1           
55          	10          	0.003915    	0.004668    	0.003139    	1           
56          	10          	0.003776    	0.004511    	0.003018    	1           
57          	10          	0.003493    	0.00389     	0.003083    	1           
58          	10          	0.003692    	0.003808    	0.003572    	1           
59          	10          	0.003758    	0.004036    	0.003472    	1           
60          	10          	0.004103    	0.004443    	0.003752    	1           
61          	10          	0.00364     	0.003721    	0.003556    	1           
62          	10          	0.003577    	0.003422    	0.003736    	1           
63          	10          	0.003633    	0.003569    	0.0037      	1           
64          	10          	0.003892    	0.003843    	0.003942    	1           
65          	10          	0.003458    	0.003796    	0.003111    	1           
66          	10          	0.003581    	0.004123    	0.003024    	1           
67          	10          	0.003223    	0.003832    	0.002597    	1           
68          	10          	0.003789    	0.00468     	0.002872    	1           
69          	10          	0.003944    	0.004871    	0.002994    	1           
70          	10          	0.003629    	0.004097    	0.003149    	1           
71          	10          	0.003882    	0.003899    	0.003865    	1           
72          	10          	0.003865    	0.004154    	0.003568    	1           
73          	10          	0.003989    	0.00408     	0.003894    	1           
74          	10          	0.004235    	0.003856    	0.004626    	1           
75          	10          	0.003988    	0.003484    	0.004507    	1           
76          	10          	0.004364    	0.003902    	0.00484     	1           
77          	10          	0.004636    	0.004316    	0.004967    	1           
78          	10          	0.004724    	0.004163    	0.005303    	1           
79          	10          	0.004725    	0.004263    	0.005202    	1           
80          	10          	0.004856    	0.004276    	0.005454    	1           
81          	10          	0.004556    	0.004161    	0.004962    	1           
82          	10          	0.004448    	0.003849    	0.005063    	1           
83          	10          	0.004075    	0.003666    	0.004496    	1           
84          	10          	0.003929    	0.003439    	0.004433    	1           
85          	10          	0.00393     	0.003847    	0.004015    	1           
86          	10          	0.004278    	0.004254    	0.004303    	1           
87          	10          	0.003942    	0.004355    	0.003518    	1           
88          	10          	0.003844    	0.003975    	0.003708    	1           
89          	10          	0.003885    	0.003859    	0.003912    	1           
90          	10          	0.003673    	0.003532    	0.003818    	1           
91          	10          	0.00376     	0.003559    	0.003967    	1           
92          	10          	0.003849    	0.003348    	0.004363    	1           
93          	10          	0.003935    	0.003553    	0.004326    	1           
94          	10          	0.004053    	0.0039      	0.00421     	1           
95          	10          	0.003839    	0.003406    	0.004284    	1           
96          	10          	0.004099    	0.00354     	0.004673    	1           
97          	10          	0.004131    	0.003244    	0.005043    	1           
98          	10          	0.004398    	0.003574    	0.005246    	1           
99          	10          	0.004654    	0.00359     	0.005749    	1           
100         	10          	0.004404    	0.003754    	0.005072    	1           
101         	10          	0.004401    	0.004007    	0.004805    	1           
102         	10          	0.004001    	0.003654    	0.004358    	1           
103         	10          	0.003799    	0.00389     	0.003705    	1           
104         	10          	0.003794    	0.003975    	0.003608    	1           
105         	10          	0.003865    	0.00408     	0.003644    	1           
106         	10          	0.003842    	0.003906    	0.003776    	1           
107         	10          	0.003943    	0.003418    	0.004483    	1           
108         	10          	0.003668    	0.00325     	0.004099    	1           
109         	10          	0.003854    	0.003441    	0.00428     	1           
110         	10          	0.00395     	0.003287    	0.004632    	1           
111         	10          	0.003954    	0.003075    	0.004859    	1           
112         	10          	0.004104    	0.003787    	0.00443     	1           
113         	10          	0.003949    	0.003625    	0.004281    	1           
114         	10          	0.003827    	0.003386    	0.004282    	1           
115         	10          	0.003331    	0.003025    	0.003646    	1           
116         	10          	0.003299    	0.003565    	0.003026    	1           
117         	10          	0.003068    	0.003764    	0.002348    	1           
118         	10          	0.003346    	0.003947    	0.002725    	1           
119         	10          	0.00321     	0.00401     	0.002384    	1           
120         	10          	0.003399    	0.0041      	0.002676    	1           
121         	10          	0.003386    	0.003884    	0.002873    	1           
122         	10          	0.003454    	0.003963    	0.00293     	1           
123         	10          	0.003174    	0.003805    	0.002524    	1           
124         	10          	0.003299    	0.003275    	0.003323    	1           
125         	10          	0.003749    	0.003019    	0.004501    	1           
126         	10          	0.003155    	0.003095    	0.003216    	1           
127         	10          	0.003204    	0.003231    	0.003177    	1           
128         	10          	0.003255    	0.003194    	0.003318    	1           
129         	10          	0.003456    	0.003389    	0.003525    	1           
130         	10          	0.00345     	0.003341    	0.003562    	1           
131         	10          	0.003947    	0.00357     	0.004336    	1           
132         	10          	0.003976    	0.003277    	0.004695    	1           
133         	10          	0.003819    	0.002939    	0.004724    	1           
134         	10          	0.003747    	0.003091    	0.004421    	1           
135         	10          	0.004248    	0.003286    	0.005237    	1           
136         	10          	0.004151    	0.003207    	0.005121    	1           
137         	10          	0.004064    	0.003408    	0.004736    	1           
138         	10          	0.003973    	0.003514    	0.004445    	1           
139         	10          	0.003378    	0.003235    	0.003523    	1           
140         	10          	0.003198    	0.003407    	0.002984    	1           
141         	10          	0.002781    	0.002936    	0.002622    	1           
142         	10          	0.002609    	0.002793    	0.002422    	1           
143         	10          	0.002986    	0.003241    	0.002725    	1           
144         	10          	0.003016    	0.003273    	0.002753    	1           
145         	10          	0.003048    	0.003057    	0.00304     	1           
146         	10          	0.003199    	0.00324     	0.003158    	1           
147         	10          	0.003095    	0.003078    	0.003114    	1           
148         	10          	0.003252    	0.003343    	0.003158    	1           
149         	10          	0.003255    	0.003305    	0.003204    	1           
150         	10          	0.003684    	0.003466    	0.003907    	1           
151         	10          	0.003814    	0.003419    	0.004217    	1           
152         	10          	0.003494    	0.003174    	0.003822    	1           
153         	10          	0.003585    	0.003626    	0.003542    	1           
154         	10          	0.003414    	0.003586    	0.003238    	1           
155         	10          	0.003189    	0.003672    	0.002694    	1           
156         	10          	0.002921    	0.003505    	0.002323    	1           
157         	10          	0.002927    	0.003439    	0.002402    	1           
158         	10          	0.002746    	0.00318     	0.002301    	1           
159         	10          	0.00305     	0.003536    	0.00255     	1           
160         	10          	0.003439    	0.003778    	0.00309     	1           
161         	10          	0.003303    	0.003768    	0.002825    	1           
