replicate   	generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	1           	5.5         	0.5055      	1           	1.984e-05   
1           	2           	8.55        	0.494       	0.977       	0.0004341   
1           	3           	9.65        	0.482       	0.953       	0.0005997   
1           	4           	9.85        	0.4711      	0.9314      	0.0009518   
1           	5           	9.95        	0.4605      	0.91        	0.001526    
1           	6           	9.85        	0.4504      	0.8896      	0.001865    
1           	7           	9.9         	0.442       	0.8719      	0.002529    
1           	8           	9.9         	0.4332      	0.8543      	0.002756    
1           	9           	9.95        	0.4245      	0.8362      	0.003341    
1           	10          	10          	0.4154      	0.8175      	0.003999    
1           	11          	10          	0.4025      	0.792       	0.00431     
1           	12          	10          	0.396       	0.7787      	0.0048      
1           	13          	10          	0.3846      	0.7554      	0.005357    
1           	14          	10          	0.3735      	0.7337      	0.005433    
1           	15          	10          	0.3652      	0.7166      	0.006277    
1           	16          	10          	0.3581      	0.7021      	0.006491    
1           	17          	10          	0.3524      	0.691       	0.006487    
1           	18          	10          	0.3465      	0.679       	0.006687    
1           	19          	10          	0.3367      	0.6588      	0.007532    
1           	20          	10          	0.3316      	0.6486      	0.007329    
1           	21          	10          	0.3206      	0.6267      	0.007313    
1           	22          	10          	0.3122      	0.6096      	0.007747    
1           	23          	10          	0.3083      	0.6009      	0.008522    
1           	24          	10          	0.3056      	0.5952      	0.009071    
1           	25          	10          	0.2998      	0.5838      	0.00937     
1           	26          	10          	0.2937      	0.5718      	0.009175    
1           	27          	10          	0.2893      	0.5635      	0.009092    
1           	28          	10          	0.2807      	0.5458      	0.009466    
1           	29          	10          	0.2754      	0.5361      	0.008872    
1           	30          	10          	0.2725      	0.5301      	0.009134    
1           	31          	10          	0.2702      	0.5258      	0.009096    
1           	32          	10          	0.2676      	0.5199      	0.009762    
1           	33          	10          	0.2571      	0.4997      	0.009186    
1           	34          	10          	0.2532      	0.492       	0.009173    
1           	35          	10          	0.253       	0.4914      	0.009466    
1           	36          	10          	0.2474      	0.4798      	0.009896    
1           	37          	10          	0.2432      	0.4714      	0.01022     
1           	38          	10          	0.2382      	0.4616      	0.01012     
1           	39          	10          	0.2313      	0.4474      	0.01049     
1           	40          	10          	0.2262      	0.4372      	0.01056     
1           	41          	10          	0.2227      	0.4306      	0.01038     
1           	42          	10          	0.2226      	0.4301      	0.0108      
1           	43          	10          	0.2183      	0.4218      	0.01079     
1           	44          	10          	0.215       	0.4148      	0.01126     
1           	45          	10          	0.2109      	0.4071      	0.01109     
1           	46          	10          	0.2067      	0.3985      	0.01138     
1           	47          	10          	0.2005      	0.3863      	0.01123     
1           	48          	10          	0.1985      	0.3818      	0.01187     
1           	49          	10          	0.1944      	0.3729      	0.01242     
1           	50          	10          	0.1891      	0.3634      	0.01154     
1           	51          	10          	0.1849      	0.3545      	0.01216     
1           	52          	10          	0.1822      	0.3498      	0.01155     
1           	53          	10          	0.1744      	0.3345      	0.01108     
1           	54          	10          	0.1749      	0.3342      	0.01239     
1           	55          	10          	0.1711      	0.3258      	0.01318     
1           	56          	10          	0.1691      	0.3214      	0.01368     
1           	57          	10          	0.1664      	0.3155      	0.01409     
1           	58          	10          	0.1646      	0.3125      	0.01355     
1           	59          	10          	0.1646      	0.3119      	0.01429     
1           	60          	10          	0.1643      	0.3113      	0.01437     
1           	61          	10          	0.16        	0.3025      	0.01451     
1           	62          	10          	0.1583      	0.2996      	0.01408     
1           	63          	10          	0.1551      	0.2927      	0.01475     
1           	64          	10          	0.1527      	0.2877      	0.01519     
1           	65          	10          	0.153       	0.287       	0.01642     
1           	66          	10          	0.1482      	0.2772      	0.01678     
1           	67          	10          	0.1457      	0.2722      	0.01674     
1           	68          	10          	0.1437      	0.2683      	0.01651     
1           	69          	10          	0.1403      	0.2603      	0.01787     
1           	70          	10          	0.1374      	0.2535      	0.019       
1           	71          	10          	0.1372      	0.2526      	0.01966     
1           	72          	10          	0.137       	0.2523      	0.01934     
1           	73          	10          	0.1369      	0.2525      	0.01899     
1           	74          	10          	0.1339      	0.2464      	0.01913     
1           	75          	10          	0.1291      	0.2372      	0.01886     
1           	76          	10          	0.1255      	0.23        	0.01884     
1           	77          	10          	0.1236      	0.2266      	0.01865     
1           	78          	10          	0.1218      	0.2214      	0.02007     
1           	79          	10          	0.1185      	0.2156      	0.01938     
1           	80          	10          	0.1211      	0.2213      	0.01895     
1           	81          	10          	0.12        	0.2186      	0.01951     
1           	82          	10          	0.1203      	0.2193      	0.0194      
1           	83          	10          	0.1196      	0.2165      	0.02085     
1           	84          	10          	0.1147      	0.207       	0.02074     
1           	85          	10          	0.1147      	0.2067      	0.02098     
1           	86          	10          	0.1139      	0.205       	0.02101     
1           	87          	10          	0.11        	0.1971      	0.02108     
1           	88          	10          	0.1059      	0.1897      	0.02037     
1           	89          	10          	0.1039      	0.1866      	0.01966     
1           	90          	10          	0.1003      	0.1797      	0.01933     
1           	91          	10          	0.09688     	0.1734      	0.01889     
1           	92          	10          	0.09583     	0.1717      	0.01847     
1           	93          	10          	0.09194     	0.1646      	0.01786     
1           	94          	10          	0.09088     	0.163       	0.01734     
1           	95          	10          	0.08886     	0.1595      	0.01679     
1           	96          	10          	0.08978     	0.1611      	0.01715     
1           	97          	10          	0.08759     	0.158       	0.01588     
1           	98          	10          	0.08614     	0.1545      	0.01658     
1           	99          	10          	0.08488     	0.1523      	0.01627     
1           	100         	10          	0.08451     	0.1519      	0.01589     
1           	101         	10          	0.08284     	0.1489      	0.01552     
1           	102         	10          	0.08367     	0.1496      	0.01638     
1           	103         	10          	0.08219     	0.1461      	0.01688     
1           	104         	10          	0.08199     	0.1456      	0.01712     
1           	105         	10          	0.08159     	0.1449      	0.01693     
1           	106         	10          	0.08012     	0.1424      	0.01647     
1           	107         	10          	0.07826     	0.1392      	0.016       
1           	108         	10          	0.07536     	0.134       	0.01537     
1           	109         	10          	0.07398     	0.1312      	0.01548     
1           	110         	10          	0.07197     	0.1277      	0.01503     
1           	111         	10          	0.07031     	0.1251      	0.01437     
1           	112         	10          	0.06965     	0.123       	0.01519     
1           	113         	10          	0.06937     	0.1213      	0.01634     
1           	114         	10          	0.06903     	0.1208      	0.01616     
1           	115         	10          	0.06815     	0.1186      	0.0166      
1           	116         	10          	0.06737     	0.1173      	0.01647     
1           	117         	10          	0.06597     	0.1145      	0.01639     
1           	118         	10          	0.064       	0.1098      	0.01718     
1           	119         	10          	0.06015     	0.1029      	0.01644     
1           	120         	10          	0.06089     	0.104       	0.01684     
1           	121         	10          	0.05849     	0.1001      	0.01601     
1           	122         	10          	0.05807     	0.09949     	0.01575     
1           	123         	10          	0.05683     	0.09642     	0.01635     
1           	124         	10          	0.05818     	0.09993     	0.01553     
1           	125         	10          	0.05855     	0.1005      	0.01563     
1           	126         	10          	0.05833     	0.1009      	0.01479     
1           	127         	10          	0.05649     	0.09725     	0.01478     
1           	128         	10          	0.05357     	0.09207     	0.01413     
1           	129         	10          	0.05292     	0.09161     	0.01329     
1           	130         	10          	0.05401     	0.09322     	0.01387     
1           	131         	10          	0.05375     	0.09287     	0.01367     
1           	132         	10          	0.05337     	0.09151     	0.01428     
1           	133         	10          	0.05057     	0.08662     	0.01362     
1           	134         	10          	0.0508      	0.08657     	0.01414     
1           	135         	10          	0.0508      	0.08631     	0.01441     
1           	136         	10          	0.05088     	0.08583     	0.01507     
1           	137         	10          	0.0506      	0.08563     	0.01469     
1           	138         	10          	0.04734     	0.07983     	0.01405     
1           	139         	10          	0.04541     	0.07587     	0.01423     
1           	140         	10          	0.04577     	0.07599     	0.01485     
1           	141         	10          	0.04413     	0.07251     	0.01511     
1           	142         	10          	0.0439      	0.0723      	0.01486     
1           	143         	10          	0.04328     	0.07066     	0.01523     
1           	144         	10          	0.04253     	0.06922     	0.01516     
1           	145         	10          	0.04076     	0.06643     	0.01443     
1           	146         	10          	0.04101     	0.06697     	0.01438     
1           	147         	10          	0.03963     	0.06323     	0.01539     
1           	148         	10          	0.03931     	0.06351     	0.01441     
1           	149         	10          	0.03859     	0.06208     	0.0144      
1           	150         	10          	0.03754     	0.06024     	0.01417     
1           	151         	10          	0.03803     	0.06028     	0.0151      
1           	152         	10          	0.03693     	0.05879     	0.01444     
1           	153         	10          	0.03663     	0.05878     	0.01385     
1           	154         	10          	0.03611     	0.0581      	0.01348     
1           	155         	10          	0.03512     	0.0553      	0.01433     
1           	156         	10          	0.03408     	0.05347     	0.0141      
1           	157         	10          	0.03292     	0.05038     	0.01493     
1           	158         	10          	0.033       	0.0501      	0.01538     
1           	159         	10          	0.03145     	0.04721     	0.01521     
1           	160         	10          	0.03075     	0.04535     	0.0157      
1           	161         	10          	0.03131     	0.04572     	0.01644     
1           	162         	10          	0.03108     	0.04574     	0.01598     
1           	163         	10          	0.03097     	0.0451      	0.01642     
1           	164         	10          	0.02997     	0.0442      	0.01531     
1           	165         	10          	0.02998     	0.04331     	0.01626     
1           	166         	10          	0.02956     	0.04228     	0.01648     
