**************************************************************************************************************************************************
*   The following results were generated the 6/12/2014 at 9:22:59 AM with Fstat for windows, V2.9.4  (June. 2003) from file simulation_g102.dat. *
**************************************************************************************************************************************************
      		  pop1	 All_W	All_UW
*******************************************************
	P-value for genotypic disequilibrium
	based on        300 permutations.
	Adjusted P-value for 5% nominal level is :   0.0033333333

		   All
ntrl-1 X ntrl-1		 0.00333
ntrl-1 X ntrl-1		 0.00333
ntrl-1 X ntrl-1		 0.00333
ntrl-1 X ntrl-1		 0.00333
ntrl-1 X ntrl-1		 0.00333
ntrl-1 X ntrl-1		 0.00333
ntrl-1 X ntrl-1		 0.00333
ntrl-1 X ntrl-1		 0.00333
ntrl-1 X ntrl-1		 0.00333
ntrl-1 X ntrl-1		 0.31667
ntrl-1 X ntrl-1		 0.00333
ntrl-1 X ntrl-1		 0.00333
ntrl-1 X ntrl-1		 0.00333
ntrl-1 X ntrl-1		 0.00333
ntrl-1 X ntrl-1		 0.00333

