generation  	q.adlt.nbAll	q.adlt.ho   	q.meanG     	alive.rpl   
1           	255         	0.9956      	-0.06093    	1           
2           	255         	0.9969      	-0.1009     	1           
3           	255         	0.9957      	-0.06486    	1           
4           	255         	0.9943      	-0.1336     	1           
5           	253         	0.9941      	-0.1113     	1           
6           	244         	0.9911      	-0.1099     	1           
7           	218         	0.9922      	-0.01029    	1           
8           	192         	0.9909      	-0.03653    	1           
9           	177         	0.9905      	-0.07768    	1           
10          	165         	0.9871      	-0.08103    	1           
