replicate   	generation  	q.adlt.nbAll	q.adlt.ho   	q.meanG     
1           	1           	255         	0.9956      	-0.06093    
1           	2           	255         	0.9965      	-0.1146     
1           	3           	255         	0.9949      	-0.1519     
1           	4           	255         	0.9961      	-0.1982     
1           	5           	255         	0.9954      	-0.2301     
1           	6           	255         	0.9956      	-0.1479     
1           	7           	255         	0.9964      	-0.03607    
1           	8           	255         	0.9938      	-0.08655    
1           	9           	255         	0.9954      	0.03471     
1           	10          	255         	0.9945      	0.003987    
