generation  	q.adlt.nbAll	q.adlt.hs   	q.meanG     	q.varG      	alive.rpl   
1           	255         	0.9961      	-0.02939    	96.7        	10          
100         	199.4       	0.991       	0.02857     	95.81       	10          
200         	143.4       	0.9863      	0.1208      	96.02       	10          
300         	111.1       	0.9814      	-0.261      	98.41       	10          
400         	93.3        	0.9768      	-0.6763     	95.98       	10          
500         	78.2        	0.9718      	-1.154      	93.18       	10          
600         	69.9        	0.9674      	-1.418      	89.52       	10          
700         	65.5        	0.9629      	-1.878      	87.07       	10          
800         	58.7        	0.9598      	-1.577      	87.66       	10          
900         	52.9        	0.9568      	-1.983      	88.93       	10          
1000        	54.2        	0.9526      	-1.552      	87.27       	10          
1100        	52.3        	0.949       	-1.502      	83.1        	10          
1200        	49.6        	0.9432      	-1.267      	79.86       	10          
1300        	49.5        	0.9402      	-0.9511     	78.91       	10          
1400        	44.4        	0.9352      	-1.422      	75.51       	10          
1500        	42.9        	0.9332      	-1.564      	71.99       	10          
1600        	40.2        	0.9318      	-1.143      	67.65       	10          
1700        	41          	0.9278      	-1.54       	64.7        	10          
1800        	40.8        	0.9254      	-1.301      	65.23       	10          
1900        	39.7        	0.9222      	-1.472      	63.31       	10          
2000        	38.3        	0.9212      	-1.203      	61.11       	10          
2100        	38.8        	0.9171      	-1.613      	61.65       	10          
2200        	39.3        	0.9168      	-1.346      	59.81       	10          
2300        	36.9        	0.9142      	-1.402      	59.24       	10          
2400        	35.4        	0.9118      	-1.115      	58.4        	10          
2500        	33.3        	0.9078      	-1.252      	57.67       	10          
2600        	35.2        	0.9074      	-1.299      	57.43       	10          
2700        	36.6        	0.9103      	-1.26       	58.74       	10          
2800        	35.8        	0.9074      	-1.683      	59.24       	10          
2900        	34.8        	0.907       	-1.421      	59.17       	10          
3000        	33.2        	0.9094      	-1.662      	56.65       	10          
3100        	34.4        	0.9065      	-1.635      	58.06       	10          
3200        	35.3        	0.9014      	-1.757      	60.74       	10          
3300        	32.7        	0.8954      	-1.863      	58.08       	10          
3400        	34          	0.8886      	-2.037      	58.13       	10          
3500        	31.8        	0.8847      	-1.871      	57.46       	10          
3600        	32.2        	0.8746      	-2.328      	57.15       	10          
3700        	31.7        	0.8742      	-2.234      	55.81       	10          
3800        	30.4        	0.8769      	-2.143      	54.35       	10          
3900        	31.1        	0.8792      	-1.966      	52.5        	10          
4000        	32.1        	0.8784      	-1.995      	53.31       	10          
4100        	33.8        	0.8718      	-2.068      	53.2        	10          
4200        	33.6        	0.8649      	-2.001      	48.77       	10          
4300        	32.6        	0.8629      	-1.919      	50.56       	10          
4400        	31.8        	0.8557      	-1.762      	50.72       	10          
4500        	31.9        	0.8656      	-1.714      	49.96       	10          
4600        	30.8        	0.8587      	-1.633      	46.27       	10          
4700        	30.9        	0.8643      	-1.751      	46.47       	10          
4800        	30.2        	0.864       	-1.726      	45.64       	10          
4900        	29.6        	0.8681      	-1.595      	45.68       	10          
5000        	31.7        	0.8596      	-1.559      	45.85       	10          
