replicate   	generation  	q.adlt.nbAll	q.adlt.hs   	q.meanG     	q.varG      
1           	1           	255         	0.9961      	0.09212     	95.88       
1           	100         	202         	0.9916      	0.2096      	89.69       
1           	200         	144         	0.9868      	0.1987      	90.07       
1           	300         	110         	0.9819      	-0.2818     	101.8       
1           	400         	98          	0.9774      	-0.9095     	107.8       
1           	500         	75          	0.9701      	-1.959      	101.9       
1           	600         	69          	0.9705      	-1.764      	96.95       
1           	700         	69          	0.9651      	-1.904      	97.52       
1           	800         	62          	0.9622      	-2.429      	101.7       
1           	900         	60          	0.9607      	-4.336      	93.35       
1           	1000        	55          	0.9602      	-4.031      	90.67       
1           	1100        	56          	0.9604      	-3.621      	90.82       
1           	1200        	48          	0.9611      	-3.223      	89.18       
1           	1300        	55          	0.9526      	-2.672      	76.61       
1           	1400        	51          	0.9474      	-3.253      	79.52       
1           	1500        	45          	0.9365      	-3.349      	64.91       
1           	1600        	45          	0.9226      	-3.899      	53.4        
1           	1700        	37          	0.9198      	-3.473      	48.02       
1           	1800        	43          	0.9255      	-2.598      	54.37       
1           	1900        	44          	0.9188      	-2.477      	51.87       
1           	2000        	38          	0.9178      	-1.563      	44.35       
1           	2100        	44          	0.9224      	-0.9533     	52.23       
1           	2200        	42          	0.9212      	0.1622      	67.41       
1           	2300        	36          	0.9246      	1.049       	59.96       
1           	2400        	32          	0.9268      	0.4683      	53.76       
1           	2500        	34          	0.9253      	0.9056      	61.55       
1           	2600        	38          	0.9223      	1.471       	53.82       
1           	2700        	41          	0.9334      	1.764       	49.12       
1           	2800        	37          	0.9287      	2.277       	49.12       
1           	2900        	31          	0.9192      	2.988       	56.06       
1           	3000        	36          	0.9251      	2.184       	51.44       
1           	3100        	36          	0.9262      	1.075       	51.15       
1           	3200        	44          	0.9305      	0.5281      	57.36       
1           	3300        	32          	0.9265      	0.9143      	47.07       
1           	3400        	34          	0.918       	0.9185      	40.55       
1           	3500        	35          	0.9128      	-0.3365     	35.38       
1           	3600        	33          	0.9102      	-0.06954    	35.21       
1           	3700        	30          	0.8992      	-0.1828     	35.12       
1           	3800        	28          	0.9072      	-0.7243     	38.97       
1           	3900        	33          	0.8984      	-0.1659     	33.03       
1           	4000        	33          	0.9047      	-0.6306     	32.37       
1           	4100        	35          	0.8871      	-0.6011     	29.17       
1           	4200        	38          	0.8852      	-0.1203     	28.76       
1           	4300        	28          	0.8709      	-0.6122     	31.3        
1           	4400        	28          	0.8594      	-0.6769     	28.39       
1           	4500        	32          	0.85        	-1.545      	25.35       
1           	4600        	29          	0.8229      	-1.205      	20.81       
1           	4700        	26          	0.8188      	-1.252      	23.93       
1           	4800        	28          	0.8337      	-1.792      	27.82       
1           	4900        	26          	0.8339      	-1.805      	23.25       
1           	5000        	27          	0.8271      	-1.659      	19.22       
2           	1           	255         	0.9961      	-0.04626    	96.42       
2           	100         	190         	0.9901      	-0.4723     	89.7        
2           	200         	130         	0.9841      	-0.2325     	92.78       
2           	300         	100         	0.9791      	-1.184      	84.46       
2           	400         	86          	0.9769      	-2.6        	76.99       
2           	500         	72          	0.9736      	-4.331      	68.98       
2           	600         	69          	0.9698      	-4.45       	63.11       
2           	700         	58          	0.9642      	-5.918      	58.64       
2           	800         	52          	0.9601      	-4.65       	59.73       
2           	900         	43          	0.9578      	-3.944      	68.11       
2           	1000        	49          	0.956       	-3.228      	63.53       
2           	1100        	44          	0.9507      	-2.608      	67.74       
2           	1200        	41          	0.9443      	-2.472      	63.57       
2           	1300        	45          	0.9401      	-3.769      	55.67       
2           	1400        	36          	0.9296      	-5.302      	45.79       
2           	1500        	39          	0.9348      	-6.024      	37.52       
2           	1600        	37          	0.9344      	-5.409      	36.54       
2           	1700        	39          	0.937       	-6.194      	36.39       
2           	1800        	40          	0.9326      	-7.227      	35.3        
2           	1900        	44          	0.9284      	-6.938      	35.21       
2           	2000        	42          	0.9338      	-7.298      	37.31       
2           	2100        	41          	0.9269      	-8.025      	36.7        
2           	2200        	38          	0.9303      	-7.819      	37.32       
2           	2300        	41          	0.9333      	-8.204      	41.51       
2           	2400        	42          	0.9357      	-7.49       	43.93       
2           	2500        	36          	0.9349      	-7.909      	44.48       
2           	2600        	34          	0.93        	-8.353      	38.51       
2           	2700        	35          	0.9292      	-8.883      	36.74       
2           	2800        	35          	0.9241      	-9.048      	42.91       
2           	2900        	38          	0.9179      	-9.44       	36.54       
2           	3000        	35          	0.9162      	-9.536      	37.27       
2           	3100        	35          	0.9296      	-8.976      	39.27       
2           	3200        	39          	0.9245      	-9.341      	38.86       
2           	3300        	34          	0.9109      	-9.217      	40.12       
2           	3400        	32          	0.9152      	-8.951      	37.91       
2           	3500        	30          	0.9159      	-8.387      	35.26       
2           	3600        	35          	0.9206      	-7.995      	37.81       
2           	3700        	38          	0.9149      	-7.456      	35.45       
2           	3800        	31          	0.9087      	-7.269      	30.41       
2           	3900        	29          	0.8979      	-7.233      	25.34       
2           	4000        	32          	0.8932      	-7.342      	28.48       
2           	4100        	30          	0.8852      	-6.741      	25.05       
2           	4200        	23          	0.8642      	-7.326      	24.73       
2           	4300        	28          	0.8466      	-7.126      	23.5        
2           	4400        	34          	0.7824      	-6.592      	20.44       
2           	4500        	29          	0.8319      	-6.479      	22.43       
2           	4600        	31          	0.7936      	-6.452      	22.05       
2           	4700        	35          	0.8262      	-7.198      	24.26       
2           	4800        	27          	0.8081      	-6.658      	21.32       
2           	4900        	31          	0.8264      	-7.014      	26.95       
2           	5000        	35          	0.817       	-7.121      	28.19       
3           	1           	255         	0.9961      	0.003458    	95.67       
3           	100         	200         	0.9921      	0.094       	90.45       
3           	200         	156         	0.986       	0.1655      	97.75       
3           	300         	114         	0.9824      	-0.7626     	95.39       
3           	400         	103         	0.9782      	-0.6282     	90.79       
3           	500         	92          	0.9722      	-0.1979     	95.97       
3           	600         	70          	0.9638      	-0.189      	87.9        
3           	700         	62          	0.9635      	-0.3201     	90.64       
3           	800         	59          	0.9624      	-0.2403     	93.7        
3           	900         	55          	0.9594      	-0.3086     	101.8       
3           	1000        	57          	0.9524      	-0.0264     	92.45       
3           	1100        	51          	0.9499      	0.1218      	77.07       
3           	1200        	51          	0.9444      	0.7762      	71.25       
3           	1300        	48          	0.9492      	0.8211      	76.38       
