generation  	q.adlt.nbAll	q.adlt.hs   	q.meanG     	q.varG      	alive.rpl   
1           	0           	1.443e-11   	0.01119     	1.144       	10          
100         	22.04       	3.327e-07   	0.3071      	41.77       	10          
200         	52.24       	1.054e-06   	0.7529      	9.157       	10          
300         	24.29       	1.196e-06   	0.9843      	63.45       	10          
400         	25.61       	3.002e-06   	1.528       	85.82       	10          
500         	40.96       	1.424e-05   	3.206       	97.95       	10          
600         	26.29       	2.724e-05   	3.658       	126.5       	10          
700         	23.25       	5.355e-05   	4.114       	135.1       	10          
800         	29.61       	5.805e-05   	3.899       	135.6       	10          
900         	35.89       	0.0001086   	4.606       	162.1       	10          
1000        	20.76       	0.0001542   	3.667       	221.4       	10          
1100        	31.21       	0.0001714   	5.328       	247.2       	10          
1200        	14.44       	0.0001936   	6.325       	255.5       	10          
1300        	18.65       	0.0002119   	7.237       	244.1       	10          
1400        	26.64       	0.000198    	9.136       	204.3       	10          
1500        	19.69       	0.0001919   	10.86       	265.2       	10          
1600        	12.56       	0.0001312   	8.986       	233.5       	10          
1700        	15.4        	0.0002307   	10.67       	296.8       	10          
1800        	28.16       	0.0002702   	12.96       	357.9       	10          
1900        	28.21       	0.0002728   	11.86       	309.8       	10          
2000        	16.21       	0.0003406   	13.45       	295         	10          
2100        	9.56        	0.0004378   	14.3        	424         	10          
2200        	15.01       	0.0003278   	16.59       	395         	10          
2300        	13.69       	0.0004613   	16.8        	401.9       	10          
2400        	24.64       	0.000475    	17.02       	324         	10          
2500        	14.41       	0.0004555   	16.48       	339.6       	10          
2600        	9.56        	0.0004477   	17.09       	260.2       	10          
2700        	21.04       	0.0005813   	16.84       	316.6       	10          
2800        	16.16       	0.0007609   	19.85       	278.3       	10          
2900        	8.36        	0.0004325   	20.8        	302.5       	10          
3000        	10.16       	0.0003742   	19.1        	156         	10          
3100        	6.44        	0.0005602   	17.4        	246.7       	10          
3200        	13.01       	0.0008786   	18.35       	292.3       	10          
3300        	16.81       	0.0008175   	19.9        	266.3       	10          
3400        	13.8        	0.0007659   	21.49       	277.7       	10          
3500        	17.96       	0.0006279   	19.9        	285.2       	10          
3600        	8.96        	0.0009833   	19.59       	284.1       	10          
3700        	31.81       	0.001047    	20.32       	223.6       	10          
3800        	7.64        	0.001095    	21.34       	210.9       	10          
3900        	7.29        	0.0006001   	22.84       	226         	10          
4000        	12.29       	0.0007169   	20.29       	251.7       	10          
4100        	4.16        	0.000741    	18.65       	331.3       	10          
4200        	30.84       	0.0007766   	22.1        	210.3       	10          
4300        	9.84        	0.0007797   	17.71       	257.8       	10          
4400        	13.16       	0.00127     	16.18       	359         	10          
4500        	3.89        	0.0007509   	12.92       	338         	10          
4600        	10.36       	0.001527    	15.17       	331.6       	10          
4700        	16.89       	0.001123    	14.33       	269.9       	10          
4800        	15.76       	0.001108    	11.29       	303.5       	10          
4900        	6.24        	0.0007929   	11.46       	332.7       	10          
5000        	19.81       	0.000889    	11.67       	404.4       	10          
