generation  	q.adlt.nbAll	q.adlt.hs   	q.meanG     	q.varG      	alive.rpl   
1           	255         	0.9961      	-0.04059    	96.65       	10          
100         	64.4        	0.9662      	-0.0007427  	2.117       	10          
200         	45          	0.9483      	0.0006879   	1.043       	10          
300         	36.3        	0.9337      	0.02552     	0.7111      	10          
400         	33.5        	0.9202      	0.03087     	0.5381      	10          
500         	30          	0.9061      	0.0569      	0.445       	10          
600         	29.4        	0.8964      	0.0524      	0.3755      	10          
700         	26.2        	0.8809      	0.0448      	0.3201      	10          
800         	28          	0.8733      	0.03948     	0.2819      	10          
900         	25          	0.867       	0.03722     	0.2502      	10          
1000        	26.4        	0.8567      	0.04614     	0.2443      	10          
1100        	25.9        	0.8467      	0.04056     	0.2052      	10          
1200        	24.2        	0.8367      	0.03676     	0.1951      	10          
1300        	22.9        	0.8347      	0.03826     	0.1908      	10          
1400        	20.6        	0.8282      	0.06162     	0.1865      	10          
1500        	21.5        	0.818       	0.03187     	0.1737      	10          
1600        	21.9        	0.8065      	0.03059     	0.1699      	10          
1700        	20.2        	0.799       	0.02137     	0.1503      	10          
1800        	19.6        	0.7877      	0.01621     	0.1349      	10          
1900        	21.5        	0.7767      	0.004627    	0.1356      	10          
2000        	20.4        	0.7688      	0.007185    	0.132       	10          
2100        	22          	0.7623      	0.008202    	0.1264      	10          
2200        	20.3        	0.7607      	0.01958     	0.1275      	10          
2300        	19.3        	0.758       	0.01879     	0.1245      	10          
2400        	18.8        	0.7464      	0.01812     	0.1136      	10          
2500        	19.9        	0.7275      	0.02735     	0.1141      	10          
2600        	19.2        	0.7192      	0.0268      	0.1121      	10          
2700        	21.4        	0.7171      	0.02836     	0.121       	10          
2800        	21          	0.7171      	0.01427     	0.1107      	10          
2900        	20          	0.6973      	0.01292     	0.1006      	10          
3000        	18.9        	0.6901      	0.01514     	0.107       	10          
3100        	18.7        	0.6826      	0.001669    	0.1082      	10          
3200        	18.8        	0.6848      	-0.01007    	0.1022      	10          
3300        	19.4        	0.6827      	0.0007002   	0.1096      	10          
3400        	19          	0.6912      	0.01007     	0.09957     	10          
3500        	17          	0.6852      	0.005649    	0.1019      	10          
3600        	19.5        	0.6895      	-0.005138   	0.1016      	10          
3700        	17.6        	0.6763      	0.006575    	0.09895     	10          
3800        	18.2        	0.676       	0.002932    	0.0935      	10          
3900        	17.8        	0.6671      	-0.007628   	0.08371     	10          
4000        	18.5        	0.6684      	-0.001512   	0.08802     	10          
4100        	18.5        	0.6587      	-0.016      	0.08753     	10          
4200        	18.8        	0.6542      	-0.01288    	0.09627     	10          
4300        	16.9        	0.6485      	-0.01508    	0.08752     	10          
4400        	18.7        	0.6447      	-0.03509    	0.09531     	10          
4500        	19.6        	0.6345      	-0.02527    	0.0896      	10          
4600        	17.3        	0.6209      	-0.03137    	0.08088     	10          
4700        	17.3        	0.6246      	-0.02522    	0.07173     	10          
4800        	18.9        	0.6177      	-0.01899    	0.08359     	10          
4900        	16.8        	0.6089      	-0.01976    	0.07366     	10          
5000        	16.5        	0.6053      	-0.01865    	0.06059     	10          
