replicate   	generation  	q.adlt.nbAll	q.adlt.hs   	q.meanG     	q.varG      
1           	1           	255         	0.9961      	0.09212     	95.88       
1           	100         	69          	0.9689      	-0.07612    	2.482       
1           	200         	48          	0.9517      	-0.004195   	1.006       
1           	300         	32          	0.9403      	-0.01824    	0.7001      
1           	400         	32          	0.9307      	-0.01223    	0.5288      
1           	500         	26          	0.9151      	-0.1257     	0.4347      
1           	600         	24          	0.9124      	-0.06053    	0.3858      
1           	700         	29          	0.8968      	-0.1092     	0.2788      
1           	800         	26          	0.8921      	-0.06688    	0.2695      
1           	900         	24          	0.8669      	-0.03129    	0.1833      
1           	1000        	23          	0.8349      	0.005357    	0.1533      
1           	1100        	25          	0.8277      	-0.04105    	0.1277      
1           	1200        	20          	0.8073      	-0.02054    	0.1082      
1           	1300        	21          	0.81        	0.01491     	0.1218      
1           	1400        	22          	0.8032      	0.01448     	0.1126      
1           	1500        	17          	0.7943      	0.004139    	0.1028      
1           	1600        	20          	0.788       	-0.006756   	0.1604      
1           	1700        	18          	0.7642      	-0.01196    	0.1515      
1           	1800        	24          	0.7559      	-0.01955    	0.1166      
1           	1900        	21          	0.7445      	-0.0258     	0.1356      
1           	2000        	20          	0.6976      	0.00292     	0.1137      
1           	2100        	24          	0.6924      	-0.01781    	0.1165      
1           	2200        	19          	0.6667      	0.00446     	0.09054     
1           	2300        	16          	0.6544      	0.01567     	0.08364     
1           	2400        	22          	0.6399      	0.04436     	0.09521     
1           	2500        	22          	0.6289      	0.0414      	0.08073     
1           	2600        	18          	0.6247      	0.06187     	0.08645     
1           	2700        	20          	0.6479      	0.06334     	0.107       
1           	2800        	20          	0.6615      	-0.001096   	0.08915     
1           	2900        	23          	0.6225      	0.05691     	0.08754     
1           	3000        	17          	0.588       	0.07534     	0.07265     
1           	3100        	21          	0.5834      	0.06171     	0.09614     
1           	3200        	21          	0.5823      	0.05568     	0.1084      
1           	3300        	24          	0.5597      	0.07624     	0.1564      
1           	3400        	20          	0.5565      	0.1263      	0.1206      
1           	3500        	16          	0.566       	0.08956     	0.1211      
1           	3600        	21          	0.5795      	0.08006     	0.1219      
1           	3700        	19          	0.5844      	0.09541     	0.1037      
1           	3800        	13          	0.5859      	0.06561     	0.06694     
1           	3900        	14          	0.5722      	0.02817     	0.06811     
1           	4000        	21          	0.5754      	0.02082     	0.08529     
1           	4100        	16          	0.5725      	0.01035     	0.0607      
