generation  	q.adlt.nbAll	q.adlt.hs   	q.meanG     	q.varG      	alive.rpl   
1           	0           	1.582e-11   	0.01082     	0.7977      	10          
100         	9.24        	3.648e-06   	0.007837    	0.04683     	10          
200         	6           	3.119e-05   	0.00806     	0.01333     	10          
300         	6.41        	4.897e-05   	0.009807    	0.0118      	10          
400         	7.85        	6.378e-05   	0.006367    	0.01134     	10          
500         	8.6         	0.0001004   	0.01165     	0.009054    	10          
600         	16.84       	0.0003292   	0.01478     	0.006689    	10          
700         	3.56        	0.0006835   	0.01406     	0.006639    	10          
800         	7.4         	0.0007441   	0.01667     	0.00442     	10          
900         	5.2         	0.0005702   	0.01487     	0.002183    	10          
1000        	4.84        	0.0006203   	0.00596     	0.002609    	10          
1100        	16.49       	0.0006612   	0.009727    	0.002957    	10          
1200        	5.36        	0.0007188   	0.007458    	0.00262     	10          
1300        	2.49        	0.0005648   	0.00489     	0.00155     	10          
1400        	4.44        	0.000668    	0.005223    	0.00253     	10          
1500        	7.65        	0.0009389   	0.004032    	0.001661    	10          
1600        	8.89        	0.001375    	0.003803    	0.0009668   	10          
1700        	4.16        	0.002225    	0.004739    	0.0006114   	10          
1800        	7.84        	0.002691    	0.003272    	0.0009139   	10          
1900        	2.65        	0.004082    	0.001815    	0.0006394   	10          
2000        	9.84        	0.003883    	0.00125     	0.0005898   	10          
2100        	8           	0.002981    	0.001763    	0.0007008   	10          
2200        	8.41        	0.00478     	0.002641    	0.0007586   	10          
2300        	9.01        	0.00534     	0.003462    	0.0004777   	10          
2400        	7.96        	0.007033    	0.002141    	0.0007724   	10          
2500        	8.29        	0.01059     	0.001543    	0.0008399   	10          
2600        	4.96        	0.0116      	0.003089    	0.001423    	10          
2700        	8.64        	0.007523    	0.004139    	0.001014    	10          
2800        	5.4         	0.006871    	0.004445    	0.00114     	10          
2900        	4.8         	0.008675    	0.002024    	0.0006375   	10          
3000        	5.09        	0.01035     	0.001763    	0.001619    	10          
3100        	9.01        	0.008141    	0.003225    	0.001597    	10          
3200        	3.96        	0.009545    	0.004267    	0.0006224   	10          
3300        	6.44        	0.009474    	0.005479    	0.001569    	10          
3400        	9.6         	0.007289    	0.00727     	0.001085    	10          
3500        	3.4         	0.007011    	0.007212    	0.00103     	10          
3600        	3.05        	0.006698    	0.006629    	0.001339    	10          
3700        	7.24        	0.008331    	0.00505     	0.001036    	10          
3800        	13.16       	0.007087    	0.003792    	0.0007226   	10          
3900        	5.96        	0.008287    	0.003073    	0.001537    	10          
4000        	5.05        	0.007165    	0.002824    	0.00141     	10          
4100        	7.45        	0.007224    	0.003901    	0.001719    	10          
4200        	12.56       	0.008217    	0.003596    	0.002197    	10          
4300        	17.09       	0.008793    	0.003951    	0.001284    	10          
4400        	11.61       	0.007344    	0.004616    	0.001783    	10          
4500        	14.64       	0.01173     	0.003287    	0.001393    	10          
4600        	10.41       	0.01076     	0.002359    	0.001105    	10          
4700        	8.41        	0.007063    	0.00422     	0.001201    	10          
4800        	6.69        	0.00824     	0.005671    	0.001126    	10          
4900        	5.96        	0.00916     	0.005782    	0.000614    	10          
5000        	5.65        	0.009023    	0.005908    	0.0006366   	10          
