generation  	adlt.nbInd  	q.adlt.a.freq_l1_a1	q.adlt.a.freq_l1_a2	q.adlt.a.freq_l2_a1	q.adlt.a.freq_l2_a2	alive.rpl   
1           	2           	0.5         	0.5         	0.5         	0.5         	100         
2           	9.64        	0.4893      	0.5107      	0.5045      	0.4955      	100         
3           	50.23       	0.6217      	0.3783      	0.4696      	0.5304      	99          
4           	245.4       	0.6824      	0.3176      	0.4587      	0.5413      	99          
5           	834.5       	0.7221      	0.2779      	0.4483      	0.5517      	99          
6           	997.6       	0.7557      	0.2443      	0.4412      	0.5588      	99          
7           	1000        	0.7821      	0.2179      	0.4347      	0.5653      	99          
8           	1000        	0.8018      	0.1982      	0.4298      	0.5702      	99          
9           	1000        	0.8164      	0.1836      	0.4262      	0.5738      	99          
10          	1000        	0.8298      	0.1702      	0.4214      	0.5786      	99          
11          	1000        	0.8409      	0.1591      	0.4178      	0.5822      	99          
12          	1000        	0.8505      	0.1495      	0.4161      	0.5839      	99          
13          	1000        	0.8592      	0.1408      	0.4158      	0.5842      	99          
14          	1000        	0.8685      	0.1315      	0.4147      	0.5853      	99          
15          	1000        	0.8757      	0.1243      	0.4119      	0.5881      	99          
16          	1000        	0.883       	0.117       	0.4096      	0.5904      	99          
17          	1000        	0.8879      	0.1121      	0.4074      	0.5926      	99          
18          	1000        	0.8938      	0.1062      	0.4069      	0.5931      	99          
19          	1000        	0.8988      	0.1012      	0.4059      	0.5941      	99          
20          	1000        	0.9021      	0.09794     	0.4045      	0.5955      	99          
21          	1000        	0.9046      	0.09543     	0.4022      	0.5978      	99          
22          	1000        	0.9075      	0.09245     	0.4019      	0.5981      	99          
23          	1000        	0.9107      	0.0893      	0.4002      	0.5998      	99          
24          	1000        	0.9136      	0.08637     	0.398       	0.602       	99          
25          	1000        	0.9163      	0.08374     	0.397       	0.603       	99          
26          	1000        	0.918       	0.08197     	0.397       	0.603       	99          
27          	1000        	0.9204      	0.07962     	0.3985      	0.6015      	99          
28          	1000        	0.9232      	0.07676     	0.3987      	0.6013      	99          
29          	1000        	0.9251      	0.07485     	0.4001      	0.5999      	99          
30          	1000        	0.9268      	0.0732      	0.3998      	0.6002      	99          
31          	1000        	0.9285      	0.07152     	0.3985      	0.6015      	99          
32          	1000        	0.9299      	0.07013     	0.398       	0.602       	99          
33          	1000        	0.9307      	0.06928     	0.3975      	0.6025      	99          
34          	1000        	0.9315      	0.06847     	0.3968      	0.6032      	99          
35          	1000        	0.9331      	0.06689     	0.3969      	0.6031      	99          
36          	1000        	0.934       	0.06604     	0.3954      	0.6046      	99          
37          	1000        	0.936       	0.06397     	0.3953      	0.6047      	99          
38          	1000        	0.9361      	0.06391     	0.3933      	0.6067      	99          
39          	1000        	0.9372      	0.06283     	0.3957      	0.6043      	99          
