generation  	adlt.nbInd  	q.adlt.a.freq_l1_a1	q.adlt.a.freq_l1_a2	q.adlt.a.freq_l2_a1	q.adlt.a.freq_l2_a2	alive.rpl   
1           	0           	0           	0           	0           	0           	100         
2           	8.29        	0.01522     	0.01522     	0.01167     	0.01167     	100         
3           	661.3       	0.0172      	0.0172      	0.02358     	0.02358     	99          
4           	1.847e+04   	0.01302     	0.01302     	0.0253      	0.0253      	99          
5           	5.838e+04   	0.01041     	0.01041     	0.02628     	0.02628     	99          
6           	547.5       	0.008953    	0.008953    	0.02731     	0.02731     	99          
7           	0           	0.008036    	0.008036    	0.02843     	0.02843     	99          
8           	0           	0.00744     	0.00744     	0.02919     	0.02919     	99          
9           	0           	0.006892    	0.006892    	0.02973     	0.02973     	99          
10          	0           	0.006682    	0.006682    	0.03034     	0.03034     	99          
11          	0           	0.0066      	0.0066      	0.03092     	0.03092     	99          
12          	0           	0.00643     	0.00643     	0.03134     	0.03134     	99          
13          	0           	0.006239    	0.006239    	0.03211     	0.03211     	99          
14          	0           	0.005929    	0.005929    	0.03291     	0.03291     	99          
15          	0           	0.005788    	0.005788    	0.03378     	0.03378     	99          
16          	0           	0.005557    	0.005557    	0.03391     	0.03391     	99          
17          	0           	0.005454    	0.005454    	0.03437     	0.03437     	99          
18          	0           	0.005256    	0.005256    	0.03482     	0.03482     	99          
19          	0           	0.005323    	0.005323    	0.03539     	0.03539     	99          
20          	0           	0.005384    	0.005384    	0.03548     	0.03548     	99          
21          	0           	0.005457    	0.005457    	0.03564     	0.03564     	99          
22          	0           	0.005444    	0.005444    	0.03566     	0.03566     	99          
23          	0           	0.005573    	0.005573    	0.03611     	0.03611     	99          
24          	0           	0.005592    	0.005592    	0.03686     	0.03686     	99          
25          	0           	0.00585     	0.00585     	0.03693     	0.03693     	99          
26          	0           	0.00587     	0.00587     	0.03746     	0.03746     	99          
27          	0           	0.005806    	0.005806    	0.03795     	0.03795     	99          
28          	0           	0.005722    	0.005722    	0.03784     	0.03784     	99          
29          	0           	0.005961    	0.005961    	0.03805     	0.03805     	99          
30          	0           	0.006175    	0.006175    	0.03846     	0.03846     	99          
31          	0           	0.005899    	0.005899    	0.03867     	0.03867     	99          
32          	0           	0.006174    	0.006174    	0.03888     	0.03888     	99          
33          	0           	0.006155    	0.006155    	0.03914     	0.03914     	99          
34          	0           	0.006044    	0.006044    	0.03897     	0.03897     	99          
35          	0           	0.005941    	0.005941    	0.0391      	0.0391      	99          
36          	0           	0.006199    	0.006199    	0.03879     	0.03879     	99          
37          	0           	0.00623     	0.00623     	0.03888     	0.03888     	99          
38          	0           	0.006435    	0.006435    	0.03865     	0.03865     	99          
39          	0           	0.006532    	0.006532    	0.03967     	0.03967     	99          
40          	0           	0.006245    	0.006245    	0.04001     	0.04001     	99          
41          	0           	0.006156    	0.006156    	0.03973     	0.03973     	99          
42          	0           	0.006106    	0.006106    	0.03955     	0.03955     	99          
43          	0           	0.006118    	0.006118    	0.03898     	0.03898     	99          
44          	0           	0.006147    	0.006147    	0.03919     	0.03919     	99          
45          	0           	0.005802    	0.005802    	0.03941     	0.03941     	99          
46          	0           	0.005529    	0.005529    	0.03962     	0.03962     	99          
47          	0           	0.005332    	0.005332    	0.04027     	0.04027     	99          
48          	0           	0.005362    	0.005362    	0.03955     	0.03955     	99          
49          	0           	0.005294    	0.005294    	0.03947     	0.03947     	99          
50          	0           	0.005362    	0.005362    	0.03981     	0.03981     	99          
51          	0           	0.005485    	0.005485    	0.04038     	0.04038     	99          
52          	0           	0.005472    	0.005472    	0.04062     	0.04062     	99          
53          	0           	0.005514    	0.005514    	0.04052     	0.04052     	99          
54          	0           	0.005359    	0.005359    	0.04118     	0.04118     	99          
55          	0           	0.00539     	0.00539     	0.04136     	0.04136     	99          
56          	0           	0.005209    	0.005209    	0.04155     	0.04155     	99          
57          	0           	0.005121    	0.005121    	0.04154     	0.04154     	99          
58          	0           	0.005045    	0.005045    	0.04184     	0.04184     	99          
59          	0           	0.005161    	0.005161    	0.04203     	0.04203     	99          
60          	0           	0.005133    	0.005133    	0.04183     	0.04183     	99          
61          	0           	0.005411    	0.005411    	0.04252     	0.04252     	99          
62          	0           	0.005448    	0.005448    	0.04271     	0.04271     	99          
63          	0           	0.005667    	0.005667    	0.04273     	0.04273     	99          
64          	0           	0.005491    	0.005491    	0.04297     	0.04297     	99          
65          	0           	0.005552    	0.005552    	0.043       	0.043       	99          
66          	0           	0.005566    	0.005566    	0.04296     	0.04296     	99          
67          	0           	0.005489    	0.005489    	0.04347     	0.04347     	99          
68          	0           	0.005607    	0.005607    	0.04366     	0.04366     	99          
69          	0           	0.005605    	0.005605    	0.04343     	0.04343     	99          
70          	0           	0.005668    	0.005668    	0.04367     	0.04367     	99          
71          	0           	0.005438    	0.005438    	0.04349     	0.04349     	99          
72          	0           	0.005287    	0.005287    	0.04323     	0.04323     	99          
73          	0           	0.005445    	0.005445    	0.04321     	0.04321     	99          
74          	0           	0.005484    	0.005484    	0.04283     	0.04283     	99          
