replicate   	generation  	q.adlt.nbAll	q.adlt.ho   	q.meanG     
1           	1           	157         	0.9879      	-0.008986   
1           	2           	110         	0.9817      	0.02331     
1           	3           	84          	0.9773      	0.02836     
1           	4           	74          	0.9706      	0.004261    
1           	5           	60          	0.9632      	-0.009071   
1           	6           	54          	0.9571      	0.01344     
1           	7           	47          	0.948       	0.006813    
1           	8           	42          	0.9472      	-0.004706   
1           	9           	36          	0.9426      	-0.005461   
1           	10          	35          	0.935       	-0.005008   
