generation  	alive.rpl   	q.adlt.nbAll	q.adlt.ho   	q.meanG     
1           	1           	148         	0.9873      	0.02363     
2           	1           	142         	0.988       	-0.01661    
3           	1           	142         	0.9855      	-0.02393    
4           	1           	140         	0.9867      	-0.03358    
5           	1           	138         	0.9844      	-0.07247    
6           	1           	134         	0.9844      	-0.05222    
7           	1           	131         	0.9852      	-0.07314    
8           	1           	131         	0.9849      	-0.04994    
9           	1           	129         	0.9833      	-0.04129    
10          	1           	128         	0.9874      	-0.05246    
