replicate   	generation  	q.adlt.nbAll	q.adlt.ho   	q.meanG     
1           	1           	152         	0.986       	0.00188     
1           	2           	145         	0.9859      	0.02374     
1           	3           	139         	0.984       	-0.0213     
1           	4           	136         	0.9877      	-0.04191    
1           	5           	136         	0.9862      	-0.07965    
1           	6           	135         	0.9844      	-0.1014     
1           	7           	131         	0.9855      	-0.1072     
1           	8           	129         	0.9852      	-0.1317     
1           	9           	127         	0.9855      	-0.1471     
1           	10          	127         	0.9862      	-0.1551     
