generation  	alive.rpl   	q.adlt.nbAll	q.adlt.ho   	q.meanG     
1           	1           	154         	0.9862      	-0.005065   
2           	1           	140         	0.9841      	-0.009609   
3           	1           	132         	0.986       	-0.05662    
4           	1           	122         	0.9848      	-0.02977    
5           	1           	114         	0.9828      	0.01061     
6           	1           	110         	0.9816      	-0.005811   
7           	1           	106         	0.9811      	-0.03437    
8           	1           	103         	0.9804      	-0.02457    
9           	1           	100         	0.9807      	-0.03179    
10          	1           	93          	0.9799      	-0.05888    
