generation  	alive.rpl   	q.adlt.nbAll	q.adlt.hs   	q.meanG     	q.varG      
1           	10          	152.2       	0.9866      	0.0001521   	7.999       
100         	10          	58.5        	0.9662      	-0.01948    	1.718       
200         	10          	42.9        	0.9494      	0.0101      	0.9124      
300         	10          	35.7        	0.9326      	-0.005254   	0.6181      
400         	10          	31.3        	0.9217      	-0.02481    	0.4824      
500         	10          	31.5        	0.914       	0.006986    	0.4159      
600         	10          	27.9        	0.9026      	-0.004882   	0.3621      
700         	10          	27.9        	0.8911      	0.0006076   	0.3301      
800         	10          	26.8        	0.8758      	-0.00758    	0.2883      
900         	10          	25.9        	0.8653      	-0.03881    	0.2683      
1000        	10          	24.7        	0.8604      	-0.03198    	0.241       
1100        	10          	24.4        	0.8549      	-0.02364    	0.2319      
1200        	10          	23.3        	0.8447      	-0.02117    	0.2211      
1300        	10          	24.3        	0.8319      	-0.005102   	0.224       
1400        	10          	22.4        	0.8267      	0.001814    	0.2011      
1500        	10          	23          	0.8213      	-0.005312   	0.1822      
1600        	10          	22.3        	0.8206      	-0.003552   	0.1764      
1700        	10          	22.7        	0.8182      	0.001146    	0.1791      
1800        	10          	21.9        	0.8093      	-0.01181    	0.1578      
1900        	10          	20.8        	0.8017      	0.01147     	0.1503      
2000        	10          	20.7        	0.7912      	0.008271    	0.1497      
2100        	10          	22.4        	0.7861      	0.002563    	0.1479      
2200        	10          	20.1        	0.7779      	0.01179     	0.132       
2300        	10          	19.4        	0.777       	0.02451     	0.1343      
2400        	10          	19          	0.7602      	0.01884     	0.119       
2500        	10          	20.2        	0.7635      	0.02646     	0.123       
2600        	10          	20.4        	0.7614      	0.0247      	0.1178      
2700        	10          	20.9        	0.7501      	0.02287     	0.114       
2800        	10          	19.6        	0.7427      	0.01533     	0.1074      
2900        	10          	20.1        	0.7439      	0.01541     	0.1102      
3000        	10          	20.6        	0.735       	0.02114     	0.1016      
3100        	10          	18.2        	0.728       	0.01214     	0.098       
3200        	10          	18.5        	0.7216      	0.02322     	0.09842     
3300        	10          	19.2        	0.7114      	0.0306      	0.09664     
3400        	10          	20.4        	0.7183      	0.03611     	0.09871     
3500        	10          	20.3        	0.7257      	0.01607     	0.1106      
3600        	10          	19.1        	0.7212      	0.03339     	0.09687     
3700        	10          	18.1        	0.7147      	0.03115     	0.09567     
3800        	10          	18.5        	0.7182      	0.02176     	0.09972     
3900        	10          	20.3        	0.7199      	0.03192     	0.09976     
4000        	10          	17.4        	0.7145      	0.03055     	0.091       
4100        	10          	20          	0.7073      	0.04211     	0.09927     
4200        	10          	18.7        	0.6978      	0.03615     	0.1039      
4300        	10          	17          	0.6885      	0.0313      	0.08424     
4400        	10          	18.6        	0.6863      	0.03176     	0.08742     
4500        	10          	17.9        	0.6751      	0.03185     	0.07433     
4600        	10          	18.2        	0.6692      	0.02564     	0.07625     
4700        	10          	17.8        	0.6649      	0.01967     	0.07964     
4800        	10          	19          	0.6528      	0.01612     	0.07934     
4900        	10          	17.1        	0.6563      	-0.001593   	0.07201     
5000        	10          	17.6        	0.6684      	0.001732    	0.0796      
