replicate   	generation  	q.adlt.nbAll	q.adlt.hs   	q.meanG     	q.varG      
1           	1           	153         	0.9867      	-0.02185    	8.011       
1           	100         	60          	0.9678      	0.06469     	1.729       
1           	200         	43          	0.947       	-0.001276   	0.8327      
1           	300         	37          	0.9376      	-0.05704    	0.5631      
1           	400         	24          	0.9226      	-0.09983    	0.3418      
1           	500         	27          	0.9112      	-0.09111    	0.3114      
1           	600         	24          	0.9073      	-0.04888    	0.3043      
1           	700         	27          	0.8958      	-0.04602    	0.2456      
1           	800         	27          	0.8649      	0.01798     	0.2243      
1           	900         	27          	0.8627      	-0.007323   	0.1865      
1           	1000        	29          	0.8707      	0.04518     	0.1497      
1           	1100        	22          	0.8536      	0.02102     	0.1052      
1           	1200        	21          	0.8565      	0.04417     	0.1117      
1           	1300        	20          	0.866       	-0.01474    	0.1269      
1           	1400        	20          	0.854       	-0.03697    	0.1111      
1           	1500        	25          	0.8586      	-0.04217    	0.1316      
1           	1600        	22          	0.8609      	0.01162     	0.1278      
1           	1700        	24          	0.8581      	-0.006765   	0.1402      
1           	1800        	24          	0.8586      	0.03678     	0.1186      
1           	1900        	20          	0.8566      	0.04712     	0.1213      
1           	2000        	20          	0.8319      	0.06393     	0.109       
1           	2100        	17          	0.8396      	0.07144     	0.08938     
1           	2200        	22          	0.832       	0.05889     	0.0925      
1           	2300        	18          	0.8309      	0.07093     	0.1138      
1           	2400        	15          	0.8375      	0.04433     	0.08082     
1           	2500        	14          	0.8499      	0.03747     	0.1112      
1           	2600        	19          	0.8419      	0.05775     	0.09171     
1           	2700        	20          	0.8335      	0.0668      	0.09657     
1           	2800        	24          	0.8216      	0.05398     	0.09891     
1           	2900        	25          	0.8228      	0.04856     	0.106       
1           	3000        	16          	0.8087      	0.02381     	0.1066      
1           	3100        	17          	0.8034      	0.002778    	0.1102      
1           	3200        	20          	0.8154      	0.007975    	0.1033      
1           	3300        	22          	0.815       	0.002816    	0.08821     
1           	3400        	20          	0.8219      	0.001937    	0.09122     
1           	3500        	24          	0.8278      	-0.02659    	0.1087      
1           	3600        	21          	0.8429      	-0.01429    	0.07784     
1           	3700        	18          	0.8315      	-0.01348    	0.09992     
1           	3800        	17          	0.8325      	-0.03521    	0.09892     
1           	3900        	17          	0.8304      	0.01592     	0.08603     
1           	4000        	19          	0.8377      	0.01171     	0.0803      
1           	4100        	21          	0.8356      	-0.008665   	0.1091      
1           	4200        	17          	0.8242      	-0.0215     	0.09864     
1           	4300        	20          	0.823       	-0.01412    	0.07683     
1           	4400        	19          	0.8343      	0.004602    	0.08015     
1           	4500        	22          	0.8253      	-0.03789    	0.09899     
1           	4600        	17          	0.8262      	0.0255      	0.06539     
1           	4700        	16          	0.8246      	0.07591     	0.07463     
1           	4800        	19          	0.8087      	0.05923     	0.07022     
1           	4900        	15          	0.7841      	0.05086     	0.05478     
1           	5000        	22          	0.8217      	0.0467      	0.1048      
2           	1           	153         	0.9867      	-0.02131    	8.13        
2           	100         	58          	0.9692      	-0.02478    	1.938       
2           	200         	42          	0.9558      	0.01689     	0.9621      
2           	300         	33          	0.9442      	0.03284     	0.6706      
2           	400         	32          	0.9374      	-0.1009     	0.5999      
2           	500         	36          	0.9328      	-0.03496    	0.4882      
2           	600         	32          	0.9239      	-0.06948    	0.4129      
2           	700         	29          	0.9205      	-0.06277    	0.3714      
2           	800         	24          	0.9163      	-0.03842    	0.3017      
2           	900         	22          	0.9126      	0.002117    	0.3212      
2           	1000        	27          	0.9023      	-0.0194     	0.284       
2           	1100        	23          	0.8809      	-0.02695    	0.2426      
2           	1200        	28          	0.8683      	-0.03101    	0.1865      
2           	1300        	30          	0.8459      	-0.02131    	0.1818      
2           	1400        	23          	0.8448      	0.0621      	0.1437      
