generation  	alive.rpl   	q.adlt.nbAll	q.adlt.hs   	q.meanG     	q.varG      
1           	10          	6.76        	4.515e-09   	0.000958    	0.01099     
100         	10          	3.45        	3.216e-06   	0.003697    	0.01891     
200         	10          	1.09        	1.784e-05   	0.006384    	0.006173    
300         	10          	7.61        	4.9e-05     	0.00484     	0.004019    
400         	10          	7.41        	7.876e-05   	0.005041    	0.008091    
500         	10          	8.25        	0.0001599   	0.006313    	0.008356    
600         	10          	15.09       	0.0003821   	0.003961    	0.006168    
700         	10          	14.69       	0.0005629   	0.003184    	0.004646    
800         	10          	5.16        	0.001212    	0.00376     	0.001581    
900         	10          	5.69        	0.001513    	0.004363    	0.002061    
1000        	10          	7.61        	0.00123     	0.003663    	0.002642    
1100        	10          	8.84        	0.002004    	0.005582    	0.004147    
1200        	10          	5.61        	0.00194     	0.004976    	0.0039      
1300        	10          	7.81        	0.002858    	0.004555    	0.004274    
1400        	10          	4.04        	0.002464    	0.00437     	0.005625    
1500        	10          	5.2         	0.001915    	0.002662    	0.002611    
1600        	10          	1.81        	0.002204    	0.004409    	0.002635    
1700        	10          	1.81        	0.002507    	0.002112    	0.002645    
1800        	10          	7.29        	0.002798    	0.002739    	0.002358    
1900        	10          	14.96       	0.003159    	0.005506    	0.003156    
2000        	10          	14.41       	0.004627    	0.004263    	0.003025    
2100        	10          	12.84       	0.008172    	0.005047    	0.003101    
2200        	10          	11.69       	0.007715    	0.007327    	0.002753    
2300        	10          	13.24       	0.0101      	0.005124    	0.003082    
2400        	10          	9           	0.01474     	0.00519     	0.002642    
2500        	10          	11.56       	0.01264     	0.004071    	0.002174    
2600        	10          	2.44        	0.01356     	0.004533    	0.002386    
2700        	10          	3.29        	0.01506     	0.004084    	0.002202    
2800        	10          	9.64        	0.01435     	0.006193    	0.002186    
2900        	10          	9.29        	0.01121     	0.005349    	0.001742    
3000        	10          	12.04       	0.01069     	0.004139    	0.001781    
3100        	10          	4.36        	0.01227     	0.003698    	0.001648    
3200        	10          	9.45        	0.01226     	0.002711    	0.00188     
3300        	10          	13.76       	0.01538     	0.002388    	0.002922    
3400        	10          	9.64        	0.01512     	0.001466    	0.001367    
3500        	10          	12.01       	0.01082     	0.004241    	0.002242    
3600        	10          	5.69        	0.009063    	0.003633    	0.0008725   
3700        	10          	6.29        	0.00888     	0.004658    	0.0004593   
3800        	10          	5.25        	0.00766     	0.004189    	0.001404    
3900        	10          	8.41        	0.007004    	0.003008    	0.0004468   
4000        	10          	9.24        	0.007636    	0.004665    	0.000625    
4100        	10          	12.6        	0.007257    	0.006161    	0.0009255   
4200        	10          	11.01       	0.007455    	0.004584    	0.0009606   
4300        	10          	15.2        	0.008582    	0.003253    	0.0007478   
4400        	10          	11.84       	0.009622    	0.004883    	0.0008063   
4500        	10          	8.29        	0.009538    	0.005278    	0.0006067   
4600        	10          	3.56        	0.01088     	0.005866    	0.0007614   
4700        	10          	3.76        	0.01096     	0.005797    	0.001053    
4800        	10          	4           	0.01068     	0.005978    	0.00107     
4900        	10          	11.89       	0.009552    	0.006708    	0.0009285   
5000        	10          	7.84        	0.00858     	0.009152    	0.0009438   
