generation  	alive.rpl   	q.adlt.nbAll	q.adlt.hs   	q.meanG     	q.varG      
1           	10          	152         	0.9866      	0.002692    	7.923       
100         	10          	58.5        	0.9642      	0.01301     	1.674       
200         	10          	44.1        	0.9474      	0.02023     	0.9268      
300         	10          	37.3        	0.9345      	0.02526     	0.6634      
400         	10          	34.1        	0.9172      	0.01661     	0.4712      
500         	10          	31.8        	0.9062      	-0.008143   	0.3875      
600         	10          	27.1        	0.8864      	0.02177     	0.3164      
700         	10          	27.4        	0.8732      	0.02308     	0.2749      
800         	10          	25.3        	0.8625      	0.01305     	0.2353      
900         	10          	24.7        	0.854       	0.03903     	0.2167      
1000        	10          	23.3        	0.8429      	0.03165     	0.2123      
1100        	10          	24.9        	0.8365      	0.02883     	0.191       
1200        	10          	24.2        	0.8238      	0.01651     	0.1782      
1300        	10          	23.1        	0.806       	0.03974     	0.1696      
1400        	10          	21.4        	0.7906      	0.02381     	0.1456      
1500        	10          	21.9        	0.7875      	0.02019     	0.1488      
1600        	10          	22.1        	0.7787      	0.01365     	0.1367      
1700        	10          	19.5        	0.7761      	0.01129     	0.1326      
1800        	10          	19.6        	0.7667      	-0.0002854  	0.1269      
1900        	10          	21.3        	0.766       	0.00345     	0.1259      
2000        	10          	20.3        	0.7703      	0.007038    	0.1272      
2100        	10          	20.7        	0.7502      	0.009056    	0.1103      
2200        	10          	20.7        	0.7406      	0.01502     	0.1118      
2300        	10          	20.6        	0.734       	0.005073    	0.1193      
2400        	10          	19.7        	0.7226      	0.01439     	0.1047      
2500        	10          	19.2        	0.7221      	0.00673     	0.1022      
2600        	10          	18.8        	0.7168      	0.00492     	0.1063      
2700        	10          	19.2        	0.7131      	0.01466     	0.1095      
2800        	10          	19.9        	0.6992      	0.01691     	0.1021      
2900        	10          	17.8        	0.6972      	0.02181     	0.09341     
3000        	10          	19.5        	0.6909      	0.01628     	0.0887      
3100        	10          	19.9        	0.6925      	0.0117      	0.1039      
3200        	10          	19.9        	0.6912      	0.001393    	0.09638     
3300        	10          	18.9        	0.6915      	-0.003917   	0.09325     
3400        	10          	17.7        	0.6935      	-0.006718   	0.08853     
3500        	10          	20.3        	0.6826      	-0.0002419  	0.08837     
3600        	10          	17.9        	0.6704      	0.008601    	0.08883     
3700        	10          	17.7        	0.6576      	0.02287     	0.08333     
3800        	10          	19.5        	0.6494      	0.0304      	0.08578     
3900        	10          	18.5        	0.6526      	0.008133    	0.07844     
4000        	10          	17.4        	0.6488      	0.005801    	0.07745     
4100        	10          	18          	0.6414      	4.441e-05   	0.07349     
4200        	10          	18.5        	0.6241      	0.01208     	0.07504     
4300        	10          	18.7        	0.6144      	0.004898    	0.0818      
4400        	10          	19          	0.6274      	-0.004918   	0.0906      
4500        	10          	18.3        	0.6331      	0.0013      	0.07973     
4600        	10          	19          	0.6481      	-0.002797   	0.08719     
4700        	10          	18.2        	0.6483      	-0.0006132  	0.08698     
4800        	10          	18.5        	0.6313      	0.008403    	0.07839     
4900        	10          	17.8        	0.6329      	0.002639    	0.07212     
5000        	10          	19.2        	0.6403      	0.00425     	0.07902     
