replicate   	generation  	q.adlt.nbAll	q.adlt.hs   	q.meanG     	q.varG      
1           	1           	152         	0.9866      	-0.006454   	7.931       
1           	100         	57          	0.9661      	-0.01587    	1.596       
1           	200         	47          	0.9468      	-0.09747    	0.82        
1           	300         	40          	0.938       	-0.1315     	0.5547      
1           	400         	31          	0.9248      	-0.0153     	0.405       
1           	500         	31          	0.9241      	-0.06978    	0.3923      
1           	600         	27          	0.9164      	-0.02401    	0.3721      
1           	700         	29          	0.9193      	0.01432     	0.3765      
1           	800         	26          	0.9103      	0.01329     	0.2692      
1           	900         	27          	0.9049      	0.1374      	0.246       
1           	1000        	26          	0.9005      	0.06183     	0.2134      
1           	1100        	30          	0.8978      	0.1045      	0.2269      
1           	1200        	26          	0.8847      	0.09926     	0.1695      
1           	1300        	23          	0.8765      	0.126       	0.1721      
1           	1400        	19          	0.8767      	0.08603     	0.1457      
1           	1500        	20          	0.8759      	0.05142     	0.1804      
1           	1600        	23          	0.8782      	0.07879     	0.1773      
1           	1700        	19          	0.8721      	0.08676     	0.1449      
1           	1800        	22          	0.8708      	0.0595      	0.1931      
1           	1900        	26          	0.8463      	0.1707      	0.1558      
1           	2000        	20          	0.8329      	0.1756      	0.1389      
1           	2100        	19          	0.8261      	0.2035      	0.1065      
1           	2200        	24          	0.8235      	0.186       	0.1235      
1           	2300        	25          	0.8105      	0.1673      	0.1247      
1           	2400        	20          	0.814       	0.1477      	0.1174      
1           	2500        	20          	0.8388      	0.1002      	0.1195      
1           	2600        	16          	0.8417      	0.07211     	0.1163      
1           	2700        	20          	0.8266      	0.117       	0.123       
1           	2800        	19          	0.8265      	0.1235      	0.1146      
1           	2900        	19          	0.8094      	0.1644      	0.1012      
1           	3000        	21          	0.8064      	0.1154      	0.09226     
1           	3100        	24          	0.8164      	0.1045      	0.1728      
1           	3200        	19          	0.8142      	0.0883      	0.1063      
1           	3300        	21          	0.8225      	0.06783     	0.122       
1           	3400        	17          	0.8108      	0.04055     	0.1265      
1           	3500        	18          	0.805       	0.0306      	0.0996      
1           	3600        	23          	0.7939      	-0.01296    	0.1061      
1           	3700        	25          	0.778       	0.03375     	0.1608      
1           	3800        	25          	0.7508      	0.05021     	0.1123      
1           	3900        	25          	0.7403      	0.06684     	0.09167     
1           	4000        	24          	0.7504      	0.05595     	0.07913     
1           	4100        	16          	0.7469      	0.07477     	0.07016     
1           	4200        	13          	0.706       	0.1056      	0.05816     
1           	4300        	16          	0.7285      	0.07815     	0.06824     
1           	4400        	20          	0.7559      	0.04824     	0.108       
1           	4500        	14          	0.7485      	0.07744     	0.08686     
1           	4600        	19          	0.753       	0.05477     	0.1479      
1           	4700        	18          	0.7507      	0.0496      	0.1239      
1           	4800        	16          	0.7158      	0.07067     	0.06258     
1           	4900        	22          	0.7424      	0.07295     	0.07772     
1           	5000        	20          	0.7726      	0.07092     	0.1085      
2           	1           	157         	0.9867      	-0.02114    	7.983       
2           	100         	59          	0.965       	-0.06625    	1.726       
2           	200         	45          	0.9437      	-0.06517    	0.9526      
2           	300         	37          	0.9306      	-0.04814    	0.6923      
2           	400         	36          	0.9086      	-0.04106    	0.4744      
2           	500         	27          	0.8922      	-0.0822     	0.3496      
2           	600         	28          	0.8722      	-0.03742    	0.2791      
2           	700         	30          	0.858       	-0.1072     	0.2577      
2           	800         	27          	0.8434      	-0.0986     	0.1927      
2           	900         	24          	0.8574      	-0.03679    	0.193       
2           	1000        	23          	0.86        	0.004734    	0.2253      
2           	1100        	22          	0.8519      	-0.02767    	0.1929      
2           	1200        	21          	0.8196      	-0.07337    	0.1696      
2           	1300        	24          	0.8141      	-0.06334    	0.2121      
2           	1400        	32          	0.8022      	-0.138      	0.18        
2           	1500        	23          	0.8129      	-0.07591    	0.2164      
2           	1600        	23          	0.8079      	-0.08846    	0.163       
2           	1700        	21          	0.7873      	-0.07804    	0.1158      
2           	1800        	18          	0.7785      	-0.1203     	0.1156      
2           	1900        	18          	0.7927      	-0.1492     	0.1107      
