generation  	alive.rpl   	q.adlt.nbAll	q.adlt.hs   	q.meanG     	q.varG      
1           	10          	11.6        	5.229e-09   	0.0009267   	0.00483     
100         	10          	8.25        	5.186e-06   	0.007622    	0.008141    
200         	10          	6.69        	1.828e-05   	0.008344    	0.007374    
300         	10          	2.81        	2.341e-05   	0.008739    	0.005186    
400         	10          	9.89        	8.262e-05   	0.00167     	0.0059      
500         	10          	6.56        	0.0001933   	0.003638    	0.005376    
600         	10          	8.69        	0.000988    	0.006071    	0.005524    
700         	10          	11.44       	0.001408    	0.003349    	0.004309    
800         	10          	4.81        	0.001866    	0.004765    	0.003146    
900         	10          	6.41        	0.002656    	0.006687    	0.00367     
1000        	10          	6.61        	0.003592    	0.006765    	0.004712    
1100        	10          	9.89        	0.002891    	0.008366    	0.00192     
1200        	10          	8.16        	0.004285    	0.008015    	0.00266     
1300        	10          	7.49        	0.007864    	0.006831    	0.00217     
1400        	10          	23.84       	0.01058     	0.009329    	0.002024    
1500        	10          	5.89        	0.01248     	0.007224    	0.002306    
1600        	10          	20.29       	0.01712     	0.006953    	0.002087    
1700        	10          	7.05        	0.01516     	0.006455    	0.00228     
1800        	10          	3.64        	0.01607     	0.00766     	0.002       
1900        	10          	10.41       	0.01337     	0.007602    	0.001561    
2000        	10          	7.01        	0.00959     	0.008808    	0.001742    
2100        	10          	6.81        	0.01444     	0.008695    	0.001902    
2200        	10          	5.01        	0.01354     	0.0085      	0.001654    
2300        	10          	11.24       	0.01521     	0.009804    	0.00203     
2400        	10          	5.81        	0.02312     	0.007095    	0.00202     
2500        	10          	6.36        	0.02083     	0.00513     	0.001445    
2600        	10          	12.16       	0.02198     	0.00337     	0.002026    
2700        	10          	9.76        	0.01625     	0.005866    	0.001688    
2800        	10          	2.89        	0.01978     	0.007618    	0.001406    
2900        	10          	5.16        	0.01696     	0.006961    	0.00105     
3000        	10          	7.05        	0.01248     	0.008828    	0.0007577   
3100        	10          	8.29        	0.01221     	0.007669    	0.001278    
3200        	10          	6.69        	0.01313     	0.007472    	0.001842    
3300        	10          	5.49        	0.01646     	0.006689    	0.001273    
3400        	10          	10.81       	0.014       	0.005931    	0.001309    
3500        	10          	17.61       	0.01463     	0.003823    	0.001146    
3600        	10          	4.69        	0.01417     	0.00142     	0.001497    
3700        	10          	24.61       	0.02216     	0.001534    	0.001543    
3800        	10          	17.05       	0.02067     	0.003496    	0.0003108   
3900        	10          	14.65       	0.02229     	0.003416    	0.0002942   
4000        	10          	9.24        	0.0206      	0.00286     	0.0003109   
4100        	10          	3.8         	0.02569     	0.002904    	0.0003977   
4200        	10          	7.25        	0.02792     	0.005468    	0.0005959   
4300        	10          	5.61        	0.03035     	0.003986    	0.0005773   
4400        	10          	7.6         	0.03        	0.003741    	0.0005313   
4500        	10          	7.41        	0.02603     	0.004976    	0.0007047   
4600        	10          	13.6        	0.02276     	0.004482    	0.0008324   
4700        	10          	14.96       	0.02439     	0.004227    	0.0007564   
4800        	10          	12.65       	0.02225     	0.004663    	0.0003046   
4900        	10          	6.16        	0.02193     	0.004747    	0.0002592   
5000        	10          	16.96       	0.02186     	0.003371    	0.0006583   
