generation  	alive.rpl   	q.adlt.nbAll	q.adlt.hs   	q.meanG     	q.varG      
1           	10          	152.4       	0.9867      	-0.01081    	8.049       
100         	10          	93.6        	0.9815      	0.1254      	7.921       
200         	10          	79.8        	0.9774      	0.1378      	8.349       
300         	10          	69.6        	0.9731      	0.2439      	8.443       
400         	10          	63.6        	0.9681      	0.08551     	8.593       
500         	10          	55.9        	0.9635      	0.04821     	8.874       
600         	10          	52.1        	0.9577      	-0.1189     	8.436       
700         	10          	48.8        	0.953       	-0.1182     	8.806       
800         	10          	48.2        	0.9498      	-0.01605    	8.373       
900         	10          	43.9        	0.9473      	0.06947     	8.516       
1000        	10          	42.9        	0.9439      	-0.03307    	8.453       
1100        	10          	41.6        	0.9417      	0.05724     	8.383       
1200        	10          	40.1        	0.9385      	0.11        	8.392       
1300        	10          	39.6        	0.9336      	0.1282      	8.228       
1400        	10          	38.7        	0.9296      	0.0877      	8.129       
1500        	10          	37.6        	0.9286      	-0.001554   	7.964       
1600        	10          	37.4        	0.9281      	0.04539     	7.963       
1700        	10          	36.4        	0.9261      	-0.04644    	8.266       
1800        	10          	35.4        	0.9198      	-0.1284     	8.481       
1900        	10          	36.2        	0.9178      	-0.1025     	8.379       
2000        	10          	35.7        	0.9134      	-0.0334     	8.375       
2100        	10          	34          	0.9079      	0.005879    	8.021       
2200        	10          	34.4        	0.9043      	0.1442      	8.309       
2300        	10          	36.1        	0.9039      	-0.01919    	7.889       
2400        	10          	33.9        	0.8999      	0.05098     	7.928       
2500        	10          	36.5        	0.9005      	0.07845     	7.719       
2600        	10          	35.3        	0.8955      	-0.06479    	7.586       
2700        	10          	33.9        	0.8931      	-0.03681    	7.416       
2800        	10          	32.3        	0.8909      	0.07295     	6.932       
2900        	10          	33.3        	0.8875      	0.1268      	6.788       
3000        	10          	32.2        	0.8881      	0.1885      	6.597       
3100        	10          	30.8        	0.8851      	0.02661     	6.932       
3200        	10          	31.3        	0.8892      	-0.0436     	6.846       
3300        	10          	30.3        	0.8892      	-0.07883    	6.838       
3400        	10          	31.3        	0.8903      	-0.09289    	6.932       
3500        	10          	31          	0.8906      	-0.07269    	6.962       
3600        	10          	30.5        	0.885       	-0.07887    	6.949       
3700        	10          	27.9        	0.8807      	0.002306    	6.743       
3800        	10          	32.7        	0.8839      	-0.1834     	7.078       
3900        	10          	31.4        	0.8789      	-0.1933     	7.344       
4000        	10          	30.1        	0.8786      	-0.316      	7.615       
4100        	10          	31          	0.8786      	-0.363      	8.165       
4200        	10          	29.6        	0.8733      	-0.3003     	8.24        
4300        	10          	30.2        	0.87        	-0.3151     	8.216       
4400        	10          	32.3        	0.8696      	-0.3933     	8.092       
4500        	10          	32.8        	0.8689      	-0.3819     	8.192       
4600        	10          	30.6        	0.8739      	-0.398      	7.8         
4700        	10          	30.6        	0.8719      	-0.2389     	7.609       
4800        	10          	30.9        	0.8665      	-0.1766     	7.57        
4900        	10          	32.8        	0.865       	-0.2812     	7.84        
5000        	10          	31.8        	0.8615      	-0.2928     	7.523       
