replicate   	generation  	q.adlt.nbAll	q.adlt.hs   	q.meanG     	q.varG      
1           	1           	153         	0.9867      	-0.01339    	8.166       
1           	100         	96          	0.9794      	-0.207      	8.445       
1           	200         	80          	0.9774      	-0.2556     	9.055       
1           	300         	66          	0.9717      	-0.5181     	8.721       
1           	400         	64          	0.967       	-0.7008     	9.234       
1           	500         	57          	0.9638      	-0.6221     	9.92        
1           	600         	53          	0.9578      	-1.435      	11.07       
1           	700         	53          	0.9469      	-1.868      	12.62       
1           	800         	51          	0.9483      	-1.854      	11.81       
1           	900         	45          	0.9478      	-1.528      	12.05       
1           	1000        	42          	0.9483      	-1.927      	11.26       
1           	1100        	40          	0.9497      	-2.42       	12.16       
1           	1200        	40          	0.9445      	-2.28       	11.45       
1           	1300        	41          	0.9408      	-2.032      	11.27       
1           	1400        	41          	0.9362      	-2.215      	11.14       
1           	1500        	38          	0.9391      	-2.351      	11.07       
1           	1600        	38          	0.9404      	-2.469      	11.32       
1           	1700        	38          	0.9336      	-1.999      	10.22       
1           	1800        	35          	0.922       	-2.218      	10.61       
1           	1900        	39          	0.9254      	-1.919      	10.65       
1           	2000        	39          	0.9196      	-1.721      	9.665       
1           	2100        	32          	0.9037      	-1.933      	10.32       
1           	2200        	31          	0.8981      	-1.875      	11.01       
1           	2300        	43          	0.8885      	-1.75       	9.502       
1           	2400        	35          	0.8933      	-1.974      	9.872       
1           	2500        	39          	0.8899      	-1.3        	9.234       
1           	2600        	36          	0.8782      	-1.015      	8.119       
1           	2700        	34          	0.8916      	-1.39       	8.805       
1           	2800        	33          	0.8911      	-1.25       	7.98        
1           	2900        	33          	0.8954      	-1.045      	7.336       
1           	3000        	32          	0.892       	-1.268      	7.514       
1           	3100        	30          	0.8962      	-1.451      	7.152       
1           	3200        	30          	0.8978      	-1.142      	6.538       
1           	3300        	34          	0.9074      	-1.051      	6.775       
1           	3400        	35          	0.9081      	-1.521      	6.769       
1           	3500        	33          	0.9134      	-1.529      	6.875       
1           	3600        	33          	0.9191      	-1.63       	6.789       
1           	3700        	25          	0.9307      	-1.598      	6.022       
1           	3800        	42          	0.9305      	-1.703      	6.853       
1           	3900        	35          	0.9223      	-1.819      	6.314       
1           	4000        	35          	0.8911      	-2.267      	6.237       
1           	4100        	32          	0.8853      	-2.204      	7.058       
1           	4200        	37          	0.8958      	-2.347      	6.832       
1           	4300        	29          	0.877       	-2.575      	7.381       
1           	4400        	34          	0.8722      	-2.679      	7.294       
1           	4500        	31          	0.8645      	-2.279      	7.275       
1           	4600        	27          	0.8714      	-2.318      	7.162       
1           	4700        	25          	0.85        	-2.163      	7.376       
1           	4800        	26          	0.8549      	-2.026      	7.986       
1           	4900        	30          	0.8558      	-2.325      	7.99        
1           	5000        	32          	0.867       	-2.138      	7.583       
2           	1           	148         	0.9866      	0.01606     	7.872       
2           	100         	92          	0.982       	0.4032      	8.678       
2           	200         	75          	0.9779      	0.2426      	9.802       
2           	300         	68          	0.9726      	0.3016      	9.542       
2           	400         	58          	0.9712      	0.4949      	9.751       
2           	500         	58          	0.9666      	-0.03838    	11.18       
2           	600         	60          	0.9654      	-0.05081    	10.55       
2           	700         	57          	0.9625      	0.3496      	12.81       
2           	800         	47          	0.9594      	0.3927      	12.54       
2           	900         	50          	0.9597      	0.399       	11.94       
2           	1000        	51          	0.9546      	0.3344      	11.43       
2           	1100        	47          	0.9477      	0.6919      	11.32       
2           	1200        	45          	0.9491      	0.629       	13.38       
