generation  	alive.rpl   	q.adlt.nbAll	q.adlt.hs   	q.meanG     	q.varG      
1           	10          	7.04        	2.531e-09   	0.001094    	0.008807    
100         	10          	3.64        	1.623e-06   	0.03997     	0.3554      
200         	10          	9.96        	1.347e-06   	0.03442     	0.5766      
300         	10          	5.44        	6.779e-06   	0.08274     	0.3988      
400         	10          	10.84       	7.807e-06   	0.1208      	0.8523      
500         	10          	7.49        	6.146e-06   	0.1649      	2.014       
600         	10          	19.69       	2.494e-05   	0.367       	2.596       
700         	10          	24.76       	3.103e-05   	0.5725      	4.838       
800         	10          	12.36       	4.864e-05   	0.627       	4.225       
900         	10          	11.29       	0.000134    	0.5508      	3.908       
1000        	10          	14.29       	0.0001464   	0.7721      	3.919       
1100        	10          	11.84       	0.0001436   	1.065       	4.416       
1200        	10          	11.29       	0.0002231   	1.042       	6.641       
1300        	10          	4.04        	0.0003208   	1.051       	7.522       
1400        	10          	13.61       	0.0004045   	1.383       	8.853       
1500        	10          	14.04       	0.0004022   	1.498       	7.467       
1600        	10          	6.64        	0.000214    	1.645       	6.736       
1700        	10          	4.64        	0.0001961   	1.334       	5.962       
1800        	10          	4.64        	0.0002465   	1.371       	9.479       
1900        	10          	7.36        	0.0002242   	1.399       	9.328       
2000        	10          	15.41       	0.0003213   	1.492       	9.974       
2100        	10          	11.6        	0.0004731   	1.647       	12.82       
2200        	10          	9.24        	0.0008724   	1.591       	14.96       
2300        	10          	16.09       	0.0006179   	1.521       	13.03       
2400        	10          	13.49       	0.0005798   	1.548       	11.58       
2500        	10          	9.65        	0.0004626   	0.9509      	10.99       
2600        	10          	15.81       	0.0006624   	0.9266      	13.78       
2700        	10          	14.49       	0.0007789   	0.8201      	12.53       
2800        	10          	11.21       	0.000879    	0.7155      	9.61        
2900        	10          	11.21       	0.001109    	0.7179      	8.273       
3000        	10          	19.76       	0.001124    	0.897       	6.139       
3100        	10          	10.16       	0.001134    	1.06        	7.273       
3200        	10          	14.61       	0.0006807   	0.8581      	8.041       
3300        	10          	25.01       	0.0006742   	0.825       	6.957       
3400        	10          	9.21        	0.0005629   	1.112       	9.635       
3500        	10          	6.6         	0.0005359   	1.563       	10.98       
3600        	10          	13.45       	0.00079     	1.668       	13.91       
3700        	10          	8.89        	0.000985    	1.666       	17.15       
3800        	10          	25.81       	0.0006733   	1.382       	19.43       
3900        	10          	22.24       	0.0004071   	1.219       	23.45       
4000        	10          	8.09        	0.0001339   	1.36        	23.06       
4100        	10          	14          	0.0001519   	1.328       	29.09       
4200        	10          	26.64       	0.000346    	1.583       	34.53       
4300        	10          	11.96       	0.0006193   	1.793       	29.93       
4400        	10          	10.81       	0.0005128   	1.764       	22.8        
4500        	10          	7.56        	0.0008755   	1.411       	22.02       
4600        	10          	13.04       	0.0008612   	1.42        	18.77       
4700        	10          	16.24       	0.001171    	1.185       	16.38       
4800        	10          	11.49       	0.00215     	1.311       	16.57       
4900        	10          	22.56       	0.002346    	1.368       	17.41       
5000        	10          	9.56        	0.001919    	1.321       	18.01       
