generation  	alive.rpl   	q.adlt.nbAll	q.adlt.hs   	q.meanG     	q.varG      
1           	10          	151.2       	0.9867      	0.0002957   	8.027       
100         	10          	92.5        	0.9819      	-0.0203     	7.878       
200         	10          	77.9        	0.9767      	0.05204     	8.188       
300         	10          	68.5        	0.9721      	-0.01445    	8.009       
400         	10          	61.3        	0.967       	-0.03875    	7.604       
500         	10          	56.9        	0.9633      	0.08063     	7.573       
600         	10          	51.8        	0.96        	0.01724     	7.663       
700         	10          	49.6        	0.9552      	0.1432      	7.553       
800         	10          	46.9        	0.9505      	0.1809      	7.524       
900         	10          	46.4        	0.9466      	0.2929      	7.381       
1000        	10          	42.8        	0.9371      	0.1787      	6.848       
1100        	10          	41.9        	0.9332      	0.06547     	6.457       
1200        	10          	42.3        	0.9297      	0.1516      	6.262       
1300        	10          	39.8        	0.929       	0.1705      	6.313       
1400        	10          	38.6        	0.9252      	0.06384     	6.042       
1500        	10          	38.2        	0.9211      	0.03015     	6.158       
1600        	10          	38.1        	0.916       	-0.003812   	6.023       
1700        	10          	38.3        	0.9108      	0.08868     	5.903       
1800        	10          	33.9        	0.912       	0.07817     	6.123       
1900        	10          	35          	0.9104      	-0.03458    	6.692       
2000        	10          	35.1        	0.9032      	-0.009608   	6.705       
2100        	10          	34.3        	0.8969      	0.0341      	6.027       
2200        	10          	33.6        	0.898       	-0.05687    	6.102       
2300        	10          	33.9        	0.8953      	-0.07349    	6.111       
2400        	10          	32.5        	0.8931      	-0.1162     	6.007       
2500        	10          	32.2        	0.8878      	-0.1482     	5.999       
2600        	10          	34.1        	0.8823      	-0.02033    	5.824       
2700        	10          	34          	0.8814      	0.01947     	5.608       
2800        	10          	31.3        	0.8818      	0.01909     	5.792       
2900        	10          	32.3        	0.8771      	0.03527     	5.816       
3000        	10          	30.3        	0.8681      	0.04498     	5.736       
3100        	10          	28.8        	0.8689      	0.08633     	5.56        
3200        	10          	30.7        	0.8591      	0.02005     	5.335       
3300        	10          	30.9        	0.8573      	-0.03666    	5.376       
3400        	10          	29.9        	0.8546      	0.05879     	5.115       
3500        	10          	29.9        	0.8493      	0.09304     	5.017       
3600        	10          	30.5        	0.8438      	0.04762     	4.815       
3700        	10          	28.8        	0.8447      	0.05691     	5.031       
3800        	10          	29          	0.8405      	0.04268     	5.122       
3900        	10          	28.4        	0.8478      	0.07464     	5.081       
4000        	10          	30.8        	0.8522      	0.131       	5.311       
4100        	10          	30.5        	0.8555      	0.1514      	5.332       
4200        	10          	30.3        	0.857       	0.1548      	5.685       
4300        	10          	31          	0.8608      	0.05031     	5.854       
4400        	10          	29.5        	0.8585      	0.1487      	5.743       
4500        	10          	29.7        	0.8598      	0.1393      	5.724       
4600        	10          	29.1        	0.8574      	0.05962     	5.511       
4700        	10          	29.5        	0.858       	0.01817     	5.621       
4800        	10          	29.4        	0.8588      	-0.04196    	5.863       
4900        	10          	28          	0.8573      	-0.06189    	5.809       
5000        	10          	26.7        	0.8548      	0.09229     	5.73        
