replicate   	generation  	q.adlt.nbAll	q.adlt.hs   	q.meanG     	q.varG      
1           	1           	152         	0.9867      	-0.03672    	8.073       
1           	100         	91          	0.9823      	0.2097      	7.533       
1           	200         	81          	0.9766      	0.6098      	8.621       
1           	300         	72          	0.9743      	0.388       	8.967       
1           	400         	61          	0.9687      	-0.2247     	9.26        
1           	500         	54          	0.9626      	-0.2566     	9.127       
1           	600         	47          	0.9572      	-0.3701     	9.333       
1           	700         	50          	0.9536      	-0.6132     	8.709       
1           	800         	43          	0.9454      	-0.6466     	8.012       
1           	900         	41          	0.9417      	-0.06349    	6.977       
1           	1000        	44          	0.9263      	-0.1353     	7.315       
1           	1100        	42          	0.9168      	-0.4171     	6.748       
1           	1200        	38          	0.9129      	-0.5232     	6.177       
1           	1300        	40          	0.921       	-0.2956     	6.155       
1           	1400        	37          	0.9136      	-0.5468     	5.872       
1           	1500        	31          	0.9171      	-0.3498     	5.448       
1           	1600        	35          	0.9106      	-0.3485     	5.356       
1           	1700        	34          	0.9191      	-0.3225     	5.406       
1           	1800        	32          	0.9147      	-0.7197     	5.927       
1           	1900        	32          	0.9234      	-0.9216     	6.291       
1           	2000        	31          	0.9186      	-0.9484     	6.638       
1           	2100        	31          	0.9023      	-0.7729     	5.737       
1           	2200        	33          	0.8985      	-0.8414     	5.942       
1           	2300        	30          	0.9011      	-0.7177     	6.306       
1           	2400        	32          	0.9056      	-0.8379     	6.404       
1           	2500        	28          	0.8971      	-0.8437     	6           
1           	2600        	40          	0.8862      	-0.5602     	5.353       
1           	2700        	39          	0.896       	-0.5724     	5.538       
1           	2800        	36          	0.8906      	-0.2298     	5.606       
1           	2900        	40          	0.892       	-0.0831     	5.439       
1           	3000        	35          	0.8661      	-0.341      	5.118       
1           	3100        	35          	0.8758      	-0.1587     	5.41        
1           	3200        	42          	0.8558      	-0.04115    	4.456       
1           	3300        	39          	0.871       	-0.2937     	5.138       
1           	3400        	38          	0.8771      	-0.162      	4.763       
1           	3500        	34          	0.8609      	-0.6403     	4.574       
1           	3600        	37          	0.8451      	-0.3215     	4.718       
1           	3700        	33          	0.8397      	-0.2867     	4.147       
1           	3800        	37          	0.8424      	-0.1181     	4.344       
1           	3900        	27          	0.8511      	0.2016      	4.258       
1           	4000        	30          	0.8804      	0.3329      	4.52        
1           	4100        	36          	0.8772      	0.6232      	4.678       
1           	4200        	31          	0.8768      	0.9426      	4.014       
1           	4300        	36          	0.8942      	1.113       	4.102       
1           	4400        	30          	0.8873      	1.262       	4.135       
1           	4500        	26          	0.8835      	1.255       	4.122       
1           	4600        	27          	0.8705      	1.092       	3.906       
1           	4700        	30          	0.8645      	1.184       	3.946       
1           	4800        	28          	0.8272      	1.077       	3.608       
1           	4900        	26          	0.8346      	1.194       	3.669       
1           	5000        	24          	0.8324      	1.206       	3.445       
2           	1           	149         	0.9868      	0.04637     	8.107       
2           	100         	89          	0.9802      	-0.1322     	6.579       
2           	200         	74          	0.9717      	-0.382      	6.616       
2           	300         	63          	0.9635      	-0.2877     	7.623       
2           	400         	62          	0.9597      	-0.4493     	7.34        
2           	500         	60          	0.9506      	-0.3114     	6.752       
2           	600         	51          	0.9517      	-0.7207     	6.932       
2           	700         	45          	0.9492      	-0.7269     	6.48        
2           	800         	47          	0.9467      	-0.3159     	6.053       
2           	900         	43          	0.9386      	0.04406     	5.813       
2           	1000        	39          	0.9409      	-0.2867     	6.888       
2           	1100        	38          	0.9388      	-0.5206     	6.365       
2           	1200        	39          	0.9304      	-0.5789     	7.257       
2           	1300        	36          	0.9221      	-0.6884     	7.74        
2           	1400        	34          	0.9241      	-1.168      	7.315       
2           	1500        	35          	0.9186      	-0.8907     	6.816       
2           	1600        	39          	0.91        	-0.3243     	5.368       
2           	1700        	33          	0.9193      	-0.373      	5.247       
2           	1800        	30          	0.9241      	-0.1557     	5.326       
2           	1900        	35          	0.9197      	0.009657    	5.114       
2           	2000        	35          	0.9021      	0.07762     	4.187       
2           	2100        	40          	0.8939      	0.349       	4.057       
2           	2200        	38          	0.8745      	0.2007      	4.412       
2           	2300        	35          	0.8744      	0.4398      	4.711       
2           	2400        	37          	0.874       	0.5996      	4.84        
2           	2500        	34          	0.8604      	0.7418      	4.726       
2           	2600        	33          	0.8714      	0.7078      	5.032       
2           	2700        	29          	0.8659      	1.023       	4.409       
2           	2800        	27          	0.8651      	0.8464      	4.093       
2           	2900        	28          	0.8422      	0.6921      	4.398       
2           	3000        	32          	0.8438      	0.5798      	4.793       
2           	3100        	24          	0.8372      	0.6642      	4.162       
2           	3200        	24          	0.8468      	0.3409      	4.359       
2           	3300        	30          	0.8383      	0.1815      	3.96        
2           	3400        	24          	0.8296      	0.4617      	4.445       
2           	3500        	24          	0.8292      	0.5219      	5.082       
2           	3600        	23          	0.8341      	0.4685      	4.558       
2           	3700        	23          	0.8351      	0.6802      	5.163       
2           	3800        	22          	0.8189      	0.7674      	5.397       
2           	3900        	20          	0.8154      	0.5726      	5.016       
2           	4000        	24          	0.8388      	0.4675      	5.529       
2           	4100        	20          	0.8472      	0.7454      	5.203       
2           	4200        	23          	0.8403      	0.9661      	5.252       
2           	4300        	22          	0.8575      	0.8001      	4.834       
2           	4400        	29          	0.8447      	1.15        	4.65        
2           	4500        	31          	0.8435      	0.9315      	4.79        
2           	4600        	24          	0.8417      	0.6865      	5.165       
2           	4700        	24          	0.8423      	0.9026      	4.535       
2           	4800        	33          	0.8445      	0.7337      	5.535       
2           	4900        	29          	0.8465      	0.7058      	5.592       
2           	5000        	32          	0.8386      	1.107       	5.126       
3           	1           	153         	0.9867      	0.04879     	7.984       
3           	100         	90          	0.983       	0.3312      	8.683       
3           	200         	74          	0.9754      	0.39        	8.434       
3           	300         	71          	0.971       	0.3169      	8.026       
3           	400         	58          	0.9668      	0.3969      	6.66        
3           	500         	55          	0.9637      	0.74        	8.041       
3           	600         	50          	0.9601      	1.139       	8.094       
3           	700         	45          	0.9506      	1.763       	9.399       
3           	800         	44          	0.9518      	1.709       	9.097       
3           	900         	40          	0.9529      	1.504       	9.213       
3           	1000        	39          	0.9441      	1.148       	7.252       
3           	1100        	42          	0.9481      	1.048       	5.875       
3           	1200        	40          	0.943       	1.069       	5.144       
3           	1300        	35          	0.9455      	1.295       	5.149       
3           	1400        	38          	0.939       	1.13        	4.332       
3           	1500        	41          	0.9327      	1.27        	5.111       
3           	1600        	39          	0.9228      	0.9378      	4.371       
3           	1700        	36          	0.9179      	1.091       	4.776       
3           	1800        	36          	0.9188      	1.143       	4.786       
3           	1900        	33          	0.9124      	0.7214      	5.521       
3           	2000        	35          	0.9097      	0.9997      	6.245       
3           	2100        	38          	0.8995      	1.196       	3.608       
3           	2200        	31          	0.9033      	1.201       	3.557       
3           	2300        	36          	0.9066      	1.224       	3.919       
3           	2400        	27          	0.9116      	1.226       	3.838       
3           	2500        	29          	0.9033      	1.229       	3.705       
3           	2600        	28          	0.9025      	1.269       	4.184       
3           	2700        	28          	0.8967      	0.8077      	3.551       
3           	2800        	32          	0.8841      	0.7283      	3.773       
3           	2900        	32          	0.8818      	0.6025      	3.201       
3           	3000        	33          	0.8808      	0.4242      	3.286       
3           	3100        	26          	0.8775      	0.3984      	3.058       
3           	3200        	32          	0.8663      	0.5319      	3.298       
3           	3300        	32          	0.8635      	0.7271      	3.703       
3           	3400        	30          	0.858       	0.8509      	3.89        
3           	3500        	34          	0.8454      	0.9891      	3.932       
3           	3600        	33          	0.8331      	0.776       	2.785       
3           	3700        	29          	0.8535      	0.6214      	3.034       
3           	3800        	24          	0.8595      	0.7091      	3.084       
3           	3900        	27          	0.8592      	0.9275      	3.447       
3           	4000        	29          	0.8754      	1.112       	3.861       
3           	4100        	30          	0.8771      	0.7933      	3.734       
3           	4200        	31          	0.8875      	1.134       	4.656       
3           	4300        	29          	0.8912      	1.077       	3.925       
3           	4400        	30          	0.8886      	1.304       	4.143       
3           	4500        	31          	0.8793      	1.339       	4.276       
3           	4600        	27          	0.8834      	1.125       	3.977       
3           	4700        	30          	0.8634      	1.238       	4.402       
3           	4800        	21          	0.8625      	1.515       	4.177       
3           	4900        	24          	0.8553      	1.37        	4.494       
3           	5000        	25          	0.8672      	1.347       	4.809       
4           	1           	153         	0.9867      	-0.0303     	8.109       
4           	100         	94          	0.9801      	0.4007      	7.837       
4           	200         	76          	0.974       	0.8532      	6.559       
4           	300         	61          	0.9708      	0.8804      	5.162       
4           	400         	54          	0.9627      	1.073       	5.182       
4           	500         	55          	0.9597      	1.384       	5.105       
4           	600         	48          	0.952       	1.784       	4.752       
4           	700         	45          	0.9447      	1.276       	4.736       
4           	800         	43          	0.9352      	1.043       	4.385       
4           	900         	42          	0.9352      	0.9663      	4.366       
4           	1000        	37          	0.9301      	0.9434      	3.446       
4           	1100        	34          	0.9349      	1.149       	3.787       
4           	1200        	43          	0.9313      	1.264       	3.843       
4           	1300        	34          	0.9221      	1.177       	3.817       
4           	1400        	34          	0.914       	1.158       	3.491       
4           	1500        	32          	0.9019      	1.116       	3.138       
4           	1600        	35          	0.9112      	1.372       	3.141       
4           	1700        	39          	0.9128      	1.172       	3.304       
4           	1800        	39          	0.9041      	1.314       	2.832       
4           	1900        	36          	0.9051      	1.36        	3.226       
4           	2000        	34          	0.8926      	1.528       	3.059       
4           	2100        	38          	0.8744      	1.745       	2.543       
4           	2200        	37          	0.8725      	1.905       	3.014       
4           	2300        	37          	0.8631      	2.015       	2.829       
4           	2400        	33          	0.8737      	1.671       	3.522       
4           	2500        	34          	0.8599      	1.677       	4.113       
4           	2600        	38          	0.8435      	2.224       	4.256       
4           	2700        	41          	0.8423      	1.956       	4.144       
4           	2800        	36          	0.8613      	1.861       	5.267       
4           	2900        	33          	0.8606      	1.897       	4.408       
4           	3000        	27          	0.8498      	1.917       	4.717       
4           	3100        	22          	0.858       	1.838       	5.091       
4           	3200        	25          	0.8282      	2.123       	4.939       
4           	3300        	26          	0.8116      	2.137       	4.528       
4           	3400        	26          	0.8238      	2.328       	4.055       
4           	3500        	31          	0.8283      	2.307       	3.697       
4           	3600        	29          	0.8358      	2.257       	3.588       
4           	3700        	31          	0.8293      	2.713       	4.013       
4           	3800        	33          	0.8143      	2.689       	4.697       
4           	3900        	28          	0.8339      	2.694       	4.964       
4           	4000        	36          	0.8544      	2.44        	4.639       
4           	4100        	37          	0.8646      	2.53        	4.591       
4           	4200        	34          	0.8566      	2.514       	4.69        
4           	4300        	34          	0.868       	2.173       	5.272       
4           	4400        	31          	0.8835      	1.762       	5.615       
4           	4500        	31          	0.8919      	1.88        	5.518       
4           	4600        	30          	0.8723      	2.263       	3.669       
4           	4700        	29          	0.8858      	2.026       	4.095       
4           	4800        	27          	0.8926      	1.924       	4.398       
4           	4900        	32          	0.8725      	2.168       	3.506       
4           	5000        	30          	0.8759      	1.962       	3.089       
5           	1           	153         	0.9868      	-0.02838    	8.068       
5           	100         	93          	0.9834      	-0.1193     	8.276       
5           	200         	81          	0.9797      	-0.002863   	8.042       
5           	300         	73          	0.9738      	-0.449      	8.696       
5           	400         	69          	0.9695      	-0.1792     	8.211       
5           	500         	66          	0.9666      	-0.2938     	8.3         
5           	600         	53          	0.9629      	-0.6113     	8.074       
5           	700         	53          	0.9591      	-0.7904     	7.464       
5           	800         	48          	0.9458      	-0.207      	8.426       
5           	900         	48          	0.9454      	-0.5557     	10.02       
5           	1000        	41          	0.9404      	-0.2034     	9.189       
5           	1100        	42          	0.9405      	-0.7204     	10.4        
5           	1200        	43          	0.9325      	-0.2988     	10.01       
5           	1300        	43          	0.9286      	-0.1665     	10.23       
5           	1400        	45          	0.9295      	-0.7096     	10.66       
5           	1500        	44          	0.9234      	-0.5965     	10.45       
5           	1600        	39          	0.924       	-1.138      	10.88       
5           	1700        	40          	0.9005      	-0.8768     	10.59       
5           	1800        	30          	0.9131      	-1.5        	12.08       
5           	1900        	32          	0.8895      	-1.405      	13.27       
5           	2000        	39          	0.8926      	-2.078      	13.5        
5           	2100        	33          	0.8994      	-1.978      	11.33       
5           	2200        	39          	0.91        	-2.033      	12.28       
5           	2300        	36          	0.9094      	-2.569      	12.07       
5           	2400        	39          	0.904       	-2.231      	12.18       
5           	2500        	36          	0.8983      	-2.024      	10.83       
5           	2600        	34          	0.8936      	-2.403      	10.79       
5           	2700        	32          	0.8902      	-2.39       	10.52       
5           	2800        	25          	0.8855      	-2.404      	12.13       
5           	2900        	27          	0.8858      	-2.322      	12.38       
5           	3000        	26          	0.8703      	-1.796      	11.44       
5           	3100        	27          	0.8647      	-0.8262     	9.233       
5           	3200        	35          	0.8602      	-1          	8.727       
5           	3300        	26          	0.8477      	-0.7932     	8.155       
5           	3400        	31          	0.8396      	-1.036      	8.13        
5           	3500        	28          	0.8296      	-0.5962     	8.258       
5           	3600        	25          	0.8266      	-1.052      	8.506       
5           	3700        	26          	0.8212      	-1.513      	8.75        
5           	3800        	26          	0.8085      	-1.71       	8.344       
5           	3900        	23          	0.8097      	-1.582      	8.159       
5           	4000        	19          	0.801       	-1.627      	9.173       
5           	4100        	22          	0.7819      	-1.418      	9.153       
5           	4200        	25          	0.7921      	-1.522      	9.169       
5           	4300        	31          	0.7963      	-2.063      	8.591       
5           	4400        	24          	0.7632      	-1.9        	8.241       
5           	4500        	32          	0.77        	-2.119      	7.584       
5           	4600        	31          	0.7735      	-2.184      	8.202       
5           	4700        	34          	0.7577      	-2.344      	7.994       
5           	4800        	30          	0.8025      	-2.785      	9.102       
5           	4900        	30          	0.8191      	-2.932      	8.808       
5           	5000        	29          	0.8058      	-2.25       	8.342       
6           	1           	151         	0.9865      	-0.000652   	7.835       
6           	100         	94          	0.9817      	-0.2971     	8.217       
6           	200         	82          	0.9744      	0.0403      	8.381       
6           	300         	70          	0.9691      	-0.1704     	8.276       
6           	400         	58          	0.9637      	0.02778     	7.717       
6           	500         	56          	0.9607      	0.3291      	7.262       
6           	600         	57          	0.9595      	-0.07037    	6.747       
6           	700         	56          	0.9564      	0.1656      	5.708       
6           	800         	52          	0.9531      	-0.05597    	7.206       
6           	900         	50          	0.9496      	0.3236      	6.567       
6           	1000        	46          	0.9424      	0.2607      	5.522       
6           	1100        	45          	0.928       	0.273       	4.563       
6           	1200        	35          	0.9227      	0.6461      	4.034       
6           	1300        	36          	0.9268      	0.6775      	4.11        
6           	1400        	33          	0.913       	0.6912      	3.832       
6           	1500        	37          	0.9082      	0.5651      	3.655       
6           	1600        	34          	0.8958      	0.4759      	3.053       
6           	1700        	40          	0.8831      	0.142       	3.289       
6           	1800        	33          	0.9032      	0.2296      	3.772       
6           	1900        	35          	0.9006      	0.5076      	4.029       
6           	2000        	33          	0.89        	0.4348      	3.612       
6           	2100        	28          	0.8902      	0.3745      	3.4         
