generation  	alive.rpl   	q.adlt.nbAll	q.adlt.hs   	q.meanG     	q.varG      
1           	10          	2.36        	6.857e-09   	0.0009427   	0.01133     
100         	10          	5.05        	1.044e-06   	0.06885     	0.3373      
200         	10          	7.49        	7.242e-06   	0.2179      	1.07        
300         	10          	15.85       	1.332e-05   	0.3107      	2.081       
400         	10          	15.21       	1.891e-05   	0.3534      	2.3         
500         	10          	15.89       	2.771e-05   	0.6247      	2.497       
600         	10          	12.16       	2.376e-05   	1.004       	4.136       
700         	10          	13.64       	2.736e-05   	1.105       	5.347       
800         	10          	15.29       	4.661e-05   	1.033       	5.713       
900         	10          	23.44       	4.094e-05   	0.8331      	5.314       
1000        	10          	18.76       	6.291e-05   	0.6941      	4.917       
1100        	10          	18.29       	9.579e-05   	0.9243      	4.721       
1200        	10          	20.81       	0.0001106   	1.082       	4.794       
1300        	10          	29.96       	0.0001058   	0.9249      	6.108       
1400        	10          	22.24       	0.0001173   	1.152       	6.849       
1500        	10          	25.36       	0.0001389   	0.8755      	9.615       
1600        	10          	21.89       	0.000181    	0.8429      	11.92       
1700        	10          	13.41       	0.0001857   	0.9956      	8.13        
1800        	10          	16.89       	7.513e-05   	1.321       	9.561       
1900        	10          	14.2        	0.0001147   	0.9711      	11.31       
2000        	10          	12.69       	0.0001059   	1.32        	12.9        
2100        	10          	18.61       	0.0001023   	1.152       	10.47       
2200        	10          	19.24       	0.0002481   	1.283       	9.07        
2300        	10          	14.89       	0.0002803   	1.45        	8.998       
2400        	10          	11.65       	0.0002741   	1.237       	8.136       
2500        	10          	13.36       	0.0005145   	1.276       	6.507       
2600        	10          	11.89       	0.0004361   	1.527       	5.661       
2700        	10          	19.4        	0.000302    	1.372       	4.881       
2800        	10          	11.21       	0.0001546   	1.251       	5.967       
2900        	10          	20.81       	0.0002537   	1.102       	6.904       
3000        	10          	8.81        	0.0001721   	0.8502      	5.218       
3100        	10          	27.36       	0.0002472   	0.6034      	3.64        
3200        	10          	30.41       	0.0002489   	0.7489      	3.161       
3300        	10          	19.09       	0.0004394   	0.8368      	3.176       
3400        	10          	15.09       	0.0004596   	1.037       	2.579       
3500        	10          	9.49        	0.0002815   	1.074       	2.312       
3600        	10          	21.85       	0.0001454   	0.9418      	3.441       
3700        	10          	9.16        	0.0002165   	1.353       	3.328       
3800        	10          	21          	0.000622    	1.536       	2.889       
3900        	10          	18.44       	0.0005534   	1.583       	2.214       
4000        	10          	37.16       	0.001016    	1.48        	2.535       
4100        	10          	27.05       	0.001026    	1.288       	2.661       
4200        	10          	15.41       	0.0006961   	1.544       	3.02        
4300        	10          	17          	0.0008436   	1.644       	3.463       
4400        	10          	6.25        	0.001538    	1.588       	3.248       
4500        	10          	5.21        	0.001617    	1.656       	2.927       
4600        	10          	8.49        	0.001375    	1.92        	3.785       
4700        	10          	18.05       	0.001386    	1.923       	3.563       
4800        	10          	22.24       	0.0008449   	2.354       	4.298       
4900        	10          	4.4         	0.00041     	2.518       	5.12        
5000        	10          	7.41        	0.0005288   	1.866       	5.362       
