generation  	alive.rpl   	q.adlt.a.freq_a1	q.adlt.a.freq_a2	q.adlt.a.freq_a3
1           	25          	0.1058      	0.7906      	0.1036      
2           	25          	0.1063      	0.7888      	0.1049      
3           	25          	0.1058      	0.7921      	0.1021      
4           	25          	0.1065      	0.7869      	0.1066      
5           	25          	0.1063      	0.7832      	0.1105      
6           	25          	0.1094      	0.7806      	0.11        
7           	25          	0.114       	0.7753      	0.1107      
8           	25          	0.114       	0.7673      	0.1187      
9           	25          	0.1123      	0.7659      	0.1218      
10          	25          	0.1152      	0.7666      	0.1182      
11          	25          	0.1141      	0.7697      	0.1162      
12          	25          	0.1107      	0.7787      	0.1106      
13          	25          	0.1083      	0.7828      	0.1089      
14          	25          	0.11        	0.7786      	0.1114      
15          	25          	0.1072      	0.7881      	0.1047      
16          	25          	0.1059      	0.7899      	0.1042      
17          	25          	0.103       	0.7952      	0.1018      
18          	25          	0.0985      	0.8017      	0.0998      
19          	25          	0.0952      	0.8083      	0.0965      
20          	25          	0.0942      	0.8105      	0.0953      
21          	25          	0.0945      	0.8109      	0.0946      
22          	25          	0.0915      	0.8118      	0.0967      
23          	25          	0.0859      	0.8126      	0.1015      
24          	25          	0.0807      	0.8168      	0.1025      
25          	25          	0.0764      	0.8253      	0.0983      
26          	25          	0.0774      	0.8216      	0.101       
27          	25          	0.076       	0.8241      	0.0999      
28          	25          	0.0732      	0.826       	0.1008      
29          	25          	0.0699      	0.8325      	0.0976      
30          	25          	0.0685      	0.8363      	0.0952      
31          	25          	0.0679      	0.8345      	0.0976      
32          	25          	0.0676      	0.8354      	0.097       
33          	25          	0.0647      	0.8384      	0.0969      
34          	25          	0.0611      	0.8412      	0.0977      
35          	25          	0.0604      	0.8431      	0.0965      
36          	25          	0.059       	0.8417      	0.0993      
37          	25          	0.0553      	0.8405      	0.1042      
38          	25          	0.0555      	0.8409      	0.1036      
39          	25          	0.0533      	0.8431      	0.1036      
40          	25          	0.0518      	0.8442      	0.104       
41          	25          	0.053       	0.8443      	0.1027      
42          	25          	0.0518      	0.8494      	0.0988      
43          	25          	0.0507      	0.8482      	0.1011      
44          	25          	0.0497      	0.8513      	0.099       
45          	25          	0.0492      	0.8523      	0.0985      
46          	25          	0.0477      	0.8544      	0.0979      
47          	25          	0.0437      	0.8596      	0.0967      
48          	25          	0.0423      	0.8665      	0.0912      
49          	25          	0.0397      	0.8672      	0.0931      
50          	25          	0.0396      	0.8709      	0.0895      
51          	25          	0.0398      	0.8687      	0.0915      
52          	25          	0.0381      	0.8718      	0.0901      
53          	25          	0.0381      	0.8703      	0.0916      
54          	25          	0.034       	0.8697      	0.0963      
55          	25          	0.0302      	0.868       	0.1018      
56          	25          	0.0279      	0.8718      	0.1003      
57          	25          	0.0272      	0.8751      	0.0977      
58          	25          	0.0302      	0.8773      	0.0925      
59          	25          	0.0321      	0.8776      	0.0903      
60          	25          	0.0263      	0.8852      	0.0885      
61          	25          	0.0272      	0.8873      	0.0855      
62          	25          	0.0274      	0.885       	0.0876      
63          	25          	0.0269      	0.8875      	0.0856      
64          	25          	0.0278      	0.8914      	0.0808      
65          	25          	0.0273      	0.8937      	0.079       
66          	25          	0.0298      	0.8937      	0.0765      
67          	25          	0.029       	0.8921      	0.0789      
68          	25          	0.0295      	0.8929      	0.0776      
69          	25          	0.0304      	0.894       	0.0756      
70          	25          	0.0311      	0.8929      	0.076       
71          	25          	0.0293      	0.8919      	0.0788      
72          	25          	0.0278      	0.8952      	0.077       
73          	25          	0.0273      	0.891       	0.0817      
74          	25          	0.0249      	0.8932      	0.0819      
75          	25          	0.0247      	0.8894      	0.0859      
76          	25          	0.0227      	0.8902      	0.0871      
77          	25          	0.0253      	0.8851      	0.0896      
78          	25          	0.0253      	0.8845      	0.0902      
79          	25          	0.0259      	0.8853      	0.0888      
80          	25          	0.0255      	0.8865      	0.088       
81          	25          	0.0244      	0.8904      	0.0852      
82          	25          	0.0234      	0.8916      	0.085       
83          	25          	0.0226      	0.8918      	0.0856      
84          	25          	0.0235      	0.8972      	0.0793      
85          	25          	0.0241      	0.8983      	0.0776      
86          	25          	0.0248      	0.8954      	0.0798      
87          	25          	0.025       	0.8895      	0.0855      
88          	25          	0.0244      	0.8905      	0.0851      
89          	25          	0.0247      	0.8909      	0.0844      
90          	25          	0.0244      	0.8934      	0.0822      
91          	25          	0.023       	0.8965      	0.0805      
92          	25          	0.0231      	0.8944      	0.0825      
93          	25          	0.0234      	0.8904      	0.0862      
94          	25          	0.0239      	0.8925      	0.0836      
95          	25          	0.0239      	0.8941      	0.082       
96          	25          	0.0254      	0.8923      	0.0823      
97          	25          	0.0264      	0.8926      	0.081       
98          	25          	0.0284      	0.8921      	0.0795      
99          	25          	0.0307      	0.892       	0.0773      
100         	25          	0.0285      	0.8941      	0.0774      
101         	25          	0.0279      	0.8948      	0.0773      
102         	25          	0.0271      	0.8936      	0.0793      
103         	25          	0.0264      	0.8916      	0.082       
104         	25          	0.0273      	0.8928      	0.0799      
105         	25          	0.0255      	0.8939      	0.0806      
106         	25          	0.0235      	0.8977      	0.0788      
107         	25          	0.0232      	0.8984      	0.0784      
108         	25          	0.0235      	0.9043      	0.0722      
109         	25          	0.0237      	0.9025      	0.0738      
110         	25          	0.0229      	0.9028      	0.0743      
111         	25          	0.0223      	0.9009      	0.0768      
112         	25          	0.0208      	0.902       	0.0772      
113         	25          	0.0199      	0.9046      	0.0755      
114         	25          	0.0202      	0.9051      	0.0747      
115         	25          	0.0184      	0.9046      	0.077       
116         	25          	0.0168      	0.908       	0.0752      
117         	25          	0.0145      	0.9121      	0.0734      
118         	25          	0.0158      	0.9079      	0.0763      
119         	25          	0.0172      	0.9081      	0.0747      
120         	25          	0.0171      	0.9085      	0.0744      
121         	25          	0.0187      	0.9082      	0.0731      
122         	25          	0.0181      	0.9096      	0.0723      
123         	25          	0.0164      	0.9103      	0.0733      
124         	25          	0.0164      	0.9069      	0.0767      
125         	25          	0.0173      	0.9024      	0.0803      
126         	25          	0.0163      	0.9043      	0.0794      
127         	25          	0.0144      	0.9071      	0.0785      
128         	25          	0.0158      	0.9088      	0.0754      
129         	25          	0.0167      	0.9124      	0.0709      
130         	25          	0.0163      	0.9149      	0.0688      
131         	25          	0.0169      	0.9117      	0.0714      
132         	25          	0.0185      	0.912       	0.0695      
133         	25          	0.0199      	0.9124      	0.0677      
134         	25          	0.019       	0.9133      	0.0677      
135         	25          	0.0197      	0.9118      	0.0685      
136         	25          	0.0189      	0.9098      	0.0713      
137         	25          	0.0189      	0.9077      	0.0734      
138         	25          	0.0187      	0.9081      	0.0732      
139         	25          	0.0171      	0.9109      	0.072       
140         	25          	0.017       	0.913       	0.07        
141         	25          	0.016       	0.9185      	0.0655      
142         	25          	0.0173      	0.9179      	0.0648      
143         	25          	0.0176      	0.9146      	0.0678      
144         	25          	0.0179      	0.9153      	0.0668      
145         	25          	0.0189      	0.911       	0.0701      
146         	25          	0.0187      	0.9119      	0.0694      
147         	25          	0.0193      	0.912       	0.0687      
148         	25          	0.0205      	0.9165      	0.063       
149         	25          	0.0225      	0.9141      	0.0634      
150         	25          	0.0228      	0.9127      	0.0645      
151         	25          	0.0237      	0.9124      	0.0639      
152         	25          	0.0226      	0.9156      	0.0618      
153         	25          	0.0213      	0.9172      	0.0615      
154         	25          	0.0201      	0.9209      	0.059       
155         	25          	0.0208      	0.9191      	0.0601      
156         	25          	0.0187      	0.9207      	0.0606      
157         	25          	0.0184      	0.9232      	0.0584      
158         	25          	0.0189      	0.922       	0.0591      
159         	25          	0.0163      	0.9208      	0.0629      
160         	25          	0.0143      	0.9208      	0.0649      
161         	25          	0.015       	0.9197      	0.0653      
162         	25          	0.0145      	0.9168      	0.0687      
163         	25          	0.0136      	0.9175      	0.0689      
164         	25          	0.0147      	0.9147      	0.0706      
165         	25          	0.0145      	0.916       	0.0695      
166         	25          	0.0142      	0.9164      	0.0694      
167         	25          	0.013       	0.9187      	0.0683      
168         	25          	0.0124      	0.9191      	0.0685      
169         	25          	0.0119      	0.9175      	0.0706      
170         	25          	0.0112      	0.9185      	0.0703      
171         	25          	0.0127      	0.9161      	0.0712      
172         	25          	0.0131      	0.9157      	0.0712      
173         	25          	0.0118      	0.9205      	0.0677      
174         	25          	0.0101      	0.9244      	0.0655      
175         	25          	0.0099      	0.9283      	0.0618      
176         	25          	0.01        	0.9308      	0.0592      
177         	25          	0.0093      	0.9346      	0.0561      
178         	25          	0.0086      	0.9361      	0.0553      
179         	25          	0.0082      	0.9396      	0.0522      
180         	25          	0.0085      	0.9419      	0.0496      
181         	25          	0.0109      	0.939       	0.0501      
182         	25          	0.0112      	0.9389      	0.0499      
183         	25          	0.0129      	0.9376      	0.0495      
184         	25          	0.0132      	0.9371      	0.0497      
185         	25          	0.0132      	0.9379      	0.0489      
186         	25          	0.0138      	0.9339      	0.0523      
187         	25          	0.0121      	0.9311      	0.0568      
188         	25          	0.0126      	0.9355      	0.0519      
189         	25          	0.0143      	0.9345      	0.0512      
190         	25          	0.014       	0.9343      	0.0517      
191         	25          	0.0132      	0.9334      	0.0534      
192         	25          	0.0143      	0.9322      	0.0535      
193         	25          	0.0135      	0.9305      	0.056       
194         	25          	0.0136      	0.9282      	0.0582      
195         	25          	0.0119      	0.9298      	0.0583      
196         	25          	0.0108      	0.9307      	0.0585      
197         	25          	0.0111      	0.9294      	0.0595      
198         	25          	0.0107      	0.9321      	0.0572      
199         	25          	0.0108      	0.9325      	0.0567      
200         	25          	0.0099      	0.9345      	0.0556      
201         	25          	0.0078      	0.9383      	0.0539      
202         	25          	0.0085      	0.9357      	0.0558      
203         	25          	0.0079      	0.9369      	0.0552      
204         	25          	0.0085      	0.9349      	0.0566      
205         	25          	0.009       	0.9324      	0.0586      
206         	25          	0.0068      	0.932       	0.0612      
207         	25          	0.0067      	0.9336      	0.0597      
208         	25          	0.0062      	0.9312      	0.0626      
209         	25          	0.0069      	0.9303      	0.0628      
210         	25          	0.0075      	0.9251      	0.0674      
211         	25          	0.0075      	0.9231      	0.0694      
212         	25          	0.007       	0.9238      	0.0692      
213         	25          	0.0073      	0.9268      	0.0659      
214         	25          	0.0065      	0.929       	0.0645      
215         	25          	0.0065      	0.9273      	0.0662      
216         	25          	0.0047      	0.9262      	0.0691      
217         	25          	0.0048      	0.9218      	0.0734      
218         	25          	0.0039      	0.922       	0.0741      
219         	25          	0.0044      	0.9255      	0.0701      
220         	25          	0.0042      	0.9254      	0.0704      
221         	25          	0.0037      	0.9297      	0.0666      
222         	25          	0.0046      	0.9278      	0.0676      
223         	25          	0.0052      	0.9257      	0.0691      
224         	25          	0.0052      	0.9244      	0.0704      
225         	25          	0.005       	0.9271      	0.0679      
226         	25          	0.0049      	0.9325      	0.0626      
