generation  	alive.rpl   	q.adlt.a.freq_a1	q.adlt.a.freq_a2	q.adlt.a.freq_a3
1           	25          	0.0001079   	0.0002736   	0.0002045   
2           	25          	0.0003026   	0.0007721   	0.0005937   
3           	25          	0.0003979   	0.001101    	0.0007228   
4           	25          	0.00043     	0.001657    	0.0009549   
5           	25          	0.0006536   	0.002417    	0.001293    
6           	25          	0.0007261   	0.002734    	0.0015      
7           	25          	0.0008055   	0.002537    	0.001415    
8           	25          	0.001065    	0.003551    	0.001833    
9           	25          	0.001008    	0.004555    	0.002718    
10          	25          	0.001324    	0.005083    	0.002926    
11          	25          	0.001753    	0.006083    	0.003016    
12          	25          	0.00164     	0.00535     	0.003001    
13          	25          	0.001977    	0.006341    	0.003056    
14          	25          	0.002221    	0.006879    	0.003364    
15          	25          	0.002554    	0.006884    	0.003304    
16          	25          	0.00276     	0.006948    	0.003254    
17          	25          	0.002625    	0.005958    	0.00299     
18          	25          	0.002143    	0.00522     	0.002829    
19          	25          	0.002233    	0.004452    	0.002756    
20          	25          	0.002656    	0.004513    	0.002818    
21          	25          	0.002789    	0.00501     	0.002811    
22          	25          	0.002783    	0.005904    	0.003083    
23          	25          	0.002233    	0.005544    	0.003193    
24          	25          	0.002219    	0.005928    	0.00344     
25          	25          	0.002278    	0.005934    	0.003541    
26          	25          	0.002192    	0.006157    	0.00378     
27          	25          	0.002102    	0.007121    	0.003614    
28          	25          	0.001965    	0.007824    	0.00386     
29          	25          	0.001805    	0.007655    	0.004242    
30          	25          	0.00171     	0.007228    	0.00486     
31          	25          	0.002066    	0.008567    	0.00548     
32          	25          	0.002343    	0.008761    	0.006297    
33          	25          	0.002261    	0.008664    	0.006845    
34          	25          	0.002004    	0.008016    	0.007149    
35          	25          	0.001958    	0.00725     	0.006502    
36          	25          	0.001921    	0.007291    	0.006907    
37          	25          	0.001704    	0.007153    	0.006959    
38          	25          	0.001553    	0.007461    	0.00703     
39          	25          	0.001615    	0.007617    	0.007515    
40          	25          	0.001787    	0.008244    	0.007593    
41          	25          	0.001935    	0.007954    	0.007744    
42          	25          	0.002348    	0.00859     	0.007655    
43          	25          	0.002696    	0.008976    	0.00813     
44          	25          	0.002896    	0.009592    	0.007966    
45          	25          	0.00327     	0.00926     	0.007985    
46          	25          	0.003437    	0.009215    	0.007789    
47          	25          	0.00303     	0.008661    	0.007317    
48          	25          	0.00355     	0.009615    	0.007219    
49          	25          	0.002995    	0.009551    	0.007624    
50          	25          	0.003704    	0.01014     	0.007291    
51          	25          	0.003421    	0.01027     	0.007774    
52          	25          	0.002917    	0.01078     	0.008332    
53          	25          	0.003061    	0.01222     	0.008813    
54          	25          	0.002567    	0.01269     	0.009637    
55          	25          	0.002282    	0.01469     	0.01199     
56          	25          	0.002075    	0.01363     	0.01129     
57          	25          	0.002058    	0.01265     	0.01013     
58          	25          	0.002809    	0.01319     	0.009215    
59          	25          	0.003246    	0.01348     	0.008785    
60          	25          	0.002336    	0.01262     	0.008784    
61          	25          	0.002532    	0.01252     	0.00848     
62          	25          	0.002759    	0.01226     	0.008456    
63          	25          	0.002791    	0.01126     	0.007972    
64          	25          	0.002868    	0.01047     	0.007214    
65          	25          	0.003019    	0.01062     	0.006928    
66          	25          	0.003994    	0.01059     	0.006085    
67          	25          	0.004015    	0.01094     	0.006701    
68          	25          	0.004472    	0.01137     	0.006905    
69          	25          	0.004764    	0.01159     	0.006407    
70          	25          	0.004647    	0.01246     	0.00669     
71          	25          	0.003914    	0.01311     	0.007526    
72          	25          	0.003364    	0.01312     	0.007484    
73          	25          	0.003031    	0.01427     	0.008592    
74          	25          	0.002491    	0.0138      	0.008505    
75          	25          	0.002483    	0.01452     	0.009697    
76          	25          	0.00205     	0.01497     	0.01054     
77          	25          	0.002593    	0.01692     	0.01155     
78          	25          	0.002584    	0.01775     	0.01226     
79          	25          	0.002545    	0.01661     	0.01152     
80          	25          	0.002553    	0.01649     	0.01145     
81          	25          	0.0026      	0.01539     	0.01018     
82          	25          	0.002137    	0.01453     	0.01032     
83          	25          	0.001903    	0.01481     	0.01088     
84          	25          	0.002133    	0.01378     	0.009541    
85          	25          	0.002175    	0.0129      	0.009151    
86          	25          	0.002345    	0.0145      	0.009868    
87          	25          	0.0025      	0.01618     	0.01111     
88          	25          	0.002447    	0.01591     	0.01102     
89          	25          	0.002741    	0.01623     	0.01075     
90          	25          	0.002601    	0.01536     	0.009856    
91          	25          	0.002511    	0.01465     	0.009177    
92          	25          	0.002457    	0.01566     	0.0102      
93          	25          	0.002307    	0.01748     	0.01176     
94          	25          	0.002517    	0.01722     	0.01105     
95          	25          	0.00258     	0.01717     	0.01081     
96          	25          	0.002885    	0.01936     	0.01095     
97          	25          	0.003186    	0.01995     	0.01057     
98          	25          	0.003745    	0.02041     	0.01044     
99          	25          	0.004115    	0.01988     	0.009871    
100         	25          	0.003581    	0.01976     	0.01027     
101         	25          	0.003688    	0.01998     	0.009898    
102         	25          	0.003423    	0.01949     	0.0107      
103         	25          	0.003468    	0.02038     	0.01153     
104         	25          	0.003657    	0.02074     	0.01125     
105         	25          	0.003093    	0.02011     	0.01176     
106         	25          	0.00255     	0.01869     	0.01097     
107         	25          	0.002431    	0.01863     	0.01104     
108         	25          	0.002627    	0.01673     	0.009125    
109         	25          	0.002792    	0.01656     	0.008935    
110         	25          	0.003121    	0.01746     	0.008916    
111         	25          	0.002896    	0.01875     	0.00978     
112         	25          	0.002402    	0.01725     	0.009582    
113         	25          	0.002038    	0.01578     	0.009093    
114         	25          	0.002305    	0.01547     	0.008674    
115         	25          	0.00187     	0.01494     	0.008584    
116         	25          	0.001446    	0.01459     	0.009131    
117         	25          	0.001057    	0.01345     	0.009075    
118         	25          	0.001455    	0.01516     	0.01012     
119         	25          	0.001571    	0.01563     	0.01033     
120         	25          	0.001681    	0.01544     	0.009783    
121         	25          	0.001974    	0.01594     	0.009118    
122         	25          	0.00186     	0.01592     	0.009729    
123         	25          	0.001692    	0.01549     	0.009316    
124         	25          	0.001795    	0.01662     	0.009614    
125         	25          	0.001998    	0.01907     	0.01121     
126         	25          	0.00175     	0.01905     	0.01192     
127         	25          	0.001442    	0.01798     	0.01229     
128         	25          	0.001693    	0.01884     	0.01222     
129         	25          	0.001937    	0.01735     	0.01131     
130         	25          	0.001919    	0.01724     	0.01141     
131         	25          	0.002079    	0.01818     	0.01219     
132         	25          	0.002522    	0.01726     	0.01105     
133         	25          	0.002956    	0.01684     	0.01043     
134         	25          	0.002951    	0.01593     	0.01056     
135         	25          	0.003319    	0.0165      	0.01125     
136         	25          	0.003186    	0.01747     	0.01292     
137         	25          	0.003378    	0.01857     	0.0142      
138         	25          	0.003166    	0.01953     	0.01479     
139         	25          	0.002467    	0.01701     	0.01296     
140         	25          	0.002412    	0.01722     	0.01354     
141         	25          	0.00226     	0.01606     	0.0126      
142         	25          	0.002464    	0.01599     	0.01185     
143         	25          	0.002458    	0.01702     	0.01273     
144         	25          	0.002546    	0.01767     	0.01338     
145         	25          	0.00285     	0.01911     	0.01402     
146         	25          	0.002596    	0.01946     	0.01411     
147         	25          	0.002807    	0.02041     	0.01466     
148         	25          	0.003119    	0.01988     	0.01355     
149         	25          	0.003823    	0.02058     	0.0132      
150         	25          	0.003818    	0.02129     	0.01326     
151         	25          	0.00441     	0.02057     	0.01213     
152         	25          	0.00398     	0.02023     	0.01197     
153         	25          	0.003691    	0.01916     	0.01195     
154         	25          	0.003302    	0.01803     	0.0114      
155         	25          	0.003877    	0.01737     	0.01134     
156         	25          	0.003161    	0.01681     	0.01185     
157         	25          	0.003176    	0.01498     	0.0106      
158         	25          	0.003414    	0.01619     	0.01158     
